Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Belthold|Entity|PEZ|12|0.75|99
Bearish Belthold|Entity|PSCD|10|0.6|228
Bearish Belthold|Industry|PHARMACEUTICAL PREPARATIONS|28|0.5|45
Bearish Belthold|Entity|IVOG|10|0.5|72
Bearish Belthold|Entity|FDIS|12|0.5|79
Bearish Belthold|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|14|0.5|182
Bearish Belthold|Entity|QQQE|13|0.46153846153846156|85
Bearish Belthold|Entity|PSCH|13|0.46153846153846156|107
Bearish Belthold|Industry|RETAIL-EATING PLACES|20|0.45|117
Bearish Belthold|Industry|CABLE & OTHER PAY TELEVISION SERVICES|14|0.42857142857142855|117
Bearish Belthold|Entity|PRN|10|0.4|102
Bearish Belthold|Industry|RETAIL-AUTO & HOME SUPPLY STORES|10|0.4|284
Bearish Belthold|Industry|SEMICONDUCTORS & RELATED DEVICES|26|0.38461538461538464|61
Bearish Belthold|Industry|SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES|11|0.36363636363636365|62
Bearish Belthold|Entity|SLYG|11|0.36363636363636365|98
Bearish Belthold|Entity|ARKW|11|0.36363636363636365|101
Bearish Belthold|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|22|0.36363636363636365|134
Bearish Belthold|Industry|CRUDE PETROLEUM & NATURAL GAS|14|0.35714285714285715|141
Bearish Belthold|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|13|0.3076923076923077|184
Bearish Belthold|Entity|RDVY|10|0.3|69
Bearish Belthold|Entity|PSI|10|0.3|133
Bearish Belthold|Entity|ROBO|14|0.2857142857142857|124
Bearish Belthold|Industry|SERVICES-PREPACKAGED SOFTWARE|44|0.2727272727272727|120
Bearish Belthold|Entity|KBWP|17|0.23529411764705882|32
Bearish Belthold|Industry|SERVICES-COMPUTER PROCESSING & DATA PREPARATION|13|0.23076923076923078|-171
Bearish Belthold|Industry|SERVICES-MANAGEMENT CONSULTING SERVICES|13|0.23076923076923078|104
Bearish Belthold|Industry|INVESTMENT ADVICE|26|0.23076923076923078|131
Bearish Belthold|Entity|VIOV|10|0.2|64
Bearish Belthold|Industry|LABORATORY ANALYTICAL INSTRUMENTS|10|0.2|88
Bearish Belthold|Overall|All|4569|0.1908513898008317|112
Bearish Belthold|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|32|0.1875|83
Bearish Belthold|Entity|USD|11|0.18181818181818182|103
Bearish Belthold|Entity|ONEQ|11|0.18181818181818182|122
Bearish Belthold|Entity|PSCC|17|0.17647058823529413|68
Bearish Belthold|Industry|SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.|18|0.16666666666666666|127
Bearish Belthold|Industry|LIFE INSURANCE|13|0.15384615384615385|150
Bearish Belthold|Entity|XMLV|14|0.14285714285714285|98
Bearish Belthold|Industry|SAVINGS INSTITUTION, FEDERALLY CHARTERED|15|0.13333333333333333|166
Bearish Belthold|Industry|SERVICES-BUSINESS SERVICES, NEC|31|0.12903225806451613|82
Bearish Belthold|Industry|STATE COMMERCIAL BANKS|154|0.12337662337662338|141
Bearish Belthold|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|26|0.11538461538461539|201
Bearish Belthold|Industry|ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES|11|0.09090909090909091|34
Bearish Belthold|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|45|0.08888888888888889|205
Bearish Belthold|Industry|REAL ESTATE INVESTMENT TRUSTS|132|0.08333333333333333|109
Bearish Belthold|Entity|SMLV|12|0.08333333333333333|144
Bearish Belthold|Entity|MDYG|13|0.07692307692307693|6
Bearish Belthold|Industry|ELECTRIC SERVICES|26|0.07692307692307693|239
Bearish Belthold|Industry|FIRE, MARINE & CASUALTY INSURANCE|68|0.07352941176470588|192
Bearish Belthold|Industry|NATIONAL COMMERCIAL BANKS|118|0.06779661016949153|142
Bearish Belthold|Industry|WATER SUPPLY|26|0.038461538461538464|186
Bearish Belthold|Entity|CDC|17|0|0
Bearish Belthold|Entity|XMPT|12|0|0
Bearish Belthold|Entity|VIOG|11|0|0
Bearish Belthold|Industry|SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED|16|0|0
Bearish Belthold|Industry|CUTLERY, HANDTOOLS & GENERAL HARDWARE|11|0|0
Bearish Belthold|Industry|NATURAL GAS DISTRIBUTION|15|0|0
Bearish Belthold|Industry|ELECTRIC & OTHER SERVICES COMBINED|26|0|0
Bearish Belthold|Entity|CFO|19|0|0
Bearish Belthold|Entity|PSCU|10|0|0
Bearish Belthold|Entity|USDU|13|0|0
