Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Belthold|A|LABORATORY ANALYTICAL INSTRUMENTS||4/13/2015|Close|43.0400|7/27/2016|High|47.4600|6/30/2015|Low|38.4800|Down|56|78
Bearish Belthold|A|LABORATORY ANALYTICAL INSTRUMENTS||7/15/2016|Close|46.6700|||||||||
Bearish Belthold|AADR|||11/5/2015|Close|38.9150||||1/14/2016|Low|34.9200|Down|50|70
Bearish Belthold|AADR|||11/24/2015|Close|39.2100||||1/13/2016|Low|35.1226|Down|36|50
Bearish Belthold|AADR|||1/4/2016|Close|37.7143|10/19/2016|High|41.6686||||Up|207|289
Bearish Belthold|AADR|||3/14/2016|Close|37.6100|10/19/2016|High|41.6686||||Up|157|219
Bearish Belthold|AADR|||4/7/2016|Close|38.2900|10/24/2016|High|42.3000||||Up|142|200
Bearish Belthold|AADR|||10/24/2016|Close|41.9200|||||||||
Bearish Belthold|AAL|AIR TRANSPORTATION, SCHEDULED||4/27/2015|Close|51.8700||||5/6/2015|Low|46.1500|Down|7|9
Bearish Belthold|AAL|AIR TRANSPORTATION, SCHEDULED||10/11/2016|Close|38.2000|11/9/2016|High|42.7500||||Up|21|29
Bearish Belthold|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||11/25/2016|Close|29.5900|12/8/2016|High|32.8460||||Up|9|13
Bearish Belthold|AAON|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP||4/24/2015|Close|24.6600|3/18/2016|High|27.4900|5/7/2015|Low|21.4200|Down|9|13
Bearish Belthold|AAON|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP||7/14/2016|Close|27.9900|10/5/2016|High|30.8000||||Up|59|83
Bearish Belthold|AAON|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP||11/15/2016|Close|32.3000|||||||||
Bearish Belthold|AAXJ|||4/24/2015|Close|69.5050||||6/29/2015|Low|62.2700|Down|46|66
Bearish Belthold|AAXJ|||8/1/2016|Close|57.6700|||||||||
Bearish Belthold|ABCB|STATE COMMERCIAL BANKS||5/31/2016|Close|31.8300|9/1/2016|High|35.0700|6/27/2016|Low|27.9200|Down|19|27
Bearish Belthold|ABM|SERVICES-TO DWELLINGS & OTHER BUILDINGS||3/4/2015|Close|29.3700|3/23/2015|High|32.5000||||Up|13|19
Bearish Belthold|ABM|SERVICES-TO DWELLINGS & OTHER BUILDINGS||5/8/2015|Close|32.1400|6/9/2016|High|37.5900|9/3/2015|Low|28.6600|Down|84|118
Bearish Belthold|ABM|SERVICES-TO DWELLINGS & OTHER BUILDINGS||9/9/2016|Close|38.5800|11/14/2016|High|43.0000||||Up|46|66
Bearish Belthold|ABT|PHARMACEUTICAL PREPARATIONS||11/4/2015|Close|45.1800||||1/8/2016|Low|40.5400|Down|47|65
Bearish Belthold|ACAD|PHARMACEUTICAL PREPARATIONS||9/21/2015|Close|39.0900|11/3/2015|High|43.0650|9/25/2015|Low|33.4200|Down|4|4
Bearish Belthold|ACET|PHARMACEUTICAL PREPARATIONS||3/25/2015|Close|22.0000|5/22/2015|High|24.3000|4/24/2015|Low|19.7650|Down|22|30
Bearish Belthold|ACET|PHARMACEUTICAL PREPARATIONS||6/17/2015|Close|25.0800|9/15/2015|High|29.8200|8/24/2015|Low|22.0300|Down|48|68
Bearish Belthold|ACGL|FIRE, MARINE & CASUALTY INSURANCE||10/9/2015|Close|75.6300|9/7/2016|High|83.6100|12/22/2015|Low|67.9800|Down|52|74
Bearish Belthold|ACN|SERVICES-BUSINESS SERVICES, NEC||7/17/2015|Close|100.4800|3/24/2016|High|114.4350|8/24/2015|Low|88.4300|Down|26|38
Bearish Belthold|ACN|SERVICES-BUSINESS SERVICES, NEC||5/11/2016|Close|115.9800|||||||||
Bearish Belthold|ACNB|STATE COMMERCIAL BANKS||9/22/2015|Close|20.9100|5/20/2016|High|23.8900||||Up|173|241
Bearish Belthold|ACNB|STATE COMMERCIAL BANKS||11/3/2015|Close|21.4300|5/20/2016|High|23.8900||||Up|143|199
Bearish Belthold|ACNB|STATE COMMERCIAL BANKS||3/16/2016|Close|22.1000|5/24/2016|High|25.0900||||Up|49|69
Bearish Belthold|ACNB|STATE COMMERCIAL BANKS||6/22/2016|Close|24.4200|8/12/2016|High|27.8300||||Up|37|51
Bearish Belthold|ACNB|STATE COMMERCIAL BANKS||8/12/2016|Close|27.0500|11/10/2016|High|30.0000||||Up|64|90
Bearish Belthold|ACU|CUTLERY, HANDTOOLS & GENERAL HARDWARE||5/23/2016|Close|17.5950|7/5/2016|High|19.5000||||Up|31|43
Bearish Belthold|ACU|CUTLERY, HANDTOOLS & GENERAL HARDWARE||7/20/2016|Close|19.4800|7/22/2016|High|22.1899||||Up|2|2
Bearish Belthold|ACWV|||4/13/2015|Close|72.9600||||8/24/2015|Low|58.1200|Down|95|133
Bearish Belthold|ACWV|||4/27/2015|Close|73.8251||||8/24/2015|Low|58.1200|Down|85|119
Bearish Belthold|ACWV|||2/26/2016|Close|69.7900|7/1/2016|High|76.8400||||Up|90|126
Bearish Belthold|ACWV|||3/30/2016|Close|73.7800|||||||||
Bearish Belthold|ACWV|||7/12/2016|Close|77.5100|||||||||
Bearish Belthold|ADBE|SERVICES-PREPACKAGED SOFTWARE||5/15/2015|Close|78.9200|8/18/2015|High|87.2500||||Up|67|95
Bearish Belthold|ADBE|SERVICES-PREPACKAGED SOFTWARE||3/18/2016|Close|93.4200|9/1/2016|High|102.9700||||Up|119|167
Bearish Belthold|ADC|REAL ESTATE INVESTMENT TRUSTS||10/9/2015|Close|30.6800|10/28/2015|High|34.0700||||Up|13|19
Bearish Belthold|ADC|REAL ESTATE INVESTMENT TRUSTS||7/14/2016|Close|49.1800||||11/10/2016|Low|42.3800|Down|85|119
Bearish Belthold|ADP|SERVICES-COMPUTER PROCESSING & DATA PREPARATION||7/28/2016|Close|91.7300||||5/22/2014|Low|77.5200|Down|-570|-798
Bearish Belthold|ADTN|TELEPHONE & TELEGRAPH APPARATUS||10/20/2016|Close|19.4000|12/7/2016|High|21.6500||||Up|34|48
Bearish Belthold|ADTN|TELEPHONE & TELEGRAPH APPARATUS||11/21/2016|Close|20.0000|12/8/2016|High|22.4965||||Up|13|17
Bearish Belthold|ADUS|SERVICES-HOME HEALTH CARE SERVICES||3/3/2015|Close|22.1400|4/7/2015|High|25.3500|11/9/2015|Low|19.8735|Up|25|35
Bearish Belthold|ADUS|SERVICES-HOME HEALTH CARE SERVICES||6/17/2015|Close|28.5100|9/10/2015|High|33.4300|7/27/2015|Low|25.0000|Down|28|40
Bearish Belthold|AE|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||4/6/2015|Close|65.6400||||4/22/2015|Low|58.7000|Down|12|16
Bearish Belthold|AEE|ELECTRIC & OTHER SERVICES COMBINED||11/1/2016|Close|49.1700|||||||||
Bearish Belthold|AEIS|ELECTRONIC COMPONENTS, NEC||5/19/2015|Close|28.1100|3/1/2016|High|31.5700|8/4/2015|Low|24.3500|Down|55|77
Bearish Belthold|AEIS|ELECTRONIC COMPONENTS, NEC||12/7/2015|Close|29.2000|3/16/2016|High|32.3300|1/5/2016|Low|26.0200|Down|21|29
Bearish Belthold|AEIS|ELECTRONIC COMPONENTS, NEC||8/2/2016|Close|39.9100|8/19/2016|High|44.0000||||Up|13|17
Bearish Belthold|AEIS|ELECTRONIC COMPONENTS, NEC||8/22/2016|Close|43.8000|9/28/2016|High|48.2800||||Up|27|37
Bearish Belthold|AEIS|ELECTRONIC COMPONENTS, NEC||9/28/2016|Close|46.7700|11/14/2016|High|52.2000||||Up|33|47
Bearish Belthold|AER|||8/11/2015|Close|47.3900||||8/24/2015|Low|39.6000|Down|9|13
Bearish Belthold|AFG|FIRE, MARINE & CASUALTY INSURANCE||12/3/2015|Close|73.5700|11/14/2016|High|81.1200|1/20/2016|Low|65.1300|Down|34|48
Bearish Belthold|AFG|FIRE, MARINE & CASUALTY INSURANCE||7/1/2016|Close|73.3600|11/14/2016|High|81.1200||||Up|96|136
Bearish Belthold|AFT|||3/17/2015|Close|17.4000||||8/24/2015|Low|15.4100|Down|114|160
Bearish Belthold|AFT|||7/9/2015|Close|18.1300||||8/24/2015|Low|15.4100|Down|32|46
Bearish Belthold|AFT|||8/30/2016|Close|16.4400|||||||||
