Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Belthold|AADI.US|Biotechnology|Healthcare|10/24/2016|Close|628.8000|2/21/2017|High|692.8500|8/8/2017|Low|90.0000|Up|86|120
Bearish Belthold|AADR.US|||10/24/2016|Close|41.9200|2/21/2017|High|46.1900|8/8/2017|Low|6.0000|Up|86|120
Bearish Belthold|AAL.US|Airlines|Industrials|4/21/2017|Close|45.1500|6/2/2017|High|50.4700|6/25/2018|Low|39.2900|Up|30|42
Bearish Belthold|AAPL.US|Consumer Electronics|Technology|10/6/1987|Close|0.4978|2/11/1991|High|0.5491|10/16/1987|Low|0.4241|Down|8|10
Bearish Belthold|AAPL.US|Consumer Electronics|Technology|8/5/1991|Close|0.4330|8/13/1991|High|0.4821|6/22/1992|Low|0.3817|Up|6|8
Bearish Belthold|AAPL.US|Consumer Electronics|Technology|8/15/1991|Close|0.4754|1/2/1992|High|0.5335|9/16/1991|Low|0.4152|Down|22|32
Bearish Belthold|AAPL.US|Consumer Electronics|Technology|2/27/1992|Close|0.6116|9/7/1999|High|0.6959|3/12/1992|Low|0.5491|Down|10|14
Bearish Belthold|AAP.US|Specialty Retail|Consumer Cyclical|8/6/2008|Close|42.0300|7/21/2009|High|46.3600|9/18/2008|Low|37.5100|Down|31|43
Bearish Belthold|AAP.US|Specialty Retail|Consumer Cyclical|5/26/2010|Close|50.2000|7/27/2010|High|55.7800||||Up|44|62
Bearish Belthold|AAP.US|Specialty Retail|Consumer Cyclical|6/1/2010|Close|50.3700|7/27/2010|High|55.7800||||Up|40|56
Bearish Belthold|AA.US|Aluminum|Basic Materials|6/24/1963|Close|6.7584|1/13/1964|High|7.4468|7/22/1963|Low|5.8823|Down|20|28
Bearish Belthold|AA.US|Aluminum|Basic Materials|4/23/1965|Close|7.2340|5/17/1965|High|7.9725|7/23/1968|Low|6.3579|Up|16|24
Bearish Belthold|AA.US|Aluminum|Basic Materials|5/1/1969|Close|8.2102|9/22/1976|High|9.1614|6/19/1969|Low|7.3842|Down|35|49
Bearish Belthold|AA.US|Aluminum|Basic Materials|9/19/1969|Close|7.4092|5/19/1976|High|8.2415|1/28/1970|Low|6.6583|Down|93|131
Bearish Belthold|AA.US|Aluminum|Basic Materials|4/23/1973|Close|5.6070|5/8/1973|High|6.2578|10/8/1974|Low|5.0125|Up|11|15
Bearish Belthold|AA.US|Aluminum|Basic Materials|8/8/1973|Close|6.7835|9/19/1973|High|7.5594|11/20/1973|Low|5.8823|Up|30|42
Bearish Belthold|AA.US|Aluminum|Basic Materials|2/24/1975|Close|5.7822|4/15/1975|High|6.4956|3/3/1975|Low|5.1815|Down|5|7
Bearish Belthold|AA.US|Aluminum|Basic Materials|6/15/1976|Close|8.5607|1/16/1980|High|9.4994|11/8/1976|Low|7.6971|Down|104|146
Bearish Belthold|AA.US|Aluminum|Basic Materials|8/16/1979|Close|8.3730|1/14/1980|High|9.2365|10/19/1979|Low|7.3967|Down|46|64
Bearish Belthold|AA.US|Aluminum|Basic Materials|9/23/1980|Close|11.2265|6/16/1983|High|12.3529|10/24/1980|Low|10.0813|Down|23|31
Bearish Belthold|AA.US|Aluminum|Basic Materials|8/24/1982|Close|8.4105|10/21/1982|High|9.3116|3/12/2020|Low|7.2400|Up|42|58
Bearish Belthold|AA.US|Aluminum|Basic Materials|8/23/1983|Close|13.1039|1/9/1984|High|14.4180|2/6/1984|Low|11.5269|Up|99|139
Bearish Belthold|AA.US|Aluminum|Basic Materials|11/7/1984|Close|11.2265|1/27/1986|High|12.3905|3/14/1985|Low|10.0250|Down|91|127
Bearish Belthold|AA.US|Aluminum|Basic Materials|12/18/1985|Close|11.9399|2/7/1986|High|13.4042|1/23/1986|Low|10.5882|Down|26|36
Bearish Belthold|AA.US|Aluminum|Basic Materials|2/6/1987|Close|12.9912|4/20/1987|High|14.3429|10/20/1987|Low|10.2128|Up|51|73
Bearish Belthold|AA.US|Aluminum|Basic Materials|12/21/1988|Close|16.3329|1/11/1989|High|18.0225|2/20/2009|Low|14.3940|Up|15|21
Bearish Belthold|AA.US|Aluminum|Basic Materials|4/17/1989|Close|19.0363|8/1/1989|High|21.0638|10/10/1990|Low|16.8210|Up|76|106
Bearish Belthold|AA.US|Aluminum|Basic Materials|6/12/1989|Close|19.9374|8/8/1989|High|22.3404|10/10/1990|Low|16.8210|Up|41|57
Bearish Belthold|AA.US|Aluminum|Basic Materials|6/26/1989|Close|20.3129|8/9/1989|High|22.3779|1/29/1990|Low|17.9850|Up|32|44
Bearish Belthold|AA.US|Aluminum|Basic Materials|10/9/1989|Close|23.6545|9/16/1994|High|26.0575|10/16/1989|Low|21.0263|Down|5|7
Bearish Belthold|AA.US|Aluminum|Basic Materials|2/5/1991|Close|19.8248|6/5/1991|High|21.9649|10/3/1991|Low|17.2716|Up|86|120
Bearish Belthold|AA.US|Aluminum|Basic Materials|2/14/1991|Close|20.3129|4/15/1992|High|22.4906|10/2/1991|Low|18.2102|Down|164|230
Bearish Belthold|AA.US|Aluminum|Basic Materials|7/22/1991|Close|21.4768|6/1/1992|High|23.6921|9/24/1991|Low|19.0738|Down|46|64
Bearish Belthold|AA.US|Aluminum|Basic Materials|3/4/1992|Close|21.7396|6/3/1992|High|23.9925|8/21/1992|Low|19.4493|Up|65|91
Bearish Belthold|AA.US|Aluminum|Basic Materials|4/21/1992|Close|22.8660|8/31/1994|High|25.3066|8/11/1992|Low|20.5757|Down|80|112
Bearish Belthold|AA.US|Aluminum|Basic Materials|12/10/1992|Close|21.6645|1/31/1994|High|23.9925|3/30/1993|Low|19.3366|Down|78|110
Bearish Belthold|AA.US|Aluminum|Basic Materials|2/3/1998|Close|46.2953|1/8/1999|High|51.1764|2/24/1998|Low|41.6019|Down|15|21
Bearish Belthold|AA.US|Aluminum|Basic Materials|12/20/2000|Close|75.5443|12/22/2000|High|84.1050|9/20/2001|Low|67.3080|Up|2|2
Bearish Belthold|AA.US|Aluminum|Basic Materials|7/10/2006|Close|80.2842|5/7/2007|High|93.3085|7/18/2006|Low|72.1140|Down|6|8
Bearish Belthold|ABCB.US|Banks - Regional|Financial Services|7/10/1996|Close|10.0652|2/25/1997|High|11.0785|12/12/1996|Low|9.0519|Down|111|155
Bearish Belthold|ABCB.US|Banks - Regional|Financial Services|2/9/2001|Close|9.1702|4/12/2001|High|10.2301|7/7/2008|Low|7.6554|Up|44|62
Bearish Belthold|ABCB.US|Banks - Regional|Financial Services|7/9/2001|Close|9.0789|7/19/2001|High|10.1328|7/7/2008|Low|7.6554|Up|8|10
Bearish Belthold|ABCB.US|Banks - Regional|Financial Services|8/6/2001|Close|10.5380|3/27/2002|High|11.7540|7/23/2002|Low|8.9573|Up|167|233
Bearish Belthold|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|4/26/2018|Close|69.2000|6/12/2018|High|76.3000|10/10/2018|Low|61.7100|Up|33|47
Bearish Belthold|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|10/14/2021|Close|210.9200|2/1/2023|High|234.0050|11/2/2021|Low|184.1400|Down|13|19
Bearish Belthold|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|3/3/2022|Close|195.1300|1/27/2023|High|217.3100|3/24/2022|Low|173.3500|Down|15|21
Bearish Belthold|ABM.US|Specialty Business Services|Industrials|4/1/1999|Close|14.8438|2/21/2001|High|16.3750|7/29/1999|Low|12.5938|Down|85|119
Bearish Belthold|ABM.US|Specialty Business Services|Industrials|9/4/2008|Close|25.9300|10/22/2013|High|29.0600|9/5/2008|Low|20.0500|Down|1|1
Bearish Belthold|ABM.US|Specialty Business Services|Industrials|3/7/2022|Close|45.4900|4/18/2022|High|50.4150|6/13/2022|Low|38.5400|Up|30|42
Bearish Belthold|ABT.US|Medical Devices|Healthcare|6/27/1983|Close|1.3327|10/7/1983|High|1.4694|12/1/1983|Low|1.1503|Up|74|102
Bearish Belthold|ABT.US|Medical Devices|Healthcare|2/22/1989|Close|2.8547|5/4/1989|High|3.1563||||Up|51|71
Bearish Belthold|ABT.US|Medical Devices|Healthcare|4/3/1989|Close|3.0301|5/15/1989|High|3.3527||||Up|30|42
Bearish Belthold|ABT.US|Medical Devices|Healthcare|10/23/1990|Close|4.8958|3/8/1991|High|5.4289|11/1/1990|Low|4.4048|Down|7|9
Bearish Belthold|ABT.US|Medical Devices|Healthcare|11/4/1991|Close|6.6634|12/23/1991|High|7.3367|6/8/1992|Low|5.9760|Up|35|49
Bearish Belthold|ABT.US|Medical Devices|Healthcare|2/18/1998|Close|16.8057|6/19/1998|High|18.5172|12/13/1999|Low|15.0101|Up|87|121
Bearish Belthold|ABT.US|Medical Devices|Healthcare|5/4/2004|Close|20.0460|12/16/2004|High|22.2147|11/30/2005|Low|17.9925|Up|162|226
Bearish Belthold|ABT.US|Medical Devices|Healthcare|8/9/2007|Close|26.3554|1/10/2008|High|29.3110|10/10/2008|Low|21.9508|Up|110|154
Bearish Belthold|AB.US|Asset Management|Financial Services|8/3/1992|Close|9.1562|1/28/1993|High|10.2188|8/24/1992|Low|8.0000|Down|15|21
Bearish Belthold|AB.US|Asset Management|Financial Services|12/1/1992|Close|8.6875|1/27/1993|High|9.8125|1/26/1995|Low|7.6875|Up|41|57
Bearish Belthold|AB.US|Asset Management|Financial Services|3/17/1993|Close|11.1250|9/22/1993|High|12.2500|4/6/1993|Low|9.8125|Down|14|20
Bearish Belthold|AB.US|Asset Management|Financial Services|5/19/2000|Close|44.5625|6/5/2000|High|49.3750|3/22/2001|Low|37.4000|Up|11|17
Bearish Belthold|AB.US|Asset Management|Financial Services|1/19/2001|Close|55.3125|1/12/2006|High|63.9500|2/5/2001|Low|48.6500|Down|11|17
Bearish Belthold|AB.US|Asset Management|Financial Services|12/4/2018|Close|29.9800|1/16/2020|High|33.0700|12/6/2018|Low|25.8800|Down|2|2
