Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Belthold|Entity|EFAD|11|1|97
Bearish Belthold|Entity|EUDG|10|1|166
Bearish Belthold|Entity|REET|12|0.9166666666666666|107
Bearish Belthold|Entity|DBEM|11|0.8181818181818182|217
Bearish Belthold|Entity|DIV|10|0.8|218
Bearish Belthold|Entity|FNDC|10|0.8|232
Bearish Belthold|Entity|PSCD|13|0.7692307692307693|112
Bearish Belthold|Entity|SMIN|12|0.75|46
Bearish Belthold|Entity|VEGI|12|0.75|153
Bearish Belthold|Entity|IUSG|12|0.75|162
Bearish Belthold|Entity|URTH|12|0.75|210
Bearish Belthold|Entity|DEF|12|0.75|247
Bearish Belthold|Entity|AOM|12|0.75|281
Bearish Belthold|Entity|ENFR|15|0.7333333333333333|81
Bearish Belthold|Industry|STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)|11|0.7272727272727273|30
Bearish Belthold|Entity|INKM|11|0.7272727272727273|303
Bearish Belthold|Industry|PUMPS & PUMPING EQUIPMENT|14|0.7142857142857143|53
Bearish Belthold|Entity|IVOG|17|0.7058823529411765|98
Bearish Belthold|Industry|WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION|10|0.7|38
Bearish Belthold|Entity|XSD|10|0.7|67
Bearish Belthold|Entity|KIO|10|0.7|123
Bearish Belthold|Entity|PYZ|10|0.7|129
Bearish Belthold|Entity|AOA|10|0.7|256
Bearish Belthold|Entity|MLPX|13|0.6923076923076923|99
Bearish Belthold|Entity|IWX|16|0.6875|183
Bearish Belthold|Entity|GAL|19|0.6842105263157895|375
Bearish Belthold|Entity|FTC|12|0.6666666666666666|92
Bearish Belthold|Entity|PEZ|18|0.6666666666666666|100
Bearish Belthold|Industry|PETROLEUM REFINING|14|0.6428571428571429|49
Bearish Belthold|Entity|DSI|14|0.6428571428571429|242
Bearish Belthold|Industry|AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC|11|0.6363636363636364|27
Bearish Belthold|Industry|MISCELLANEOUS MANUFACTURING INDUSTRIES|11|0.6363636363636364|50
Bearish Belthold|Entity|FENY|11|0.6363636363636364|86
Bearish Belthold|Entity|IYF|11|0.6363636363636364|86
Bearish Belthold|Entity|XSW|11|0.6363636363636364|87
Bearish Belthold|Entity|RFV|11|0.6363636363636364|149
Bearish Belthold|Entity|PSCI|11|0.6363636363636364|227
Bearish Belthold|Entity|VOOV|11|0.6363636363636364|236
Bearish Belthold|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|19|0.631578947368421|55
Bearish Belthold|Entity|PSCH|16|0.625|93
Bearish Belthold|Entity|QQEW|13|0.6153846153846154|141
Bearish Belthold|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|18|0.6111111111111112|45
Bearish Belthold|Industry|WHOLESALE-COMPUTERS & PERIPHERAL EQUIPMENT & SOFTWARE|10|0.6|40
Bearish Belthold|Entity|MDYV|10|0.6|93
Bearish Belthold|Entity|FPA|10|0.6|97
Bearish Belthold|Entity|IYLD|10|0.6|218
Bearish Belthold|Entity|PSI|22|0.5909090909090909|83
Bearish Belthold|Industry|APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL|12|0.5833333333333334|33
Bearish Belthold|Industry|SERVICES-ENGINEERING SERVICES|12|0.5833333333333334|36
Bearish Belthold|Entity|ROM|12|0.5833333333333334|51
Bearish Belthold|Industry|NATURAL GAS TRANSMISSION|12|0.5833333333333334|56
Bearish Belthold|Entity|QTEC|12|0.5833333333333334|106
Bearish Belthold|Entity|FNCL|12|0.5833333333333334|178
Bearish Belthold|Entity|VIOV|19|0.5789473684210527|152
Bearish Belthold|Industry|PHARMACEUTICAL PREPARATIONS|92|0.5760869565217391|27
Bearish Belthold|Entity|ARKG|14|0.5714285714285714|85
Bearish Belthold|Entity|SPYV|14|0.5714285714285714|228
Bearish Belthold|Entity|EQL|14|0.5714285714285714|282
Bearish Belthold|Industry|HOUSEHOLD FURNITURE|16|0.5625|-108
Bearish Belthold|Entity|QYLD|20|0.55|170
Bearish Belthold|Industry|CRUDE PETROLEUM & NATURAL GAS|31|0.5483870967741935|46
Bearish Belthold|Entity|QABA|11|0.5454545454545454|49
Bearish Belthold|Industry|RETAIL-VARIETY STORES|11|0.5454545454545454|91
Bearish Belthold|Entity|IPO|11|0.5454545454545454|96
Bearish Belthold|Entity|REK|11|0.5454545454545454|98
Bearish Belthold|Entity|DAX|11|0.5454545454545454|155
Bearish Belthold|Entity|SLYG|13|0.5384615384615384|96
Bearish Belthold|Industry|OPERATIVE BUILDERS|15|0.5333333333333333|39
Bearish Belthold|Entity|AIRR|15|0.5333333333333333|63
Bearish Belthold|Entity|FSTA|17|0.5294117647058824|229
Bearish Belthold|Industry|SERVICES-COMPUTER PROCESSING & DATA PREPARATION|21|0.5238095238095238|-105
Bearish Belthold|Industry|INVESTMENT ADVICE|67|0.5074626865671642|64
Bearish Belthold|Entity|USD|16|0.5|29
Bearish Belthold|Industry|SEMICONDUCTORS & RELATED DEVICES|48|0.5|30
Bearish Belthold|Entity|RETL|16|0.5|34
Bearish Belthold|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|22|0.5|37
Bearish Belthold|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|10|0.5|50
Bearish Belthold|Industry|RETAIL-APPAREL & ACCESSORY STORES|12|0.5|53
Bearish Belthold|Industry|TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)|12|0.5|54
Bearish Belthold|Industry|PRINTED CIRCUIT BOARDS|12|0.5|56
Bearish Belthold|Entity|DXJS|10|0.5|61
Bearish Belthold|Entity|RBCAA|10|0.5|68
Bearish Belthold|Entity|INCO|14|0.5|70
Bearish Belthold|Entity|SKYY|16|0.5|83
Bearish Belthold|Industry|BEVERAGES|10|0.5|87
Bearish Belthold|Industry|RETAIL-MISCELLANEOUS RETAIL|10|0.5|95
Bearish Belthold|Entity|PRN|12|0.5|103
Bearish Belthold|Entity|BCV|10|0.5|104
Bearish Belthold|Industry|GAS & OTHER SERVICES COMBINED|10|0.5|117
Bearish Belthold|Entity|QQQE|20|0.5|138
Bearish Belthold|Entity|RWK|14|0.5|163
Bearish Belthold|Entity|SMLV|16|0.5|189
Bearish Belthold|Entity|VONE|12|0.5|190
Bearish Belthold|Entity|DGRW|14|0.5|196
Bearish Belthold|Entity|VIOO|10|0.5|204
Bearish Belthold|Entity|CSF|16|0.5|258
Bearish Belthold|Entity|FDL|10|0.5|263
Bearish Belthold|Entity|FCOM|10|0.5|293
Bearish Belthold|Entity|CFO|33|0.48484848484848486|209
Bearish Belthold|Industry|REAL ESTATE|19|0.47368421052631576|57
Bearish Belthold|Entity|KNOW|19|0.47368421052631576|177
Bearish Belthold|Industry|AIR TRANSPORTATION, SCHEDULED|15|0.4666666666666667|41
Bearish Belthold|Industry|CONSTRUCTION MACHINERY & EQUIP|15|0.4666666666666667|48
Bearish Belthold|Entity|FAD|15|0.4666666666666667|108
Bearish Belthold|Industry|CHEMICALS & ALLIED PRODUCTS|13|0.46153846153846156|52
Bearish Belthold|Entity|KBWR|13|0.46153846153846156|57
Bearish Belthold|Industry|HOTELS & MOTELS|13|0.46153846153846156|66
Bearish Belthold|Entity|RDVY|13|0.46153846153846156|176
Bearish Belthold|Entity|HDG|13|0.46153846153846156|202
Bearish Belthold|Industry|GENERAL INDUSTRIAL MACHINERY & EQUIPMENT|11|0.45454545454545453|51
Bearish Belthold|Industry|NATURAL GAS TRANSMISSION & DISTRIBUTION|11|0.45454545454545453|59
Bearish Belthold|Entity|FDIS|22|0.45454545454545453|85
Bearish Belthold|Entity|KBWY|11|0.45454545454545453|91
Bearish Belthold|Industry|CABLE & OTHER PAY TELEVISION SERVICES|22|0.45454545454545453|96
Bearish Belthold|Entity|VIOG|11|0.45454545454545453|111
Bearish Belthold|Entity|MDYG|22|0.45454545454545453|115
Bearish Belthold|Entity|FNY|11|0.45454545454545453|143
Bearish Belthold|Entity|SJB|11|0.45454545454545453|621
Bearish Belthold|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|113|0.45132743362831856|87
Bearish Belthold|Industry|SERVICES-PREPACKAGED SOFTWARE|74|0.44594594594594594|48
Bearish Belthold|Entity|CDC|27|0.4444444444444444|124
Bearish Belthold|Overall|All|9294|0.43845491715085|106
Bearish Belthold|Entity|XAR|16|0.4375|112
Bearish Belthold|Entity|RLY|16|0.4375|122
Bearish Belthold|Entity|ISRA|16|0.4375|288
Bearish Belthold|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|37|0.43243243243243246|56
Bearish Belthold|Entity|PTH|14|0.42857142857142855|51
Bearish Belthold|Entity|XSLV|14|0.42857142857142855|190
Bearish Belthold|Entity|XMLV|21|0.42857142857142855|192
Bearish Belthold|Industry|RETAIL-FAMILY CLOTHING STORES|19|0.42105263157894735|48
Bearish Belthold|Industry|FOOD AND KINDRED PRODUCTS|12|0.4166666666666667|41
Bearish Belthold|Entity|XTL|12|0.4166666666666667|145
Bearish Belthold|Entity|SIZE|12|0.4166666666666667|231
Bearish Belthold|Industry|SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES|17|0.4117647058823529|40
Bearish Belthold|Entity|ROBO|17|0.4117647058823529|93
Bearish Belthold|Industry|SERVICES-HELP SUPPLY SERVICES|20|0.4|28
Bearish Belthold|Entity|UPW|10|0.4|31
Bearish Belthold|Industry|WATER TRANSPORTATION|10|0.4|44
Bearish Belthold|Entity|PKB|10|0.4|66
Bearish Belthold|Entity|RFG|10|0.4|92
Bearish Belthold|Entity|VGI|10|0.4|125
Bearish Belthold|Entity|DGRO|10|0.4|173
Bearish Belthold|Entity|GMOM|10|0.4|198
Bearish Belthold|Entity|RDIV|15|0.4|358
Bearish Belthold|Industry|ELECTRIC & OTHER SERVICES COMBINED|53|0.39622641509433965|88
Bearish Belthold|Industry|LIFE INSURANCE|23|0.391304347826087|91
Bearish Belthold|Industry|REAL ESTATE INVESTMENT TRUSTS|243|0.39094650205761317|121
Bearish Belthold|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|62|0.3870967741935484|35
Bearish Belthold|Entity|RXL|13|0.38461538461538464|39
Bearish Belthold|Industry|PERSONAL CREDIT INSTITUTIONS|13|0.38461538461538464|93
Bearish Belthold|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|26|0.38461538461538464|99
Bearish Belthold|Industry|ELECTRIC SERVICES|52|0.38461538461538464|123
Bearish Belthold|Industry|SERVICES-MANAGEMENT CONSULTING SERVICES|24|0.375|34
Bearish Belthold|Entity|ARKW|19|0.3684210526315789|103
Bearish Belthold|Industry|BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS|11|0.36363636363636365|27
Bearish Belthold|Entity|PBJ|11|0.36363636363636365|88
Bearish Belthold|Entity|CAPE|11|0.36363636363636365|146
Bearish Belthold|Entity|QDF|11|0.36363636363636365|170
Bearish Belthold|Entity|ARKQ|11|0.36363636363636365|183
Bearish Belthold|Entity|EPS|11|0.36363636363636365|261
Bearish Belthold|Entity|AOR|11|0.36363636363636365|313
Bearish Belthold|Industry|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)|14|0.35714285714285715|19
Bearish Belthold|Entity|PSL|14|0.35714285714285715|51
Bearish Belthold|Industry|AIRCRAFT ENGINES & ENGINE PARTS|17|0.35294117647058826|68
Bearish Belthold|Industry|LABORATORY ANALYTICAL INSTRUMENTS|20|0.35|27
Bearish Belthold|Industry|NATURAL GAS DISTRIBUTION|29|0.3448275862068966|77
Bearish Belthold|Industry|RETAIL-DEPARTMENT STORES|12|0.3333333333333333|59
Bearish Belthold|Entity|PSCU|15|0.3333333333333333|91
Bearish Belthold|Entity|XMPT|15|0.3333333333333333|180
Bearish Belthold|Entity|PPA|12|0.3333333333333333|184
Bearish Belthold|Industry|RETAIL-AUTO & HOME SUPPLY STORES|15|0.3333333333333333|313
Bearish Belthold|Industry|RETAIL-EATING PLACES|43|0.32558139534883723|71
Bearish Belthold|Industry|STATE COMMERCIAL BANKS|266|0.3157894736842105|77
Bearish Belthold|Entity|FV|19|0.3157894736842105|118
Bearish Belthold|Entity|QQXT|16|0.3125|64
Bearish Belthold|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|45|0.3111111111111111|88
Bearish Belthold|Entity|VOOG|13|0.3076923076923077|138
Bearish Belthold|Industry|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP|10|0.3|28
Bearish Belthold|Industry|TRUCKING (NO LOCAL)|20|0.3|31
Bearish Belthold|Industry|RETAIL-DRUG STORES AND PROPRIETARY STORES|10|0.3|75
Bearish Belthold|Entity|PWB|10|0.3|80
Bearish Belthold|Entity|COMT|10|0.3|101
Bearish Belthold|Entity|AHLpC|10|0.3|123
Bearish Belthold|Entity|IYC|10|0.3|157
Bearish Belthold|Entity|LBRDA|10|0.3|216
Bearish Belthold|Entity|VWOB|10|0.3|518
Bearish Belthold|Industry|FIRE, MARINE & CASUALTY INSURANCE|116|0.29310344827586204|85
Bearish Belthold|Industry|RETAIL-GROCERY STORES|21|0.2857142857142857|60
Bearish Belthold|Industry|COMPUTER PERIPHERAL EQUIPMENT, NEC|11|0.2727272727272727|11
Bearish Belthold|Industry|SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY)|11|0.2727272727272727|77
Bearish Belthold|Entity|DGRS|11|0.2727272727272727|147
Bearish Belthold|Entity|VONG|11|0.2727272727272727|167
Bearish Belthold|Entity|SPHD|11|0.2727272727272727|185
Bearish Belthold|Entity|QDEF|11|0.2727272727272727|197
Bearish Belthold|Entity|USDU|15|0.26666666666666666|276
Bearish Belthold|Entity|KBWP|23|0.2608695652173913|54
Bearish Belthold|Industry|WATER SUPPLY|39|0.2564102564102564|100
Bearish Belthold|Industry|SERVICES-BUSINESS SERVICES, NEC|63|0.25396825396825395|33
Bearish Belthold|Industry|WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES|12|0.25|27
Bearish Belthold|Industry|SERVICES-PERSONAL SERVICES|12|0.25|36
Bearish Belthold|Industry|REFRIGERATION & SERVICE INDUSTRY MACHINERY|12|0.25|36
Bearish Belthold|Entity|CNXT|16|0.25|41
Bearish Belthold|Industry|RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY|12|0.25|64
Bearish Belthold|Industry|INDUSTRIAL ORGANIC CHEMICALS|12|0.25|81
Bearish Belthold|Entity|FHLC|12|0.25|137
