Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Belthold|Entity|EMLC.US|14|1|223
Bearish Belthold|Entity|FPE.US|16|1|1325
Bearish Belthold|Entity|PREF.US|22|0.9545454545454546|315
Bearish Belthold|Entity|BSCO.US|18|0.9444444444444444|1067
Bearish Belthold|Entity|BSJO.US|17|0.9411764705882353|471
Bearish Belthold|Entity|PFF.US|17|0.9411764705882353|484
Bearish Belthold|Entity|SBB.US|15|0.9333333333333333|94
Bearish Belthold|Entity|REET.US|14|0.9285714285714286|106
Bearish Belthold|Entity|VMBS.US|14|0.9285714285714286|2906
Bearish Belthold|Entity|PSK.US|41|0.926829268292683|359
Bearish Belthold|Entity|PGF.US|13|0.9230769230769231|573
Bearish Belthold|Entity|SUSC.US|12|0.9166666666666666|298
Bearish Belthold|Entity|SPXB.US|12|0.9166666666666666|411
Bearish Belthold|Entity|FMHI.US|23|0.9130434782608695|270
Bearish Belthold|Entity|EBND.US|11|0.9090909090909091|263
Bearish Belthold|Entity|FALN.US|21|0.9047619047619048|337
Bearish Belthold|Entity|SCHI.US|10|0.9|387
Bearish Belthold|Entity|HYS.US|30|0.9|947
Bearish Belthold|Entity|SPMB.US|19|0.8947368421052632|1835
Bearish Belthold|Entity|SJNK.US|18|0.8888888888888888|768
Bearish Belthold|Entity|SPHY.US|26|0.8846153846153846|594
Bearish Belthold|Entity|BWZ.US|26|0.8846153846153846|688
Bearish Belthold|Entity|BWX.US|17|0.8823529411764706|639
Bearish Belthold|Entity|VWOB.US|17|0.8823529411764706|1194
Bearish Belthold|Entity|PFXF.US|25|0.88|422
Bearish Belthold|Entity|SRET.US|23|0.8695652173913043|288
Bearish Belthold|Entity|EMCB.US|15|0.8666666666666667|398
Bearish Belthold|Entity|IBDP.US|15|0.8666666666666667|645
Bearish Belthold|Entity|LEMB.US|22|0.8636363636363636|426
Bearish Belthold|Entity|LQDH.US|21|0.8571428571428571|739
Bearish Belthold|Entity|DVYE.US|20|0.85|178
Bearish Belthold|Entity|ELD.US|13|0.8461538461538461|314
Bearish Belthold|Entity|PFFD.US|13|0.8461538461538461|383
Bearish Belthold|Entity|CEW.US|13|0.8461538461538461|439
Bearish Belthold|Entity|HYLS.US|13|0.8461538461538461|616
Bearish Belthold|Entity|LDUR.US|13|0.8461538461538461|1345
Bearish Belthold|Entity|SPSB.US|13|0.8461538461538461|2685
Bearish Belthold|Entity|EMIF.US|36|0.8333333333333334|149
Bearish Belthold|Entity|EFAS.US|12|0.8333333333333334|185
Bearish Belthold|Entity|KTN.US|12|0.8333333333333334|282
Bearish Belthold|Entity|DIV.US|18|0.8333333333333334|394
Bearish Belthold|Entity|JNK.US|18|0.8333333333333334|580
Bearish Belthold|Entity|SHYG.US|12|0.8333333333333334|681
Bearish Belthold|Entity|PCEF.US|35|0.8285714285714286|475
Bearish Belthold|Entity|AGG.US|23|0.8260869565217391|1575
Bearish Belthold|Entity|IHY.US|17|0.8235294117647058|558
Bearish Belthold|Entity|RIGS.US|17|0.8235294117647058|841
Bearish Belthold|Entity|BNDW.US|17|0.8235294117647058|861
Bearish Belthold|Entity|YLD.US|28|0.8214285714285714|510
Bearish Belthold|Entity|ALT.US|11|0.8181818181818182|30
Bearish Belthold|Entity|GYLD.US|22|0.8181818181818182|191
Bearish Belthold|Entity|PFFV.US|11|0.8181818181818182|254
Bearish Belthold|Industry|Multiline Utilities|11|0.8181818181818182|279
Bearish Belthold|Entity|FXY.US|11|0.8181818181818182|934
Bearish Belthold|Entity|PHB.US|11|0.8181818181818182|1126
Bearish Belthold|Entity|BOND.US|11|0.8181818181818182|1921
Bearish Belthold|Entity|MBB.US|11|0.8181818181818182|2370
Bearish Belthold|Entity|TNK.US|16|0.8125|19
Bearish Belthold|Entity|PGZ.US|16|0.8125|259
Bearish Belthold|Entity|HISF.US|21|0.8095238095238095|247
Bearish Belthold|Entity|FNDC.US|21|0.8095238095238095|281
Bearish Belthold|Entity|HNDL.US|26|0.8076923076923077|265
Bearish Belthold|Entity|KZIA.US|15|0.8|8
Bearish Belthold|Entity|TITN.US|10|0.8|17
Bearish Belthold|Entity|NCTY.US|10|0.8|18
Bearish Belthold|Entity|CAKE.US|10|0.8|25
Bearish Belthold|Entity|LRN.US|10|0.8|25
Bearish Belthold|Entity|AC.US|10|0.8|26
Bearish Belthold|Entity|ICAP.US|10|0.8|50
Bearish Belthold|Entity|SVOL.US|10|0.8|107
Bearish Belthold|Entity|UEVM.US|10|0.8|190
Bearish Belthold|Entity|LGOV.US|10|0.8|198
Bearish Belthold|Entity|PFLD.US|10|0.8|273
Bearish Belthold|Entity|SKOR.US|15|0.8|727
Bearish Belthold|Entity|SLVO.US|24|0.7916666666666666|77
Bearish Belthold|Entity|FCAL.US|19|0.7894736842105263|323
Bearish Belthold|Entity|QYLD.US|38|0.7894736842105263|336
Bearish Belthold|Entity|MDIV.US|19|0.7894736842105263|515
Bearish Belthold|Entity|PKOH.US|18|0.7777777777777778|22
Bearish Belthold|Entity|FEMB.US|18|0.7777777777777778|194
Bearish Belthold|Entity|HYXF.US|18|0.7777777777777778|388
Bearish Belthold|Entity|EOG.US|22|0.7727272727272727|30
Bearish Belthold|Entity|USVM.US|22|0.7727272727272727|157
Bearish Belthold|Entity|LDSF.US|22|0.7727272727272727|579
Bearish Belthold|Entity|CMBS.US|22|0.7727272727272727|1914
Bearish Belthold|Entity|IDCC.US|13|0.7692307692307693|12
Bearish Belthold|Entity|GOAU.US|13|0.7692307692307693|45
Bearish Belthold|Entity|RAND.US|13|0.7692307692307693|49
Bearish Belthold|Entity|PTMN.US|13|0.7692307692307693|69
Bearish Belthold|Entity|ULVM.US|26|0.7692307692307693|157
Bearish Belthold|Entity|YYY.US|34|0.7647058823529411|344
Bearish Belthold|Entity|BGRN.US|17|0.7647058823529411|515
Bearish Belthold|Entity|VTEB.US|17|0.7647058823529411|872
Bearish Belthold|Entity|MUB.US|21|0.7619047619047619|563
Bearish Belthold|Entity|INKM.US|45|0.7555555555555555|420
Bearish Belthold|Entity|LXRX.US|16|0.75|8
Bearish Belthold|Entity|GURE.US|12|0.75|10
Bearish Belthold|Entity|MZZ.US|12|0.75|24
Bearish Belthold|Entity|FDUS.US|12|0.75|54
Bearish Belthold|Entity|JPM.US|16|0.75|61
Bearish Belthold|Entity|OPI.US|16|0.75|66
Bearish Belthold|Entity|FEM.US|16|0.75|78
Bearish Belthold|Entity|ALEX.US|12|0.75|80
Bearish Belthold|Entity|BBDC.US|16|0.75|100
Bearish Belthold|Entity|EWS.US|16|0.75|101
Bearish Belthold|Entity|HSBC.US|12|0.75|110
Bearish Belthold|Entity|VEU.US|16|0.75|124
Bearish Belthold|Entity|ROSC.US|12|0.75|135
Bearish Belthold|Entity|ASGI.US|12|0.75|176
Bearish Belthold|Entity|TPHE.US|12|0.75|256
Bearish Belthold|Entity|VTC.US|12|0.75|262
Bearish Belthold|Entity|VBND.US|12|0.75|339
Bearish Belthold|Entity|SPIB.US|20|0.75|1562
Bearish Belthold|Entity|FTXH.US|23|0.7391304347826086|128
Bearish Belthold|Entity|KBWD.US|42|0.7380952380952381|216
Bearish Belthold|Entity|GOEX.US|19|0.7368421052631579|40
Bearish Belthold|Entity|FORR.US|19|0.7368421052631579|50
