Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Counterattack|AADI.US|Biotechnology|Healthcare|2/28/2024|Close|2.0700|3/4/2024|High|2.4700||||Up|3|5
Bearish Counterattack|AADR.US|||2/28/2024|Close|2.0700|3/4/2024|High|2.4700||||Up|3|5
Bearish Counterattack|AAOI.US|Communication Equipment|Technology|4/20/2015|Close|14.7600|5/22/2015|High|16.9600|5/5/2015|Low|13.2100|Down|11|15
Bearish Counterattack|AAOI.US|Communication Equipment|Technology|7/18/2016|Close|11.7600|7/27/2016|High|13.5200|5/9/2019|Low|10.4250|Up|7|9
Bearish Counterattack|AAOI.US|Communication Equipment|Technology|6/7/2023|Close|2.7200|6/8/2023|High|3.1700||||Up|1|1
Bearish Counterattack|AAPL.US|Consumer Electronics|Technology|2/26/1987|Close|0.3086|4/22/1987|High|0.3438|10/26/1987|Low|0.2467|Up|39|55
Bearish Counterattack|AAPL.US|Consumer Electronics|Technology|4/13/1989|Close|0.3438|5/5/1989|High|0.3817|12/14/1989|Low|0.3080|Up|16|22
Bearish Counterattack|AAPL.US|Consumer Electronics|Technology|10/10/1989|Close|0.4420|1/28/1991|High|0.4933|10/16/1989|Low|0.3795|Down|4|6
Bearish Counterattack|AAPL.US|Consumer Electronics|Technology|10/22/1993|Close|0.2701|11/16/1993|High|0.3058|12/22/1993|Low|0.2411|Up|17|25
Bearish Counterattack|AAPL.US|Consumer Electronics|Technology|10/15/1996|Close|0.2254|8/7/1997|High|0.2640|10/31/1996|Low|0.1987|Down|12|16
Bearish Counterattack|AAPL.US|Consumer Electronics|Technology|8/5/1997|Close|0.1763|8/6/1997|High|0.2478|10/23/1997|Low|0.1585|Up|1|1
Bearish Counterattack|AAPL.US|Consumer Electronics|Technology|1/8/1999|Close|0.4018|5/3/1999|High|0.4464|1/15/1999|Low|0.3571|Down|5|7
Bearish Counterattack|AAPL.US|Consumer Electronics|Technology|1/24/2001|Close|0.3661|3/23/2001|High|0.4208|2/20/2001|Low|0.3248|Down|19|27
Bearish Counterattack|AAPL.US|Consumer Electronics|Technology|5/8/2006|Close|2.5675|10/19/2006|High|2.8554|5/17/2006|Low|2.2882|Down|7|9
Bearish Counterattack|AA.US|Aluminum|Basic Materials|3/21/2024|Close|31.3500|||||||||
Bearish Counterattack|AAXJ.US|||4/14/2009|Close|37.0800|5/4/2009|High|42.4400|5/6/2010|Low|22.0000|Up|14|20
Bearish Counterattack|AAXJ.US|||4/6/2011|Close|64.8600|7/27/2017|High|71.4854|8/4/2011|Low|57.9200|Down|86|120
Bearish Counterattack|ABBV.US|Drug Manufacturers - General|Healthcare|8/26/2021|Close|120.4000|12/16/2021|High|133.2800|9/1/2021|Low|106.1000|Down|4|6
Bearish Counterattack|ABCB.US|Banks - Regional|Financial Services|2/23/2017|Close|49.2000|1/23/2018|High|54.1500|3/10/2017|Low|43.1000|Down|11|15
Bearish Counterattack|ABCB.US|Banks - Regional|Financial Services|6/19/2019|Close|38.1900|10/18/2019|High|42.1700|8/27/2019|Low|33.9500|Down|49|69
Bearish Counterattack|ABCB.US|Banks - Regional|Financial Services|11/5/2019|Close|43.9500|2/22/2021|High|48.8200|2/24/2020|Low|38.8300|Down|79|111
Bearish Counterattack|ABEO.US|Biotechnology|Healthcare|3/5/1996|Close|312500.0000|3/8/1996|High|343750.0000|3/28/1996|Low|281250.0000|Up|3|3
Bearish Counterattack|ABEO.US|Biotechnology|Healthcare|9/1/2000|Close|34375.0000|9/8/2000|High|39062.5000|9/5/2000|Low|28125.0000|Down|2|4
Bearish Counterattack|ABEO.US|Biotechnology|Healthcare|10/13/2005|Close|9125.0000|2/6/2007|High|10300.0000|10/14/2005|Low|7812.5000|Down|1|1
Bearish Counterattack|ABEO.US|Biotechnology|Healthcare|5/7/2008|Close|4062.5000|7/24/2009|High|4987.5000|5/12/2008|Low|3625.0000|Down|3|5
Bearish Counterattack|ABEQ.US|||3/22/2022|Close|29.7600||||6/16/2022|Low|26.7100|Down|62|86
Bearish Counterattack|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|6/25/2015|Close|92.7300|9/11/2019|High|103.9200|7/27/2015|Low|82.4800|Down|22|32
Bearish Counterattack|ABIO.US|Biotechnology|Healthcare|4/30/2003|Close|64864.8000|5/21/2003|High|77112.0000|5/1/2003|Low|56700.0000|Down|1|1
Bearish Counterattack|ABM.US|Specialty Business Services|Industrials|10/15/1993|Close|4.2500|12/22/1993|High|4.6875||||Up|48|68
Bearish Counterattack|ABM.US|Specialty Business Services|Industrials|12/23/1993|Close|4.5938|5/27/1994|High|5.0938||||Up|111|155
Bearish Counterattack|ABM.US|Specialty Business Services|Industrials|8/14/1995|Close|6.4062|12/1/1995|High|7.0625||||Up|79|109
Bearish Counterattack|ABM.US|Specialty Business Services|Industrials|8/25/1995|Close|6.4688|12/4/1995|High|7.1250||||Up|71|101
Bearish Counterattack|ABM.US|Specialty Business Services|Industrials|9/8/1995|Close|6.5625|2/22/1996|High|7.2188||||Up|119|167
Bearish Counterattack|ABM.US|Specialty Business Services|Industrials|10/9/1995|Close|6.9062|3/4/1996|High|7.6562||||Up|105|147
Bearish Counterattack|ABM.US|Specialty Business Services|Industrials|6/4/1997|Close|9.8750|7/11/1997|High|10.8750||||Up|27|37
Bearish Counterattack|ABM.US|Specialty Business Services|Industrials|9/15/1997|Close|12.7188|10/7/1997|High|14.4375|8/31/1999|Low|11.4062|Up|16|22
Bearish Counterattack|ABM.US|Specialty Business Services|Industrials|8/18/2006|Close|17.9400|10/16/2006|High|19.8800|10/9/2008|Low|14.2900|Up|41|59
Bearish Counterattack|ABM.US|Specialty Business Services|Industrials|9/5/2006|Close|18.4600|11/8/2006|High|20.4200|10/8/2008|Low|16.3300|Up|46|64
Bearish Counterattack|ABTS.US|Capital Markets|Financial Services|7/24/2023|Close|1.0000|8/1/2023|High|1.2030|7/28/2023|Low|0.8820|Down|4|4
Bearish Counterattack|ABT.US|Medical Devices|Healthcare|11/13/1985|Close|1.7184|12/13/1985|High|1.9499||||Up|22|30
Bearish Counterattack|ABT.US|Medical Devices|Healthcare|4/16/1990|Close|3.8858|6/1/1990|High|4.2786||||Up|34|46
Bearish Counterattack|ABT.US|Medical Devices|Healthcare|8/1/1991|Close|6.0461|11/1/1991|High|6.8177|2/19/1993|Low|5.3868|Up|66|92
Bearish Counterattack|ABT.US|Medical Devices|Healthcare|11/15/1996|Close|12.0081|2/14/1997|High|13.2145||||Up|65|91
Bearish Counterattack|ABT.US|Medical Devices|Healthcare|3/10/1999|Close|22.3048|11/28/2000|High|24.6895|5/25/1999|Low|20.0041|Down|54|76
Bearish Counterattack|ABT.US|Medical Devices|Healthcare|11/5/2004|Close|21.3271|4/15/2005|High|23.9804|11/16/2005|Low|19.1008|Up|115|161
Bearish Counterattack|ABT.US|Medical Devices|Healthcare|12/16/2011|Close|26.3362|3/19/2012|High|29.0567||||Up|66|94
Bearish Counterattack|AB.US|Asset Management|Financial Services|12/30/1991|Close|8.4062|1/23/1992|High|9.3438|4/29/1992|Low|7.3750|Up|18|24
Bearish Counterattack|AB.US|Asset Management|Financial Services|7/14/1992|Close|8.8125|1/27/1993|High|9.8125|9/24/1992|Low|7.6875|Down|52|72
Bearish Counterattack|AB.US|Asset Management|Financial Services|7/17/1992|Close|9.0938|1/28/1993|High|10.2188|8/24/1992|Low|8.0000|Down|26|38
Bearish Counterattack|AB.US|Asset Management|Financial Services|9/14/1993|Close|11.6250|9/27/1993|High|12.9375|3/30/1994|Low|10.2500|Up|9|13
Bearish Counterattack|AB.US|Asset Management|Financial Services|2/9/1996|Close|11.9375|10/2/1996|High|13.1875|3/3/2009|Low|10.5300|Up|168|236
Bearish Counterattack|AB.US|Asset Management|Financial Services|8/5/1996|Close|12.5625|10/23/1996|High|13.9375|3/2/2009|Low|11.0600|Up|57|79
Bearish Counterattack|AB.US|Asset Management|Financial Services|10/1/1996|Close|13.0000|11/20/1996|High|14.3125|11/20/2008|Low|11.6300|Up|36|50
Bearish Counterattack|AB.US|Asset Management|Financial Services|10/3/1996|Close|13.1875|11/22/1996|High|14.6250|11/20/2008|Low|11.6300|Up|36|50
Bearish Counterattack|AB.US|Asset Management|Financial Services|1/30/1998|Close|21.0625|2/18/1998|High|24.1250|10/10/2008|Low|17.7500|Up|13|19
Bearish Counterattack|AB.US|Asset Management|Financial Services|8/9/2000|Close|52.8750|1/29/2001|High|58.9200|10/9/2000|Low|46.4375|Down|43|61
Bearish Counterattack|AB.US|Asset Management|Financial Services|12/7/2000|Close|49.1250|12/11/2000|High|54.4375|3/12/2001|Low|42.1500|Up|2|4
Bearish Counterattack|AB.US|Asset Management|Financial Services|12/13/2004|Close|40.7000|1/28/2005|High|44.9500|9/17/2008|Low|32.0000|Up|34|46
Bearish Counterattack|AB.US|Asset Management|Financial Services|1/16/2014|Close|22.8600|2/19/2014|High|25.6900|1/11/2016|Low|20.5500|Up|24|34
Bearish Counterattack|AB.US|Asset Management|Financial Services|1/6/2017|Close|24.3500|1/8/2018|High|26.8500|3/21/2017|Low|21.9000|Down|52|74
Bearish Counterattack|ACAD.US|Biotechnology|Healthcare|9/11/2012|Close|2.0500|9/17/2012|High|2.2800|11/15/2012|Low|1.8000|Up|4|6
Bearish Counterattack|ACAD.US|Biotechnology|Healthcare|11/25/2014|Close|29.5300|12/8/2014|High|32.7200|1/11/2016|Low|26.1000|Up|9|13
Bearish Counterattack|ACA.US|Engineering & Construction|Industrials|1/8/2021|Close|61.0000|2/24/2021|High|68.4600|2/26/2021|Low|54.5800|Up|33|47
Bearish Counterattack|ACB.US|Drug Manufacturers - Specialty & Generic|Healthcare|10/11/2016|Close|213.5880|11/15/2016|High|234.9480|10/12/2016|Low|177.9240|Down|1|1
Bearish Counterattack|ACGL.US|Insurance - Diversified|Financial Services|9/5/1997|Close|2.5139|4/2/1998|High|2.8333|1/8/1998|Low|2.1944|Down|89|125
Bearish Counterattack|ACGL.US|Insurance - Diversified|Financial Services|12/28/2001|Close|2.8444|4/12/2002|High|3.1833|7/19/2002|Low|2.5389|Up|75|105
Bearish Counterattack|ACGL.US|Insurance - Diversified|Financial Services|4/1/2013|Close|17.5233|10/22/2013|High|19.3533||||Up|146|204
