Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Counterattack|Industry|Software - Application|10|0.7|20
Bearish Counterattack|Industry|Information Technology Services|16|0.6875|36
Bearish Counterattack|Industry|REIT - Mortgage|15|0.6666666666666666|102
Bearish Counterattack|Industry|Integrated Freight & Logistics|10|0.6|25
Bearish Counterattack|Industry|Aerospace & Defense|19|0.5789473684210527|54
Bearish Counterattack|Industry|Asset Management|32|0.5625|94
Bearish Counterattack|Industry|Leisure|11|0.5454545454545454|46
Bearish Counterattack|Entity|BP.US|11|0.5454545454545454|82
Bearish Counterattack|Industry|Oil & Gas Midstream|11|0.5454545454545454|147
Bearish Counterattack|Industry|Insurance Brokers|13|0.5384615384615384|50
Bearish Counterattack|Sector|Technology|84|0.5357142857142857|34
Bearish Counterattack|Industry|Specialty Industrial Machinery|35|0.5142857142857142|78
Bearish Counterattack|Sector|Basic Materials|39|0.5128205128205128|48
Bearish Counterattack|Industry|Biotechnology|23|0.4782608695652174|6
Bearish Counterattack|Industry|Specialty Chemicals|23|0.4782608695652174|51
Bearish Counterattack|Sector|Consumer Cyclical|99|0.47474747474747475|45
Bearish Counterattack|Sector|Communication Services|19|0.47368421052631576|26
Bearish Counterattack|Industry|Oil & Gas Integrated|17|0.47058823529411764|74
Bearish Counterattack|Industry|Electronic Components|13|0.46153846153846156|68
Bearish Counterattack|Sector|Industrials|156|0.4551282051282051|50
Bearish Counterattack|Industry|Engineering & Construction|11|0.45454545454545453|10
Bearish Counterattack|Industry|Restaurants|11|0.45454545454545453|41
Bearish Counterattack|Industry|Medical Instruments & Supplies|20|0.45|25
Bearish Counterattack|Industry|Communication Equipment|20|0.45|31
Bearish Counterattack|Industry|Packaged Foods|18|0.4444444444444444|46
Bearish Counterattack|Sector|Real Estate|84|0.44047619047619047|89
Bearish Counterattack|Sector|Healthcare|116|0.4396551724137931|33
Bearish Counterattack|Industry|Utilities - Diversified|16|0.4375|126
Bearish Counterattack|Overall|All|2444|0.43453355155482815|145
Bearish Counterattack|Entity|RTX.US|14|0.42857142857142855|56
Bearish Counterattack|Industry|Drug Manufacturers - Specialty & Generic|10|0.4|26
Bearish Counterattack|Industry|REIT - Office|15|0.4|49
Bearish Counterattack|Entity|AEP.US|10|0.4|123
Bearish Counterattack|Sector|Consumer Defensive|58|0.3793103448275862|53
Bearish Counterattack|Industry|REIT - Retail|24|0.375|129
Bearish Counterattack|Sector|Energy|75|0.37333333333333335|69
Bearish Counterattack|Industry|Apparel Retail|11|0.36363636363636365|39
Bearish Counterattack|Sector|Financial Services|167|0.3592814371257485|76
Bearish Counterattack|Industry|Medical Devices|20|0.35|33
Bearish Counterattack|Industry|Oil & Gas E&P|29|0.3448275862068966|33
Bearish Counterattack|Industry|Drug Manufacturers - General|21|0.3333333333333333|34
Bearish Counterattack|Industry|Banks - Regional|84|0.2976190476190476|89
Bearish Counterattack|Sector|Utilities|111|0.2972972972972973|105
Bearish Counterattack|Industry|Utilities - Regulated Electric|80|0.2875|98
Bearish Counterattack|Industry|Household & Personal Products|14|0.21428571428571427|73
Bearish Counterattack|Industry|Oil & Gas Equipment & Services|11|0.18181818181818182|15
Bearish Counterattack|Industry|Staffing & Employment Services|11|0.18181818181818182|27
Bearish Counterattack|Industry|Specialty Retail|12|0.16666666666666666|12
Bearish Counterattack|Entity|APA.US|10|0.1|47
Bearish Counterattack|Entity|DUK.US|10|0.1|109
Bearish Counterattack|Industry|Utilities - Regulated Gas|11|0.09090909090909091|279
