Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Entity|STAA.US|10|0.9|15
Bearish Engulfing With FollowThru|Entity|NWL.US|12|0.8333333333333334|60
Bearish Engulfing With FollowThru|Entity|OXM.US|11|0.8181818181818182|40
Bearish Engulfing With FollowThru|Entity|VIS.US|11|0.8181818181818182|113
Bearish Engulfing With FollowThru|Entity|VAW.US|16|0.8125|134
Bearish Engulfing With FollowThru|Entity|CUK.US|10|0.8|48
Bearish Engulfing With FollowThru|Entity|IDGT.US|10|0.8|56
Bearish Engulfing With FollowThru|Entity|SCHL.US|14|0.7857142857142857|60
Bearish Engulfing With FollowThru|Entity|SRET.US|14|0.7857142857142857|311
Bearish Engulfing With FollowThru|Entity|IWO.US|18|0.7777777777777778|89
Bearish Engulfing With FollowThru|Entity|GS.US|13|0.7692307692307693|51
Bearish Engulfing With FollowThru|Entity|TAP.US|13|0.7692307692307693|100
Bearish Engulfing With FollowThru|Entity|CHRW.US|12|0.75|67
Bearish Engulfing With FollowThru|Entity|BG.US|12|0.75|87
Bearish Engulfing With FollowThru|Entity|PXE.US|22|0.7272727272727273|48
Bearish Engulfing With FollowThru|Entity|BAC.US|11|0.7272727272727273|67
Bearish Engulfing With FollowThru|Entity|HTH.US|11|0.7272727272727273|84
Bearish Engulfing With FollowThru|Entity|SPHQ.US|11|0.7272727272727273|108
Bearish Engulfing With FollowThru|Entity|INKM.US|11|0.7272727272727273|200
Bearish Engulfing With FollowThru|Entity|KMB.US|11|0.7272727272727273|238
Bearish Engulfing With FollowThru|Entity|DES.US|11|0.7272727272727273|263
Bearish Engulfing With FollowThru|Sector|Financials|18|0.7222222222222222|238
Bearish Engulfing With FollowThru|Entity|TPL.US|14|0.7142857142857143|30
Bearish Engulfing With FollowThru|Entity|ARW.US|14|0.7142857142857143|44
Bearish Engulfing With FollowThru|Entity|GL.US|14|0.7142857142857143|83
Bearish Engulfing With FollowThru|Entity|CMCO.US|10|0.7|24
Bearish Engulfing With FollowThru|Entity|WFC.US|10|0.7|30
Bearish Engulfing With FollowThru|Entity|DECK.US|10|0.7|31
Bearish Engulfing With FollowThru|Entity|TCI.US|10|0.7|35
Bearish Engulfing With FollowThru|Entity|OLN.US|10|0.7|37
Bearish Engulfing With FollowThru|Entity|CBRL.US|10|0.7|40
Bearish Engulfing With FollowThru|Entity|BELFB.US|10|0.7|40
Bearish Engulfing With FollowThru|Entity|JBL.US|10|0.7|49
Bearish Engulfing With FollowThru|Entity|SCL.US|10|0.7|50
Bearish Engulfing With FollowThru|Entity|CMA.US|10|0.7|51
Bearish Engulfing With FollowThru|Entity|BANC.US|10|0.7|68
Bearish Engulfing With FollowThru|Entity|MBWM.US|10|0.7|101
Bearish Engulfing With FollowThru|Entity|RSPF.US|10|0.7|118
Bearish Engulfing With FollowThru|Entity|TLT.US|10|0.7|124
Bearish Engulfing With FollowThru|Entity|JPME.US|10|0.7|150
Bearish Engulfing With FollowThru|Entity|FEX.US|10|0.7|152
Bearish Engulfing With FollowThru|Entity|KBH.US|13|0.6923076923076923|14
Bearish Engulfing With FollowThru|Entity|SMP.US|13|0.6923076923076923|20
Bearish Engulfing With FollowThru|Entity|CLB.US|13|0.6923076923076923|24
Bearish Engulfing With FollowThru|Entity|BFS.US|13|0.6923076923076923|35
Bearish Engulfing With FollowThru|Entity|NTGR.US|13|0.6923076923076923|39
Bearish Engulfing With FollowThru|Entity|MGRC.US|13|0.6923076923076923|51
Bearish Engulfing With FollowThru|Entity|ALX.US|13|0.6923076923076923|64
Bearish Engulfing With FollowThru|Entity|KRC.US|16|0.6875|118
Bearish Engulfing With FollowThru|Entity|NSIT.US|12|0.6666666666666666|21
Bearish Engulfing With FollowThru|Entity|GBX.US|12|0.6666666666666666|23
Bearish Engulfing With FollowThru|Entity|MEOH.US|15|0.6666666666666666|25
Bearish Engulfing With FollowThru|Entity|LNC.US|12|0.6666666666666666|26
Bearish Engulfing With FollowThru|Entity|TISI.US|15|0.6666666666666666|26
Bearish Engulfing With FollowThru|Entity|TUP.US|12|0.6666666666666666|32
Bearish Engulfing With FollowThru|Entity|MSM.US|12|0.6666666666666666|45
Bearish Engulfing With FollowThru|Entity|SXI.US|15|0.6666666666666666|47
Bearish Engulfing With FollowThru|Entity|MS.US|12|0.6666666666666666|49
Bearish Engulfing With FollowThru|Entity|PJP.US|12|0.6666666666666666|50
Bearish Engulfing With FollowThru|Entity|HXL.US|12|0.6666666666666666|51
Bearish Engulfing With FollowThru|Entity|ETR.US|18|0.6666666666666666|52
Bearish Engulfing With FollowThru|Entity|CMCSA.US|15|0.6666666666666666|57
Bearish Engulfing With FollowThru|Entity|ODC.US|15|0.6666666666666666|64
Bearish Engulfing With FollowThru|Entity|CCEP.US|12|0.6666666666666666|65
Bearish Engulfing With FollowThru|Entity|LEG.US|15|0.6666666666666666|72
Bearish Engulfing With FollowThru|Entity|SKT.US|12|0.6666666666666666|76
Bearish Engulfing With FollowThru|Entity|XLB.US|12|0.6666666666666666|94
Bearish Engulfing With FollowThru|Entity|CARZ.US|12|0.6666666666666666|105
Bearish Engulfing With FollowThru|Entity|USRT.US|12|0.6666666666666666|108
