Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Industry|CRUDE PETROLEUM & NATURAL GAS|17|0.6470588235294118|24
Bearish Engulfing With FollowThru|Industry|PHARMACEUTICAL PREPARATIONS|46|0.6086956521739131|15
Bearish Engulfing With FollowThru|Industry|SERVICES-PREPACKAGED SOFTWARE|34|0.5588235294117647|36
Bearish Engulfing With FollowThru|Industry|PETROLEUM REFINING|12|0.5|41
Bearish Engulfing With FollowThru|Industry|INVESTMENT ADVICE|20|0.5|103
Bearish Engulfing With FollowThru|Overall|All|2420|0.49297520661157024|85
Bearish Engulfing With FollowThru|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|31|0.4838709677419355|88
Bearish Engulfing With FollowThru|Industry|SEMICONDUCTORS & RELATED DEVICES|23|0.4782608695652174|29
Bearish Engulfing With FollowThru|Industry|SERVICES-BUSINESS SERVICES, NEC|22|0.45454545454545453|43
Bearish Engulfing With FollowThru|Industry|RETAIL-EATING PLACES|16|0.4375|33
Bearish Engulfing With FollowThru|Industry|REAL ESTATE INVESTMENT TRUSTS|78|0.4358974358974359|107
Bearish Engulfing With FollowThru|Industry|FIRE, MARINE & CASUALTY INSURANCE|27|0.4074074074074074|104
Bearish Engulfing With FollowThru|Industry|OPERATIVE BUILDERS|15|0.4|16
Bearish Engulfing With FollowThru|Industry|ELECTRIC & OTHER SERVICES COMBINED|21|0.38095238095238093|98
Bearish Engulfing With FollowThru|Industry|NATIONAL COMMERCIAL BANKS|40|0.35|83
Bearish Engulfing With FollowThru|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|18|0.3333333333333333|46
Bearish Engulfing With FollowThru|Industry|STATE COMMERCIAL BANKS|75|0.32|73
Bearish Engulfing With FollowThru|Industry|ELECTRIC SERVICES|26|0.3076923076923077|99
Bearish Engulfing With FollowThru|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|10|0.2|20
Bearish Engulfing With FollowThru|Industry|WATER SUPPLY|10|0.1|1
