Name,Code,Industry,Sector,Entry Date,Entry Price Point,Entry Price,Result Up Date,Result Up Price Point,Result Up Price,Result Down Date,Result Down Price Point,Result Down Price,Result Direction,Trading Days,Calendar Days
Bearish Engulfing With FollowThru,AADI.US,Biotechnology,Healthcare,5/11/2011,Close,466.3500,12/2/2013,High,562.3500,10/4/2011,Low,369.3000,Down,104,146
Bearish Engulfing With FollowThru,AADI.US,Biotechnology,Healthcare,4/25/2016,Close,577.8000,2/22/2017,High,693.9000,8/8/2017,Low,90.0000,Up,217,303
Bearish Engulfing With FollowThru,AADI.US,Biotechnology,Healthcare,3/2/2017,Close,679.9500,9/27/2017,High,821.4000,8/8/2017,Low,90.0000,Down,113,159
Bearish Engulfing With FollowThru,AADR.US,,,5/11/2011,Close,31.0900,12/2/2013,High,37.4900,10/4/2011,Low,24.6200,Down,104,146
Bearish Engulfing With FollowThru,AADR.US,,,4/25/2016,Close,38.5200,2/22/2017,High,46.2600,8/8/2017,Low,6.0000,Up,217,303
Bearish Engulfing With FollowThru,AADR.US,,,3/2/2017,Close,45.3300,9/27/2017,High,54.7600,8/8/2017,Low,6.0000,Down,113,159
Bearish Engulfing With FollowThru,AAPL.US,Consumer Electronics,Technology,11/27/2006,Close,3.1979,5/10/2007,High,3.8871,,,,Up,118,164
Bearish Engulfing With FollowThru,AAP.US,Specialty Retail,Consumer Cyclical,9/3/2002,Close,16.7334,5/16/2003,High,20.1667,2/6/2003,Low,13.2667,Down,112,156
Bearish Engulfing With FollowThru,AAT.US,REIT - Diversified,Real Estate,6/22/2012,Close,22.9100,8/21/2012,High,27.5300,3/15/2023,Low,18.2800,Up,42,60
Bearish Engulfing With FollowThru,AA.US,Aluminum,Basic Materials,4/27/2006,Close,80.2602,5/23/2007,High,98.0424,9/25/2006,Low,63.9198,Down,107,151
Bearish Engulfing With FollowThru,ABBV.US,Drug Manufacturers - General,Healthcare,9/30/2022,Close,134.2100,11/30/2022,High,161.1800,,,,Up,43,61
Bearish Engulfing With FollowThru,ABCB.US,Banks - Regional,Financial Services,12/17/2007,Close,15.5056,7/5/2013,High,18.8400,1/22/2008,Low,12.1595,Down,26,36
Bearish Engulfing With FollowThru,ABCB.US,Banks - Regional,Financial Services,5/7/2008,Close,13.7449,5/21/2013,High,16.5000,6/18/2008,Low,10.7149,Down,30,42
Bearish Engulfing With FollowThru,ABM.US,Specialty Business Services,Industrials,3/31/2000,Close,11.7500,11/6/2000,High,14.1250,,,,Up,156,220
Bearish Engulfing With FollowThru,ABM.US,Specialty Business Services,Industrials,3/4/2015,Close,29.3700,6/9/2016,High,37.5900,3/19/2020,Low,21.8600,Up,331,463
Bearish Engulfing With FollowThru,ABT.US,Medical Devices,Healthcare,12/18/2015,Close,43.7000,9/11/2017,High,52.6000,,,,Up,451,633
Bearish Engulfing With FollowThru,AB.US,Asset Management,Financial Services,12/16/1992,Close,8.9375,3/9/1993,High,11.0312,,,,Up,59,83
Bearish Engulfing With FollowThru,ACAD.US,Biotechnology,Healthcare,2/18/2005,Close,7.6400,5/24/2005,High,9.3000,7/21/2006,Low,6.0900,Up,67,95
Bearish Engulfing With FollowThru,ACAD.US,Biotechnology,Healthcare,9/5/2006,Close,7.8100,10/10/2006,High,9.6600,6/16/2008,Low,4.3000,Up,25,35
Bearish Engulfing With FollowThru,ACAD.US,Biotechnology,Healthcare,5/4/2011,Close,2.2800,9/20/2012,High,2.8000,5/23/2011,Low,1.7600,Down,13,19
Bearish Engulfing With FollowThru,ACB.US,Drug Manufacturers - Specialty & Generic,Healthcare,11/13/2015,Close,52.7040,11/30/2015,High,69.9000,12/23/2015,Low,22.5840,Up,11,17
Bearish Engulfing With FollowThru,ACES.US,,,10/1/2019,Close,30.6254,1/21/2020,High,38.0200,3/18/2020,Low,23.5744,Up,80,112
Bearish Engulfing With FollowThru,ACES.US,,,10/28/2019,Close,31.5032,1/21/2020,High,38.0200,3/18/2020,Low,23.5744,Up,61,85
Bearish Engulfing With FollowThru,ACGL.US,Insurance - Diversified,Financial Services,7/27/2017,Close,31.5367,7/1/2019,High,37.8700,12/24/2018,Low,24.7900,Down,367,515
Bearish Engulfing With FollowThru,ACNB.US,Banks - Regional,Financial Services,12/6/2023,Close,40.0200,12/15/2023,High,48.5500,,,,Up,7,9
Bearish Engulfing With FollowThru,ACN.US,Information Technology Services,Technology,9/8/2016,Close,112.3000,9/7/2017,High,134.8300,,,,Up,260,364
Bearish Engulfing With FollowThru,ACOR.US,Drug Manufacturers - Specialty & Generic,Healthcare,7/30/2008,Close,3823.2000,4/14/2010,High,4610.4000,9/18/2008,Low,2934.0000,Down,36,50
Bearish Engulfing With FollowThru,ACOR.US,Drug Manufacturers - Specialty & Generic,Healthcare,9/26/2016,Close,2758.8000,2/27/2017,High,3342.0000,10/27/2016,Low,2172.0000,Down,23,31
Bearish Engulfing With FollowThru,ACST.US,Biotechnology,Healthcare,3/2/2015,Close,249.6000,,,,4/30/2015,Low,187.2000,Down,43,59
Bearish Engulfing With FollowThru,ACTV.US,,,2/8/2023,Close,32.8700,,,,,,,,,
Bearish Engulfing With FollowThru,AC.US,Asset Management,Financial Services,10/11/2016,Close,33.9103,6/25/2018,High,42.0027,3/20/2020,Low,26.1859,Up,444,622
Bearish Engulfing With FollowThru,AC.US,Asset Management,Financial Services,9/27/2018,Close,38.1752,11/12/2018,High,46.5858,3/18/2020,Low,30.2420,Up,32,46
Bearish Engulfing With FollowThru,AC.US,Asset Management,Financial Services,2/8/2019,Close,41.9132,1/16/2020,High,52.5108,8/12/2019,Low,32.9262,Down,131,185
Bearish Engulfing With FollowThru,ACWI.US,,,10/28/2009,Close,39.8800,1/18/2011,High,47.9300,,,,Up,319,447
Bearish Engulfing With FollowThru,ACWI.US,,,2/25/2013,Close,49.0300,4/4/2014,High,58.9200,,,,Up,289,403
Bearish Engulfing With FollowThru,ACWI.US,,,6/25/2019,Close,73.0700,11/24/2020,High,88.0750,3/16/2020,Low,53.8000,Down,189,265
Bearish Engulfing With FollowThru,ACWX.US,,,10/28/2009,Close,38.7700,4/8/2011,High,46.5600,5/6/2010,Low,30.6500,Down,136,190
Bearish Engulfing With FollowThru,ACWX.US,,,11/30/2020,Close,50.7300,,,,9/23/2022,Low,40.4300,Down,474,662
Bearish Engulfing With FollowThru,ADBE.US,Software - Infrastructure,Technology,6/15/2009,Close,28.8200,9/11/2009,High,34.9810,8/10/2011,Low,22.7500,Up,64,88
Bearish Engulfing With FollowThru,ADBE.US,Software - Infrastructure,Technology,12/5/2014,Close,72.4000,8/18/2015,High,87.2500,,,,Up,182,256
Bearish Engulfing With FollowThru,ADC.US,REIT - Retail,Real Estate,7/17/1997,Close,20.2500,6/5/2003,High,24.3000,3/31/1999,Low,15.8750,Down,444,622
Bearish Engulfing With FollowThru,ADC.US,REIT - Retail,Real Estate,12/30/2005,Close,28.9000,5/11/2006,High,37.7000,6/24/2008,Low,22.7800,Up,94,132
Bearish Engulfing With FollowThru,ADC.US,REIT - Retail,Real Estate,9/5/2018,Close,54.3800,1/31/2019,High,66.0700,,,,Up,106,148
Bearish Engulfing With FollowThru,ADI.US,Semiconductors,Technology,11/19/2001,Close,43.8000,3/20/2014,High,53.2600,5/1/2002,Low,35.0000,Down,117,163
Bearish Engulfing With FollowThru,ADM.US,Farm Products,Consumer Defensive,9/6/2006,Close,40.7700,4/22/2008,High,48.9500,11/28/2006,Low,32.1700,Down,59,83
Bearish Engulfing With FollowThru,ADM.US,Farm Products,Consumer Defensive,4/30/2018,Close,45.3800,2/9/2021,High,54.7000,2/28/2020,Low,35.7800,Down,479,669
Bearish Engulfing With FollowThru,ADP.US,Staffing & Employment Services,Industrials,3/21/2014,Close,68.2616,10/31/2014,High,81.9900,,,,Up,160,224
Bearish Engulfing With FollowThru,ADSK.US,Software - Application,Technology,6/28/2019,Close,162.9000,1/21/2020,High,197.5500,8/28/2019,Low,129.7000,Down,43,61
Bearish Engulfing With FollowThru,ADTN.US,Communication Equipment,Technology,5/28/1996,Close,31.5000,2/29/2000,High,37.9375,9/24/1996,Low,23.7500,Down,85,119
Bearish Engulfing With FollowThru,ADTN.US,Communication Equipment,Technology,7/6/2004,Close,30.7500,1/5/2011,High,37.0100,7/19/2004,Low,24.5500,Down,9,13
Bearish Engulfing With FollowThru,ADTN.US,Communication Equipment,Technology,2/29/2012,Close,35.2500,,,,4/11/2012,Low,28.1900,Down,30,42
Bearish Engulfing With FollowThru,ADUS.US,Medical Care Facilities,Healthcare,12/15/2023,Close,92.7600,,,,,,,,,
Bearish Engulfing With FollowThru,ADXN.US,Biotechnology,Healthcare,12/22/2020,Close,239.7040,12/24/2020,High,700.0000,5/6/2021,Low,191.4000,Up,2,2
Bearish Engulfing With FollowThru,AEE.US,Utilities - Regulated Electric,Utilities,12/14/2023,Close,75.0200,,,,,,,,,
Bearish Engulfing With FollowThru,AEFC.US,Other,Other,6/11/2020,Close,23.3900,,,,10/3/2023,Low,18.5200,Down,863,1209
Bearish Engulfing With FollowThru,AEHL.US,Building Products & Equipment,Industrials,1/30/2013,Close,734.4000,10/2/2013,High,887.1600,3/15/2013,Low,564.0000,Down,32,44
Bearish Engulfing With FollowThru,AEMB.US,,,8/22/2022,Close,38.2750,,,,,,,,,
Bearish Engulfing With FollowThru,AEM.US,Gold,Basic Materials,10/30/2003,Close,10.8700,1/9/2004,High,13.1700,,,,Up,51,71
Bearish Engulfing With FollowThru,AEM.US,Gold,Basic Materials,4/19/2007,Close,36.8000,7/19/2007,High,44.8700,10/22/2008,Low,24.8000,Up,65,91
Bearish Engulfing With FollowThru,AEM.US,Gold,Basic Materials,12/16/2010,Close,75.6100,,,,5/13/2011,Low,60.4200,Down,106,148
Bearish Engulfing With FollowThru,AEM.US,Gold,Basic Materials,7/31/2014,Close,37.1900,4/29/2016,High,47.3300,9/25/2014,Low,29.2600,Down,40,56
Bearish Engulfing With FollowThru,AEP.US,Utilities - Regulated Electric,Utilities,8/7/2012,Close,42.1000,4/22/2013,High,50.5900,,,,Up,184,258
Bearish Engulfing With FollowThru,AER.US,Rental & Leasing Services,Industrials,3/1/2021,Close,47.3800,3/8/2021,High,60.0000,6/16/2022,Low,37.2000,Up,5,7
Bearish Engulfing With FollowThru,AES.US,Utilities - Diversified,Utilities,5/9/1997,Close,16.4400,7/15/1997,High,19.8100,9/4/1998,Low,11.5000,Up,47,67
Bearish Engulfing With FollowThru,AES.US,Utilities - Diversified,Utilities,6/17/2003,Close,7.3900,10/30/2003,High,8.9000,8/4/2003,Low,5.5000,Down,34,48
Bearish Engulfing With FollowThru,AES.US,Utilities - Diversified,Utilities,8/4/2006,Close,18.2500,10/23/2006,High,22.1100,9/3/2008,Low,14.2900,Up,56,80
Bearish Engulfing With FollowThru,AES.US,Utilities - Diversified,Utilities,12/8/2011,Close,11.5100,2/16/2012,High,13.8400,12/7/2015,Low,8.9600,Up,50,70
Bearish Engulfing With FollowThru,AFG.US,Insurance - Property & Casualty,Financial Services,6/24/2005,Close,21.6067,12/20/2005,High,25.9933,10/9/2008,Low,17.0000,Up,127,179
Bearish Engulfing With FollowThru,AFK.US,,,1/24/2014,Close,30.3100,,,,3/17/2015,Low,24.1600,Down,297,417
Bearish Engulfing With FollowThru,AFK.US,,,3/13/2014,Close,31.0100,,,,12/16/2014,Low,24.5600,Down,198,278
Bearish Engulfing With FollowThru,AFK.US,,,2/18/2022,Close,21.1500,,,,6/23/2022,Low,16.7900,Down,89,125
Bearish Engulfing With FollowThru,AFLG.US,,,3/18/2021,Close,23.5140,12/29/2021,High,28.2180,,,,Up,204,286
Bearish Engulfing With FollowThru,AFL.US,Insurance - Life,Financial Services,7/19/2005,Close,21.9000,4/25/2007,High,27.0000,10/10/2008,Low,16.5250,Up,461,645
Bearish Engulfing With FollowThru,AFL.US,Insurance - Life,Financial Services,11/18/2005,Close,24.3200,10/1/2007,High,29.3250,10/9/2008,Low,18.6300,Up,486,682
Bearish Engulfing With FollowThru,AFL.US,Insurance - Life,Financial Services,12/3/2015,Close,31.5500,4/28/2017,High,38.4405,3/18/2020,Low,23.0700,Up,366,512
Bearish Engulfing With FollowThru,AFMD.US,Biotechnology,Healthcare,12/18/2020,Close,63.6000,3/11/2021,High,77.2500,2/23/2021,Low,49.6000,Down,47,67
Bearish Engulfing With FollowThru,AFSM.US,,,11/1/2022,Close,23.3560,2/12/2024,High,28.1800,,,,Up,334,468
Bearish Engulfing With FollowThru,AFTY.US,,,9/12/2017,Close,17.2099,10/20/2020,High,20.7000,10/29/2018,Low,13.7348,Down,294,412
Bearish Engulfing With FollowThru,AFTY.US,,,11/17/2017,Close,18.7681,12/30/2020,High,22.6630,6/27/2018,Low,14.9350,Down,158,222
Bearish Engulfing With FollowThru,AGCO.US,Farm & Heavy Construction Machinery,Industrials,10/7/1994,Close,16.1250,5/15/1995,High,19.8750,12/6/1994,Low,12.7083,Down,42,60
Bearish Engulfing With FollowThru,AGCO.US,Farm & Heavy Construction Machinery,Industrials,4/14/2003,Close,16.0500,5/12/2003,High,19.3900,,,,Up,20,28
Bearish Engulfing With FollowThru,AGCO.US,Farm & Heavy Construction Machinery,Industrials,10/19/2007,Close,50.7300,10/30/2007,High,61.2500,9/29/2008,Low,39.2100,Up,7,11
Bearish Engulfing With FollowThru,AGCO.US,Farm & Heavy Construction Machinery,Industrials,12/28/2020,Close,102.1800,2/4/2021,High,124.8450,,,,Up,28,38
Bearish Engulfing With FollowThru,AGCO.US,Farm & Heavy Construction Machinery,Industrials,3/10/2023,Close,129.8300,,,,,,,,,
Bearish Engulfing With FollowThru,AGGH.US,,,12/26/2023,Close,21.9500,,,,,,,,,
Bearish Engulfing With FollowThru,AGIO.US,Biotechnology,Healthcare,12/8/2020,Close,36.7800,12/21/2020,High,45.9100,12/13/2021,Low,29.2100,Up,9,13
Bearish Engulfing With FollowThru,AGM.US,Credit Services,Financial Services,5/20/1997,Close,10.8750,7/23/1997,High,13.5833,9/16/2008,Low,8.6300,Up,46,64
Bearish Engulfing With FollowThru,AGM.US,Credit Services,Financial Services,4/16/2001,Close,25.1000,5/16/2001,High,30.9500,7/29/2004,Low,18.5600,Up,22,30
Bearish Engulfing With FollowThru,AGM.US,Credit Services,Financial Services,12/30/2005,Close,29.9300,6/20/2007,High,36.9900,8/6/2007,Low,23.7300,Up,383,537
Bearish Engulfing With FollowThru,AGNC.US,REIT - Mortgage,Real Estate,9/12/2014,Close,22.7100,,,,10/27/2015,Low,18.0200,Down,292,410
Bearish Engulfing With FollowThru,AGNG.US,,,11/29/2017,Close,19.5470,11/22/2019,High,23.5900,,,,Up,517,723
Bearish Engulfing With FollowThru,AGNG.US,,,1/6/2022,Close,27.6950,,,,,,,,,
Bearish Engulfing With FollowThru,AGO.US,Insurance - Specialty,Financial Services,6/18/2009,Close,11.0900,7/20/2009,High,13.3100,,,,Up,22,32
Bearish Engulfing With FollowThru,AGQ.US,,,10/7/2010,Close,177.3000,11/1/2010,High,215.3000,6/28/2012,Low,137.8000,Up,17,25
Bearish Engulfing With FollowThru,AGR.US,Utilities - Regulated Electric,Utilities,7/10/2001,Close,28.2420,3/4/2002,High,33.9420,7/24/2002,Low,22.3080,Up,169,237
Bearish Engulfing With FollowThru,AGR.US,Utilities - Regulated Electric,Utilities,8/8/2001,Close,27.9840,3/4/2002,High,33.9420,7/24/2002,Low,22.3080,Up,148,208
Bearish Engulfing With FollowThru,AGR.US,Utilities - Regulated Electric,Utilities,4/13/2004,Close,27.8760,7/5/2005,High,33.6660,2/20/2009,Low,21.9400,Up,320,448
Bearish Engulfing With FollowThru,AGR.US,Utilities - Regulated Electric,Utilities,9/29/2006,Close,37.5000,12/26/2014,High,45.3800,7/26/2007,Low,29.6200,Down,214,300
Bearish Engulfing With FollowThru,AGX.US,Engineering & Construction,Industrials,12/18/2008,Close,10.6000,3/16/2009,High,13.2300,1/15/2009,Low,8.3700,Down,20,28
Bearish Engulfing With FollowThru,AGX.US,Engineering & Construction,Industrials,9/21/2012,Close,16.7300,9/16/2013,High,21.9000,,,,Up,256,360
Bearish Engulfing With FollowThru,AGZ.US,,,3/23/2011,Close,109.4101,,,,,,,,,
Bearish Engulfing With FollowThru,AGZ.US,,,3/23/2011,Close,109.4101,,,,,,,,,
Bearish Engulfing With FollowThru,AHCO.US,Medical Devices,Healthcare,12/9/2019,Close,9.8100,12/11/2019,High,11.9100,10/6/2023,Low,7.6550,Up,2,2
Bearish Engulfing With FollowThru,AHT.US,REIT - Hotel & Motel,Real Estate,2/28/2005,Close,590.2300,8/2/2005,High,713.4100,11/1/2007,Low,427.9300,Up,111,155
Bearish Engulfing With FollowThru,AHT.US,REIT - Hotel & Motel,Real Estate,12/13/2006,Close,711.6600,2/19/2014,High,924.7900,8/3/2007,Low,567.4600,Down,167,233
Bearish Engulfing With FollowThru,AIA.US,,,12/22/2008,Close,25.0000,5/4/2009,High,32.0500,3/3/2009,Low,19.7400,Down,51,71
Bearish Engulfing With FollowThru,AIA.US,,,5/15/2009,Close,30.6600,7/30/2009,High,36.8400,,,,Up,54,76
Bearish Engulfing With FollowThru,AIEQ.US,,,12/14/2020,Close,35.1800,2/10/2021,High,42.3497,12/22/2022,Low,28.0500,Up,42,58
Bearish Engulfing With FollowThru,AIG.US,Insurance - Diversified,Financial Services,6/19/1992,Close,178.5679,9/24/1992,High,215.4403,9/15/2008,Low,70.0000,Up,69,97
Bearish Engulfing With FollowThru,AIG.US,Insurance - Diversified,Financial Services,2/13/2020,Close,50.9300,11/3/2021,High,61.8000,3/5/2020,Low,40.1800,Down,15,21
Bearish Engulfing With FollowThru,AIN.US,Textile Manufacturing,Consumer Cyclical,11/21/2014,Close,36.9000,11/11/2016,High,45.0000,9/10/2015,Low,29.2200,Down,209,293
Bearish Engulfing With FollowThru,AIQ.US,,,7/25/2019,Close,16.9100,6/5/2020,High,20.4000,3/16/2020,Low,12.7500,Down,167,235
Bearish Engulfing With FollowThru,AIQ.US,,,2/21/2020,Close,19.3110,8/24/2020,High,23.2400,3/12/2020,Low,14.3500,Down,14,20
Bearish Engulfing With FollowThru,AIRC.US,REIT - Residential,Real Estate,8/9/2021,Close,50.7800,,,,6/13/2022,Low,39.4800,Down,220,308
Bearish Engulfing With FollowThru,AIRR.US,,,7/16/2014,Close,18.7201,11/14/2016,High,22.7100,8/24/2015,Low,14.9500,Down,288,404
Bearish Engulfing With FollowThru,AIRR.US,,,10/11/2016,Close,19.9500,12/8/2016,High,24.1699,,,,Up,42,58
Bearish Engulfing With FollowThru,AIRR.US,,,6/27/2018,Close,26.5900,11/23/2020,High,31.9147,12/20/2018,Low,21.0000,Down,126,176
Bearish Engulfing With FollowThru,AIRR.US,,,12/27/2019,Close,28.9300,1/6/2021,High,36.7199,3/9/2020,Low,22.5554,Down,51,73
Bearish Engulfing With FollowThru,AIRR.US,,,1/13/2021,Close,36.6440,10/29/2021,High,44.1300,,,,Up,207,289
Bearish Engulfing With FollowThru,AIR.US,Aerospace & Defense,Industrials,6/17/2019,Close,32.4100,7/9/2019,High,38.9100,3/12/2020,Low,21.0500,Up,16,22
Bearish Engulfing With FollowThru,AIT.US,Industrial Distribution,Industrials,3/4/1994,Close,6.4692,11/6/1995,High,7.7778,3/31/1999,Low,4.9445,Up,436,612
Bearish Engulfing With FollowThru,AIT.US,Industrial Distribution,Industrials,10/15/2021,Close,95.4200,8/11/2022,High,121.2000,,,,Up,214,300
Bearish Engulfing With FollowThru,AIT.US,Industrial Distribution,Industrials,4/6/2023,Close,129.0000,8/10/2023,High,156.5300,,,,Up,90,126
Bearish Engulfing With FollowThru,AIVI.US,,,10/3/2007,Close,73.0200,,,,7/1/2008,Low,57.8000,Down,194,272
Bearish Engulfing With FollowThru,AIVI.US,,,12/29/2008,Close,32.7400,8/3/2009,High,39.8200,2/23/2009,Low,25.9000,Down,40,56
Bearish Engulfing With FollowThru,AIVI.US,,,1/28/2011,Close,45.0400,,,,6/1/2012,Low,35.7200,Down,350,490
Bearish Engulfing With FollowThru,AIVI.US,,,5/4/2011,Close,49.4500,,,,8/8/2011,Low,38.5700,Down,68,96
Bearish Engulfing With FollowThru,AIVI.US,,,8/19/2020,Close,37.3300,5/10/2021,High,44.9800,,,,Up,188,264
Bearish Engulfing With FollowThru,AIVL.US,,,12/17/2007,Close,56.0000,11/4/2013,High,67.2100,6/27/2008,Low,44.6900,Down,139,193
Bearish Engulfing With FollowThru,AIVL.US,,,1/3/2012,Close,52.2400,4/10/2013,High,62.8400,,,,Up,331,463
Bearish Engulfing With FollowThru,AIVL.US,,,3/26/2014,Close,69.1400,2/21/2017,High,83.0100,8/24/2015,Low,49.4600,Down,368,516
Bearish Engulfing With FollowThru,AIVL.US,,,11/30/2020,Close,82.2100,5/6/2021,High,99.1600,,,,Up,113,157
Bearish Engulfing With FollowThru,AIZ.US,Insurance - Specialty,Financial Services,10/13/2009,Close,30.8100,4/30/2010,High,37.0700,,,,Up,143,199
Bearish Engulfing With FollowThru,AIZ.US,Insurance - Specialty,Financial Services,4/16/2010,Close,34.4400,10/5/2010,High,41.4500,,,,Up,122,172
Bearish Engulfing With FollowThru,AJG.US,Insurance Brokers,Financial Services,4/22/1993,Close,8.5000,2/25/1998,High,10.3750,,,,Up,1264,1770
Bearish Engulfing With FollowThru,AJG.US,Insurance Brokers,Financial Services,3/19/2021,Close,121.4400,5/5/2021,High,147.5600,,,,Up,33,47
Bearish Engulfing With FollowThru,AKAM.US,Software - Infrastructure,Technology,6/29/2010,Close,41.0400,9/2/2010,High,50.5200,5/4/2011,Low,32.6400,Up,47,65
Bearish Engulfing With FollowThru,AKAM.US,Software - Infrastructure,Technology,7/29/2010,Close,38.3500,8/20/2010,High,48.1800,6/8/2011,Low,29.8400,Up,16,22
Bearish Engulfing With FollowThru,AKAM.US,Software - Infrastructure,Technology,12/30/2020,Close,104.6500,2/7/2024,High,125.9000,9/22/2022,Low,81.4000,Down,451,631
