Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Entity|SRET.US|12|0.8333333333333334|334
Bearish Engulfing With FollowThru|Entity|ETR.US|11|0.8181818181818182|61
Bearish Engulfing With FollowThru|Entity|GPS.US|10|0.8|36
Bearish Engulfing With FollowThru|Entity|GS.US|10|0.8|60
Bearish Engulfing With FollowThru|Entity|AEM.US|12|0.75|21
Bearish Engulfing With FollowThru|Entity|ODC.US|12|0.75|89
Bearish Engulfing With FollowThru|Entity|RWO.US|12|0.75|162
Bearish Engulfing With FollowThru|Entity|MGRC.US|11|0.7272727272727273|35
Bearish Engulfing With FollowThru|Entity|CCEP.US|11|0.7272727272727273|65
Bearish Engulfing With FollowThru|Entity|RGI.US|11|0.7272727272727273|182
Bearish Engulfing With FollowThru|Entity|SMP.US|10|0.7|23
Bearish Engulfing With FollowThru|Entity|PXE.US|10|0.7|52
Bearish Engulfing With FollowThru|Entity|TNC.US|10|0.7|62
Bearish Engulfing With FollowThru|Entity|IWO.US|10|0.7|92
Bearish Engulfing With FollowThru|Entity|LKFN.US|10|0.7|110
Bearish Engulfing With FollowThru|Entity|VLY.US|10|0.7|123
Bearish Engulfing With FollowThru|Entity|RDIV.US|10|0.7|252
Bearish Engulfing With FollowThru|Entity|VTR.US|13|0.6923076923076923|37
Bearish Engulfing With FollowThru|Entity|VAW.US|13|0.6923076923076923|173
Bearish Engulfing With FollowThru|Entity|PRN.US|12|0.6666666666666666|109
Bearish Engulfing With FollowThru|Entity|CACC.US|11|0.6363636363636364|35
Bearish Engulfing With FollowThru|Industry|REIT - Hotel & Motel|11|0.6363636363636364|51
Bearish Engulfing With FollowThru|Entity|EME.US|11|0.6363636363636364|63
Bearish Engulfing With FollowThru|Entity|REZ.US|11|0.6363636363636364|68
Bearish Engulfing With FollowThru|Entity|CBU.US|11|0.6363636363636364|75
Bearish Engulfing With FollowThru|Entity|WTRG.US|11|0.6363636363636364|75
Bearish Engulfing With FollowThru|Industry|Health Information Services|11|0.6363636363636364|98
Bearish Engulfing With FollowThru|Entity|PFM.US|11|0.6363636363636364|222
Bearish Engulfing With FollowThru|Industry|Furnishings, Fixtures & Appliances|19|0.631578947368421|18
Bearish Engulfing With FollowThru|Industry|Insurance - Life|28|0.6071428571428571|70
Bearish Engulfing With FollowThru|Entity|JWN.US|10|0.6|18
Bearish Engulfing With FollowThru|Entity|CLB.US|10|0.6|22
Bearish Engulfing With FollowThru|Entity|PLXS.US|10|0.6|28
Bearish Engulfing With FollowThru|Entity|DRI.US|10|0.6|44
Bearish Engulfing With FollowThru|Entity|SCHH.US|10|0.6|53
Bearish Engulfing With FollowThru|Entity|CADE.US|10|0.6|66
Bearish Engulfing With FollowThru|Entity|RBCAA.US|10|0.6|75
Bearish Engulfing With FollowThru|Entity|XLB.US|10|0.6|104
Bearish Engulfing With FollowThru|Entity|KRC.US|10|0.6|124
Bearish Engulfing With FollowThru|Entity|SPHQ.US|10|0.6|135
Bearish Engulfing With FollowThru|Entity|PBJ.US|10|0.6|138
Bearish Engulfing With FollowThru|Entity|NWPX.US|12|0.5833333333333334|16
Bearish Engulfing With FollowThru|Entity|HEI.US|12|0.5833333333333334|34
Bearish Engulfing With FollowThru|Entity|PFG.US|12|0.5833333333333334|81
Bearish Engulfing With FollowThru|Entity|SXT.US|12|0.5833333333333334|117
Bearish Engulfing With FollowThru|Entity|IVOG.US|12|0.5833333333333334|147
Bearish Engulfing With FollowThru|Industry|Electronic Gaming & Multimedia|14|0.5714285714285714|20
Bearish Engulfing With FollowThru|Industry|Food Distribution|14|0.5714285714285714|29
Bearish Engulfing With FollowThru|Entity|NFG.US|14|0.5714285714285714|82
Bearish Engulfing With FollowThru|Entity|EWC.US|14|0.5714285714285714|100
Bearish Engulfing With FollowThru|Entity|FNY.US|14|0.5714285714285714|106
Bearish Engulfing With FollowThru|Entity|MDY.US|14|0.5714285714285714|178
Bearish Engulfing With FollowThru|Industry|Recreational Vehicles|18|0.5555555555555556|30
Bearish Engulfing With FollowThru|Industry|Rental & Leasing Services|27|0.5555555555555556|33
Bearish Engulfing With FollowThru|Industry|Airlines|29|0.5517241379310345|22
Bearish Engulfing With FollowThru|Industry|Electronic Components|42|0.5476190476190477|37
Bearish Engulfing With FollowThru|Entity|CNX.US|11|0.5454545454545454|17
Bearish Engulfing With FollowThru|Entity|UAA.US|11|0.5454545454545454|29
Bearish Engulfing With FollowThru|Entity|BCPC.US|11|0.5454545454545454|33
Bearish Engulfing With FollowThru|Entity|PYZ.US|11|0.5454545454545454|40
Bearish Engulfing With FollowThru|Entity|PXI.US|11|0.5454545454545454|43
Bearish Engulfing With FollowThru|Entity|PAC.US|11|0.5454545454545454|44
Bearish Engulfing With FollowThru|Industry|Capital Markets|33|0.5454545454545454|49
Bearish Engulfing With FollowThru|Entity|OZK.US|11|0.5454545454545454|62
Bearish Engulfing With FollowThru|Entity|OTTR.US|11|0.5454545454545454|92
Bearish Engulfing With FollowThru|Entity|VCR.US|11|0.5454545454545454|111
Bearish Engulfing With FollowThru|Entity|TRV.US|11|0.5454545454545454|143
Bearish Engulfing With FollowThru|Industry|Auto Parts|48|0.5416666666666666|58
Bearish Engulfing With FollowThru|Entity|ADBE.US|13|0.5384615384615384|51
Bearish Engulfing With FollowThru|Entity|RFV.US|13|0.5384615384615384|155
Bearish Engulfing With FollowThru|Industry|Banks - Diversified|41|0.5365853658536586|70
Bearish Engulfing With FollowThru|Industry|Footwear & Accessories|15|0.5333333333333333|26
Bearish Engulfing With FollowThru|Entity|AIG.US|17|0.5294117647058824|61
Bearish Engulfing With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|56|0.5178571428571429|15
Bearish Engulfing With FollowThru|Industry|Oil & Gas Integrated|29|0.5172413793103449|45
Bearish Engulfing With FollowThru|Industry|Gold|37|0.5135135135135135|34
Bearish Engulfing With FollowThru|Industry|Engineering & Construction|82|0.5121951219512195|36
Bearish Engulfing With FollowThru|Industry|Oil & Gas Midstream|45|0.5111111111111111|30
Bearish Engulfing With FollowThru|Entity|RGS.US|10|0.5|12
Bearish Engulfing With FollowThru|Entity|LRCX.US|10|0.5|19
Bearish Engulfing With FollowThru|Industry|Resorts & Casinos|16|0.5|19
Bearish Engulfing With FollowThru|Entity|RICK.US|10|0.5|22
Bearish Engulfing With FollowThru|Entity|BMI.US|12|0.5|23
Bearish Engulfing With FollowThru|Entity|MTW.US|10|0.5|25
Bearish Engulfing With FollowThru|Entity|FMX.US|10|0.5|26
Bearish Engulfing With FollowThru|Industry|Beverages - Brewers|12|0.5|26
Bearish Engulfing With FollowThru|Entity|TAN.US|10|0.5|28
Bearish Engulfing With FollowThru|Industry|Auto & Truck Dealerships|30|0.5|31
Bearish Engulfing With FollowThru|Industry|Marine Shipping|14|0.5|32
Bearish Engulfing With FollowThru|Entity|LTC.US|12|0.5|32
Bearish Engulfing With FollowThru|Entity|CP.US|10|0.5|33
Bearish Engulfing With FollowThru|Entity|POOL.US|14|0.5|35
