Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Industry|Aerospace & Defense|18|0.6666666666666666|33
Bearish Engulfing With FollowThru|Industry|Biotechnology|19|0.631578947368421|10
Bearish Engulfing With FollowThru|Industry|Specialty Chemicals|14|0.5714285714285714|47
Bearish Engulfing With FollowThru|Industry|Consulting Services|11|0.5454545454545454|30
Bearish Engulfing With FollowThru|Sector|Industrials|112|0.5267857142857143|33
Bearish Engulfing With FollowThru|Industry|Software - Application|21|0.5238095238095238|15
Bearish Engulfing With FollowThru|Sector|Energy|58|0.5|36
Bearish Engulfing With FollowThru|Industry|Medical Instruments & Supplies|20|0.5|39
Bearish Engulfing With FollowThru|Industry|Software - Infrastructure|18|0.5|42
Bearish Engulfing With FollowThru|Industry|Information Technology Services|16|0.5|46
Bearish Engulfing With FollowThru|Sector|Communication Services|20|0.5|50
Bearish Engulfing With FollowThru|Industry|Apparel Retail|10|0.5|72
Bearish Engulfing With FollowThru|Sector|Healthcare|99|0.494949494949495|24
Bearish Engulfing With FollowThru|Sector|Basic Materials|35|0.4857142857142857|38
Bearish Engulfing With FollowThru|Industry|REIT - Retail|13|0.46153846153846156|35
Bearish Engulfing With FollowThru|Sector|Technology|96|0.4583333333333333|30
Bearish Engulfing With FollowThru|Industry|Auto Parts|11|0.45454545454545453|29
Bearish Engulfing With FollowThru|Overall|All|2243|0.4485064645563977|89
Bearish Engulfing With FollowThru|Industry|Banks - Regional|96|0.4479166666666667|59
Bearish Engulfing With FollowThru|Industry|Asset Management|21|0.42857142857142855|55
Bearish Engulfing With FollowThru|Sector|Consumer Cyclical|96|0.4166666666666667|40
Bearish Engulfing With FollowThru|Sector|Financial Services|173|0.4046242774566474|56
Bearish Engulfing With FollowThru|Industry|Gold|10|0.4|18
Bearish Engulfing With FollowThru|Sector|Utilities|48|0.3958333333333333|65
Bearish Engulfing With FollowThru|Industry|Oil & Gas E&P|26|0.38461538461538464|36
Bearish Engulfing With FollowThru|Sector|Real Estate|63|0.38095238095238093|58
Bearish Engulfing With FollowThru|Industry|Utilities - Regulated Electric|29|0.3448275862068966|62
Bearish Engulfing With FollowThru|Industry|Restaurants|15|0.3333333333333333|37
Bearish Engulfing With FollowThru|Industry|Medical Devices|15|0.3333333333333333|45
Bearish Engulfing With FollowThru|Industry|Packaged Foods|12|0.3333333333333333|50
Bearish Engulfing With FollowThru|Sector|Consumer Defensive|59|0.3220338983050847|38
Bearish Engulfing With FollowThru|Industry|Specialty Industrial Machinery|16|0.3125|61
Bearish Engulfing With FollowThru|Industry|Communication Equipment|10|0.3|7
Bearish Engulfing With FollowThru|Industry|REIT - Residential|14|0.2857142857142857|151
Bearish Engulfing With FollowThru|Industry|Insurance - Diversified|12|0.25|44
