Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Industry|SERVICES-PREPACKAGED SOFTWARE|21|0.6666666666666666|37
Bearish Engulfing With FollowThru|Industry|PHARMACEUTICAL PREPARATIONS|24|0.625|12
Bearish Engulfing With FollowThru|Industry|CRUDE PETROLEUM & NATURAL GAS|10|0.6|24
Bearish Engulfing With FollowThru|Overall|All|1169|0.4354148845166809|60
Bearish Engulfing With FollowThru|Industry|SEMICONDUCTORS & RELATED DEVICES|14|0.42857142857142855|21
Bearish Engulfing With FollowThru|Industry|FIRE, MARINE & CASUALTY INSURANCE|15|0.4|103
Bearish Engulfing With FollowThru|Industry|ELECTRIC & OTHER SERVICES COMBINED|13|0.38461538461538464|112
Bearish Engulfing With FollowThru|Industry|REAL ESTATE INVESTMENT TRUSTS|38|0.3684210526315789|82
Bearish Engulfing With FollowThru|Industry|STATE COMMERCIAL BANKS|38|0.34210526315789475|80
Bearish Engulfing With FollowThru|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|12|0.3333333333333333|42
Bearish Engulfing With FollowThru|Industry|NATIONAL COMMERCIAL BANKS|19|0.2631578947368421|39
Bearish Engulfing With FollowThru|Industry|SERVICES-BUSINESS SERVICES, NEC|12|0.25|20
Bearish Engulfing With FollowThru|Industry|ELECTRIC SERVICES|10|0.2|26
