Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Entity|USRT.US|10|0.8|356
Bearish Engulfing With FollowThru|Entity|PHM.US|10|0.7|97
Bearish Engulfing With FollowThru|Industry|Gambling|10|0.7|111
Bearish Engulfing With FollowThru|Industry|REIT - Industrial|21|0.6666666666666666|284
Bearish Engulfing With FollowThru|Industry|REIT - Mortgage|14|0.6428571428571429|461
Bearish Engulfing With FollowThru|Entity|JKJ.US|13|0.6153846153846154|492
Bearish Engulfing With FollowThru|Entity|ISCB.US|13|0.6153846153846154|492
Bearish Engulfing With FollowThru|Industry|Biotechnology|109|0.6146788990825688|54
Bearish Engulfing With FollowThru|Entity|PEZ.US|10|0.6|156
Bearish Engulfing With FollowThru|Entity|KCE.US|10|0.6|227
Bearish Engulfing With FollowThru|Industry|REIT - Office|25|0.6|313
Bearish Engulfing With FollowThru|Industry|Farm Products|24|0.5833333333333334|140
Bearish Engulfing With FollowThru|Entity|FNY.US|12|0.5833333333333334|359
Bearish Engulfing With FollowThru|Industry|Capital Markets|18|0.5555555555555556|101
Bearish Engulfing With FollowThru|Industry|Advertising Agencies|11|0.5454545454545454|67
Bearish Engulfing With FollowThru|Entity|VTWG.US|11|0.5454545454545454|342
Bearish Engulfing With FollowThru|Industry|Banks - Diversified|24|0.5416666666666666|387
Bearish Engulfing With FollowThru|Industry|Semiconductor Equipment & Materials|13|0.5384615384615384|94
Bearish Engulfing With FollowThru|Entity|KNCT.US|17|0.5294117647058824|196
Bearish Engulfing With FollowThru|Industry|Auto & Truck Dealerships|21|0.5238095238095238|109
Bearish Engulfing With FollowThru|Industry|Gold|23|0.5217391304347826|119
Bearish Engulfing With FollowThru|Industry|Internet Retail|10|0.5|60
Bearish Engulfing With FollowThru|Industry|Oil & Gas Equipment & Services|26|0.5|73
Bearish Engulfing With FollowThru|Industry|Airlines|16|0.5|75
Bearish Engulfing With FollowThru|Industry|Recreational Vehicles|12|0.5|102
Bearish Engulfing With FollowThru|Industry|Furnishings, Fixtures & Appliances|20|0.5|125
Bearish Engulfing With FollowThru|Entity|IWO.US|10|0.5|155
Bearish Engulfing With FollowThru|Sector|Financials|12|0.5|203
Bearish Engulfing With FollowThru|Industry|Medical Distribution|10|0.5|221
Bearish Engulfing With FollowThru|Entity|LEG.US|12|0.5|235
Bearish Engulfing With FollowThru|Entity|RSPG.US|10|0.5|303
Bearish Engulfing With FollowThru|Entity|RSPM.US|10|0.5|332
Bearish Engulfing With FollowThru|Entity|XLU.US|10|0.5|335
Bearish Engulfing With FollowThru|Industry|REIT - Specialty|23|0.4782608695652174|180
Bearish Engulfing With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|44|0.4772727272727273|57
Bearish Engulfing With FollowThru|Industry|Metal Fabrication|19|0.47368421052631576|74
Bearish Engulfing With FollowThru|Industry|Drug Manufacturers - General|26|0.46153846153846156|172
Bearish Engulfing With FollowThru|Entity|FIW.US|13|0.46153846153846156|248
Bearish Engulfing With FollowThru|Entity|RZG.US|13|0.46153846153846156|300
Bearish Engulfing With FollowThru|Entity|IJK.US|13|0.46153846153846156|378
Bearish Engulfing With FollowThru|Entity|YORW.US|13|0.46153846153846156|414
Bearish Engulfing With FollowThru|Entity|JKD.US|13|0.46153846153846156|416
Bearish Engulfing With FollowThru|Entity|ILCB.US|13|0.46153846153846156|416
Bearish Engulfing With FollowThru|Sector|Basic Materials|126|0.4603174603174603|168
Bearish Engulfing With FollowThru|Sector|Healthcare|392|0.45663265306122447|87
Bearish Engulfing With FollowThru|Sector|Real Estate|217|0.45622119815668205|284
Bearish Engulfing With FollowThru|Entity|MVV.US|11|0.45454545454545453|65
Bearish Engulfing With FollowThru|Entity|ATRI.US|11|0.45454545454545453|144
Bearish Engulfing With FollowThru|Industry|Investment Banking & Investment Services|11|0.45454545454545453|214
Bearish Engulfing With FollowThru|Entity|GURU.US|11|0.45454545454545453|250
Bearish Engulfing With FollowThru|Entity|JKK.US|11|0.45454545454545453|308
Bearish Engulfing With FollowThru|Entity|ISCG.US|11|0.45454545454545453|308
Bearish Engulfing With FollowThru|Entity|RFV.US|11|0.45454545454545453|358
Bearish Engulfing With FollowThru|Industry|Utilities - Regulated Gas|20|0.45|226
Bearish Engulfing With FollowThru|Industry|Building Products & Equipment|18|0.4444444444444444|128
Bearish Engulfing With FollowThru|Industry|Integrated Freight & Logistics|18|0.4444444444444444|142
Bearish Engulfing With FollowThru|Industry|Rental & Leasing Services|18|0.4444444444444444|145
Bearish Engulfing With FollowThru|Industry|Specialty Retail|34|0.4411764705882353|142
Bearish Engulfing With FollowThru|Industry|Electronic Components|30|0.43333333333333335|99
Bearish Engulfing With FollowThru|Industry|Diagnostics & Research|35|0.42857142857142855|121
Bearish Engulfing With FollowThru|Industry|Telecom Services|28|0.42857142857142855|123
Bearish Engulfing With FollowThru|Industry|Conglomerates|14|0.42857142857142855|174
Bearish Engulfing With FollowThru|Entity|FAD.US|14|0.42857142857142855|290
Bearish Engulfing With FollowThru|Entity|XSMO.US|14|0.42857142857142855|420
Bearish Engulfing With FollowThru|Industry|Asset Management|119|0.42857142857142855|512
Bearish Engulfing With FollowThru|Sector|Communication Services|101|0.42574257425742573|119
Bearish Engulfing With FollowThru|Industry|Semiconductors|33|0.42424242424242425|76
Bearish Engulfing With FollowThru|Industry|Auto Parts|33|0.42424242424242425|95
Bearish Engulfing With FollowThru|Industry|Solar|12|0.4166666666666667|53
Bearish Engulfing With FollowThru|Entity|PARAA.US|12|0.4166666666666667|157
Bearish Engulfing With FollowThru|Entity|IMCB.US|12|0.4166666666666667|207
Bearish Engulfing With FollowThru|Entity|JKG.US|12|0.4166666666666667|207
Bearish Engulfing With FollowThru|Entity|PYZ.US|12|0.4166666666666667|219
Bearish Engulfing With FollowThru|Entity|BBH.US|12|0.4166666666666667|312
Bearish Engulfing With FollowThru|Entity|RTM.US|12|0.4166666666666667|332
Bearish Engulfing With FollowThru|Entity|ITOT.US|12|0.4166666666666667|447
Bearish Engulfing With FollowThru|Industry|Oil & Gas E&P|65|0.4153846153846154|145
Bearish Engulfing With FollowThru|Industry|Credit Services|44|0.4090909090909091|247
Bearish Engulfing With FollowThru|Industry|Communication Equipment|27|0.4074074074074074|97
Bearish Engulfing With FollowThru|Industry|Aerospace & Defense|60|0.4|104
Bearish Engulfing With FollowThru|Entity|VDE.US|10|0.4|137
Bearish Engulfing With FollowThru|Industry|Trucking|10|0.4|144
Bearish Engulfing With FollowThru|Industry|Specialty Chemicals|60|0.4|231
Bearish Engulfing With FollowThru|Entity|RFG.US|15|0.4|337
Bearish Engulfing With FollowThru|Industry|Information Technology Services|48|0.3958333333333333|153
Bearish Engulfing With FollowThru|Industry|Entertainment|28|0.39285714285714285|182
Bearish Engulfing With FollowThru|Industry|Medical Devices|51|0.39215686274509803|75
Bearish Engulfing With FollowThru|Industry|Industrial Distribution|23|0.391304347826087|128
Bearish Engulfing With FollowThru|Industry|Software - Infrastructure|64|0.390625|116
Bearish Engulfing With FollowThru|Overall|All|12369|0.390007276255154|260
Bearish Engulfing With FollowThru|Sector|Energy|171|0.38596491228070173|123
Bearish Engulfing With FollowThru|Sector|Consumer Cyclical|412|0.3859223300970874|135
Bearish Engulfing With FollowThru|Industry|Resorts & Casinos|13|0.38461538461538464|58
Bearish Engulfing With FollowThru|Entity|SPYG.US|13|0.38461538461538464|114
Bearish Engulfing With FollowThru|Entity|RSPN.US|13|0.38461538461538464|325
Bearish Engulfing With FollowThru|Industry|REIT - Residential|45|0.37777777777777777|297
Bearish Engulfing With FollowThru|Industry|Railroads|16|0.375|110
Bearish Engulfing With FollowThru|Industry|Internet Content & Information|24|0.375|113
Bearish Engulfing With FollowThru|Sector|Industrials|512|0.373046875|133
Bearish Engulfing With FollowThru|Industry|Insurance - Diversified|27|0.37037037037037035|235
Bearish Engulfing With FollowThru|Industry|Apparel Retail|52|0.36538461538461536|158
Bearish Engulfing With FollowThru|Entity|TJX.US|11|0.36363636363636365|123
Bearish Engulfing With FollowThru|Entity|GRC.US|11|0.36363636363636365|156
Bearish Engulfing With FollowThru|Entity|REZ.US|11|0.36363636363636365|173
Bearish Engulfing With FollowThru|Entity|XSW.US|11|0.36363636363636365|210
Bearish Engulfing With FollowThru|Entity|CBU.US|11|0.36363636363636365|260
Bearish Engulfing With FollowThru|Entity|VIOG.US|11|0.36363636363636365|267
Bearish Engulfing With FollowThru|Entity|IWC.US|11|0.36363636363636365|274
Bearish Engulfing With FollowThru|Sector|Financial Services|726|0.36363636363636365|307
Bearish Engulfing With FollowThru|Industry|Oil & Gas Integrated|11|0.36363636363636365|346
Bearish Engulfing With FollowThru|Entity|IJJ.US|11|0.36363636363636365|398
