Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Entity|PXE.US|11|0.7272727272727273|32
Bearish Engulfing With FollowThru|Industry|Consulting Services|12|0.6666666666666666|34
Bearish Engulfing With FollowThru|Industry|Packaging & Containers|12|0.6666666666666666|72
Bearish Engulfing With FollowThru|Industry|REIT - Industrial|11|0.6363636363636364|52
Bearish Engulfing With FollowThru|Entity|PYZ.US|10|0.6|69
Bearish Engulfing With FollowThru|Industry|Electronic Components|17|0.5882352941176471|37
Bearish Engulfing With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|29|0.5862068965517241|15
Bearish Engulfing With FollowThru|Industry|Oil & Gas Equipment & Services|12|0.5833333333333334|16
Bearish Engulfing With FollowThru|Industry|Telecom Services|14|0.5714285714285714|39
Bearish Engulfing With FollowThru|Industry|Medical Devices|27|0.5555555555555556|31
Bearish Engulfing With FollowThru|Industry|Integrated Freight & Logistics|13|0.5384615384615384|47
Bearish Engulfing With FollowThru|Industry|Information Technology Services|25|0.52|46
Bearish Engulfing With FollowThru|Industry|Communication Equipment|12|0.5|5
Bearish Engulfing With FollowThru|Industry|Biotechnology|64|0.5|12
Bearish Engulfing With FollowThru|Industry|Engineering & Construction|24|0.5|33
Bearish Engulfing With FollowThru|Industry|Household & Personal Products|10|0.5|48
Bearish Engulfing With FollowThru|Industry|Specialty Retail|12|0.5|75
Bearish Engulfing With FollowThru|Industry|Banks - Diversified|10|0.5|78
Bearish Engulfing With FollowThru|Entity|FELE.US|10|0.5|90
Bearish Engulfing With FollowThru|Entity|ISCV.US|10|0.5|201
Bearish Engulfing With FollowThru|Industry|Oil & Gas E&P|31|0.4838709677419355|62
Bearish Engulfing With FollowThru|Industry|REIT - Residential|21|0.47619047619047616|111
Bearish Engulfing With FollowThru|Industry|Specialty Chemicals|40|0.475|25
Bearish Engulfing With FollowThru|Industry|Furnishings, Fixtures & Appliances|15|0.4666666666666667|48
Bearish Engulfing With FollowThru|Sector|Energy|88|0.4659090909090909|41
Bearish Engulfing With FollowThru|Industry|Apparel Retail|28|0.4642857142857143|51
Bearish Engulfing With FollowThru|Entity|FAD.US|13|0.46153846153846156|95
Bearish Engulfing With FollowThru|Industry|REIT - Office|13|0.46153846153846156|128
Bearish Engulfing With FollowThru|Sector|Communication Services|48|0.4583333333333333|40
Bearish Engulfing With FollowThru|Entity|FNY.US|11|0.45454545454545453|101
Bearish Engulfing With FollowThru|Industry|Rental & Leasing Services|11|0.45454545454545453|128
Bearish Engulfing With FollowThru|Sector|Healthcare|221|0.45248868778280543|23
Bearish Engulfing With FollowThru|Sector|Basic Materials|72|0.4444444444444444|36
Bearish Engulfing With FollowThru|Industry|Medical Care Facilities|18|0.4444444444444444|39
Bearish Engulfing With FollowThru|Industry|Specialty Industrial Machinery|53|0.4339622641509434|54
Bearish Engulfing With FollowThru|Industry|Farm & Heavy Construction Machinery|21|0.42857142857142855|34
Bearish Engulfing With FollowThru|Sector|Real Estate|112|0.42857142857142855|77
Bearish Engulfing With FollowThru|Sector|Consumer Cyclical|199|0.4271356783919598|47
Bearish Engulfing With FollowThru|Sector|Technology|173|0.42196531791907516|34
Bearish Engulfing With FollowThru|Sector|Industrials|267|0.41947565543071164|45
Bearish Engulfing With FollowThru|Industry|Education & Training Services|12|0.4166666666666667|29
Bearish Engulfing With FollowThru|Industry|Auto Parts|12|0.4166666666666667|72
Bearish Engulfing With FollowThru|Industry|REIT - Specialty|12|0.4166666666666667|78
Bearish Engulfing With FollowThru|Entity|EQWL.US|12|0.4166666666666667|175
Bearish Engulfing With FollowThru|Industry|Packaged Foods|17|0.4117647058823529|49
Bearish Engulfing With FollowThru|Overall|All|7410|0.40958164642375167|106
Bearish Engulfing With FollowThru|Industry|Software - Infrastructure|27|0.4074074074074074|55
Bearish Engulfing With FollowThru|Sector|Consumer Defensive|92|0.40217391304347827|58
Bearish Engulfing With FollowThru|Industry|Auto & Truck Dealerships|10|0.4|38
Bearish Engulfing With FollowThru|Entity|KCE.US|10|0.4|46
Bearish Engulfing With FollowThru|Industry|Gold|10|0.4|65
Bearish Engulfing With FollowThru|Industry|Real Estate Services|16|0.375|53
Bearish Engulfing With FollowThru|Industry|Restaurants|35|0.37142857142857144|32
Bearish Engulfing With FollowThru|Industry|Banks - Regional|236|0.3644067796610169|94
Bearish Engulfing With FollowThru|Industry|Diagnostics & Research|22|0.36363636363636365|36
Bearish Engulfing With FollowThru|Entity|IMCG.US|11|0.36363636363636365|104
Bearish Engulfing With FollowThru|Industry|Oil & Gas Midstream|14|0.35714285714285715|20
Bearish Engulfing With FollowThru|Sector|Financial Services|394|0.3477157360406091|83
Bearish Engulfing With FollowThru|Industry|Aerospace & Defense|29|0.3448275862068966|51
Bearish Engulfing With FollowThru|Industry|Scientific & Technical Instruments|12|0.3333333333333333|25
Bearish Engulfing With FollowThru|Industry|Semiconductors|18|0.3333333333333333|33
Bearish Engulfing With FollowThru|Industry|Utilities - Regulated Water|12|0.3333333333333333|53
Bearish Engulfing With FollowThru|Industry|Insurance Brokers|15|0.3333333333333333|69
Bearish Engulfing With FollowThru|Industry|Insurance - Diversified|12|0.3333333333333333|78
Bearish Engulfing With FollowThru|Entity|KNCT.US|15|0.3333333333333333|86
Bearish Engulfing With FollowThru|Industry|Software - Application|47|0.3191489361702128|26
Bearish Engulfing With FollowThru|Industry|Credit Services|19|0.3157894736842105|73
Bearish Engulfing With FollowThru|Sector|Utilities|64|0.3125|88
Bearish Engulfing With FollowThru|Industry|Asset Management|52|0.3076923076923077|68
Bearish Engulfing With FollowThru|Industry|Apparel Manufacturing|10|0.3|18
Bearish Engulfing With FollowThru|Entity|IJT.US|10|0.3|97
Bearish Engulfing With FollowThru|Entity|IDU.US|10|0.3|122
