Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Entity|IWO.US|10|0.8|77
Bearish Engulfing With FollowThru|Entity|LEG.US|12|0.75|60
Bearish Engulfing With FollowThru|Sector|Financials|12|0.75|215
Bearish Engulfing With FollowThru|Entity|PXE.US|11|0.7272727272727273|42
Bearish Engulfing With FollowThru|Entity|XLY.US|11|0.7272727272727273|74
Bearish Engulfing With FollowThru|Industry|Investment Banking & Investment Services|11|0.7272727272727273|240
Bearish Engulfing With FollowThru|Industry|Gambling|10|0.7|37
Bearish Engulfing With FollowThru|Entity|VDE.US|10|0.7|70
Bearish Engulfing With FollowThru|Entity|USRT.US|10|0.7|115
Bearish Engulfing With FollowThru|Industry|Advertising Agencies|11|0.6363636363636364|30
Bearish Engulfing With FollowThru|Entity|RFV.US|11|0.6363636363636364|196
Bearish Engulfing With FollowThru|Industry|REIT - Industrial|21|0.6190476190476191|68
Bearish Engulfing With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|44|0.6136363636363636|15
Bearish Engulfing With FollowThru|Industry|Electrical Equipment & Parts|15|0.6|24
Bearish Engulfing With FollowThru|Industry|Packaging & Containers|25|0.6|76
Bearish Engulfing With FollowThru|Industry|Farm Products|24|0.5833333333333334|41
Bearish Engulfing With FollowThru|Industry|Personal Services|12|0.5833333333333334|46
Bearish Engulfing With FollowThru|Entity|PYZ.US|12|0.5833333333333334|76
Bearish Engulfing With FollowThru|Industry|Metal Fabrication|19|0.5789473684210527|24
Bearish Engulfing With FollowThru|Industry|Auto & Truck Dealerships|21|0.5714285714285714|32
Bearish Engulfing With FollowThru|Industry|REIT - Mortgage|14|0.5714285714285714|144
Bearish Engulfing With FollowThru|Industry|Electronic Components|30|0.5666666666666667|47
Bearish Engulfing With FollowThru|Industry|Railroads|16|0.5625|24
Bearish Engulfing With FollowThru|Industry|Capital Markets|18|0.5555555555555556|24
Bearish Engulfing With FollowThru|Industry|Rental & Leasing Services|18|0.5555555555555556|70
Bearish Engulfing With FollowThru|Entity|ATRI.US|11|0.5454545454545454|43
Bearish Engulfing With FollowThru|Industry|Oil & Gas Integrated|11|0.5454545454545454|54
Bearish Engulfing With FollowThru|Entity|JKK.US|11|0.5454545454545454|83
Bearish Engulfing With FollowThru|Entity|ISCG.US|11|0.5454545454545454|89
Bearish Engulfing With FollowThru|Entity|REZ.US|11|0.5454545454545454|92
Bearish Engulfing With FollowThru|Entity|FIW.US|13|0.5384615384615384|140
Bearish Engulfing With FollowThru|Entity|ISCV.US|13|0.5384615384615384|173
Bearish Engulfing With FollowThru|Industry|Insurance - Life|17|0.5294117647058824|90
Bearish Engulfing With FollowThru|Industry|Biotechnology|109|0.5229357798165137|12
Bearish Engulfing With FollowThru|Industry|Scientific & Technical Instruments|29|0.5172413793103449|31
Bearish Engulfing With FollowThru|Industry|Auto Parts|33|0.5151515151515151|46
Bearish Engulfing With FollowThru|Entity|WMS.US|10|0.5|13
Bearish Engulfing With FollowThru|Industry|Furnishings, Fixtures & Appliances|20|0.5|38
Bearish Engulfing With FollowThru|Entity|DIN.US|10|0.5|41
Bearish Engulfing With FollowThru|Industry|Information Technology Services|48|0.5|47
Bearish Engulfing With FollowThru|Industry|Building Products & Equipment|18|0.5|47
Bearish Engulfing With FollowThru|Entity|SEIC.US|10|0.5|49
Bearish Engulfing With FollowThru|Industry|Integrated Freight & Logistics|18|0.5|53
Bearish Engulfing With FollowThru|Entity|FELE.US|10|0.5|79
Bearish Engulfing With FollowThru|Entity|BBH.US|12|0.5|80
Bearish Engulfing With FollowThru|Entity|PSCT.US|12|0.5|86
Bearish Engulfing With FollowThru|Entity|JKG.US|12|0.5|91
Bearish Engulfing With FollowThru|Entity|IMCB.US|12|0.5|91
Bearish Engulfing With FollowThru|Entity|FNY.US|12|0.5|92
Bearish Engulfing With FollowThru|Entity|FAD.US|14|0.5|94
Bearish Engulfing With FollowThru|Entity|EWC.US|12|0.5|105
Bearish Engulfing With FollowThru|Industry|Banks - Diversified|24|0.5|108
Bearish Engulfing With FollowThru|Industry|Engineering & Construction|53|0.49056603773584906|30
Bearish Engulfing With FollowThru|Industry|Communication Equipment|27|0.48148148148148145|22
Bearish Engulfing With FollowThru|Industry|REIT - Office|25|0.48|119
Bearish Engulfing With FollowThru|Industry|Specialty Chemicals|60|0.4666666666666667|39
Bearish Engulfing With FollowThru|Industry|Oil & Gas Equipment & Services|26|0.46153846153846156|16
Bearish Engulfing With FollowThru|Industry|Oil & Gas E&P|65|0.46153846153846156|43
Bearish Engulfing With FollowThru|Entity|IJK.US|13|0.46153846153846156|71
Bearish Engulfing With FollowThru|Entity|JKJ.US|13|0.46153846153846156|159
Bearish Engulfing With FollowThru|Entity|ISCB.US|13|0.46153846153846156|159
Bearish Engulfing With FollowThru|Sector|Basic Materials|126|0.4603174603174603|39
Bearish Engulfing With FollowThru|Industry|Consulting Services|24|0.4583333333333333|47
Bearish Engulfing With FollowThru|Industry|Diagnostics & Research|35|0.45714285714285713|35
Bearish Engulfing With FollowThru|Entity|GRC.US|11|0.45454545454545453|42
Bearish Engulfing With FollowThru|Entity|CBU.US|11|0.45454545454545453|57
Bearish Engulfing With FollowThru|Entity|CME.US|11|0.45454545454545453|61
Bearish Engulfing With FollowThru|Entity|TJX.US|11|0.45454545454545453|68
Bearish Engulfing With FollowThru|Entity|RPG.US|11|0.45454545454545453|113
Bearish Engulfing With FollowThru|Entity|VTWG.US|11|0.45454545454545453|124
Bearish Engulfing With FollowThru|Entity|IVOO.US|11|0.45454545454545453|155
Bearish Engulfing With FollowThru|Sector|Healthcare|392|0.45408163265306123|27
Bearish Engulfing With FollowThru|Sector|Real Estate|217|0.45161290322580644|84
Bearish Engulfing With FollowThru|Industry|Apparel Retail|52|0.4423076923076923|41
Bearish Engulfing With FollowThru|Sector|Energy|171|0.43859649122807015|37
Bearish Engulfing With FollowThru|Industry|Airlines|16|0.4375|15
Bearish Engulfing With FollowThru|Industry|REIT - Specialty|23|0.43478260869565216|87
Bearish Engulfing With FollowThru|Industry|Medical Devices|51|0.43137254901960786|32
Bearish Engulfing With FollowThru|Sector|Technology|356|0.4297752808988764|33
Bearish Engulfing With FollowThru|Sector|Consumer Cyclical|412|0.42961165048543687|41
Bearish Engulfing With FollowThru|Industry|Telecom Services|28|0.42857142857142855|44
Bearish Engulfing With FollowThru|Industry|Entertainment|28|0.42857142857142855|80
Bearish Engulfing With FollowThru|Sector|Communication Services|101|0.42574257425742573|49
Bearish Engulfing With FollowThru|Industry|Semiconductors|33|0.42424242424242425|31
Bearish Engulfing With FollowThru|Overall|All|12369|0.42388228636106395|98
Bearish Engulfing With FollowThru|Industry|Oil & Gas Midstream|26|0.4230769230769231|36
Bearish Engulfing With FollowThru|Industry|REIT - Residential|45|0.4222222222222222|106
Bearish Engulfing With FollowThru|Industry|Asset Management|119|0.42016806722689076|113
Bearish Engulfing With FollowThru|Sector|Industrials|512|0.419921875|41
Bearish Engulfing With FollowThru|Industry|Packaged Foods|31|0.41935483870967744|50
Bearish Engulfing With FollowThru|Industry|Solar|12|0.4166666666666667|6
Bearish Engulfing With FollowThru|Entity|PTF.US|12|0.4166666666666667|55
Bearish Engulfing With FollowThru|Entity|PARAA.US|12|0.4166666666666667|70
Bearish Engulfing With FollowThru|Entity|ELS.US|12|0.4166666666666667|106
Bearish Engulfing With FollowThru|Industry|Financial Data & Stock Exchanges|17|0.4117647058823529|48
Bearish Engulfing With FollowThru|Industry|Restaurants|61|0.4098360655737705|35
Bearish Engulfing With FollowThru|Industry|Credit Services|44|0.4090909090909091|63
Bearish Engulfing With FollowThru|Industry|Residential Construction|27|0.4074074074074074|30
Bearish Engulfing With FollowThru|Industry|Insurance - Diversified|27|0.4074074074074074|66
Bearish Engulfing With FollowThru|Industry|Farm & Heavy Construction Machinery|32|0.40625|34
Bearish Engulfing With FollowThru|Industry|Medical Care Facilities|37|0.40540540540540543|25
Bearish Engulfing With FollowThru|Entity|MTH.US|10|0.4|6
Bearish Engulfing With FollowThru|Industry|Internet Retail|10|0.4|12
Bearish Engulfing With FollowThru|Entity|PHM.US|10|0.4|24
Bearish Engulfing With FollowThru|Industry|Aerospace & Defense|60|0.4|32
Bearish Engulfing With FollowThru|Entity|RSPG.US|10|0.4|35
Bearish Engulfing With FollowThru|Entity|KCE.US|10|0.4|46
Bearish Engulfing With FollowThru|Industry|Household & Personal Products|20|0.4|49
Bearish Engulfing With FollowThru|Entity|CAC.US|10|0.4|58
Bearish Engulfing With FollowThru|Entity|WSO.US|10|0.4|63
Bearish Engulfing With FollowThru|Industry|Healthcare Plans|20|0.4|66
Bearish Engulfing With FollowThru|Industry|Utilities - Regulated Gas|20|0.4|68
Bearish Engulfing With FollowThru|Entity|PEZ.US|10|0.4|69
Bearish Engulfing With FollowThru|Entity|RFG.US|15|0.4|129
Bearish Engulfing With FollowThru|Entity|PSCI.US|10|0.4|166
Bearish Engulfing With FollowThru|Entity|IYM.US|10|0.4|193
Bearish Engulfing With FollowThru|Industry|Utilities - Regulated Electric|73|0.3972602739726027|132
Bearish Engulfing With FollowThru|Industry|Banks - Regional|366|0.39617486338797814|82
Bearish Engulfing With FollowThru|Sector|Utilities|139|0.39568345323741005|101
Bearish Engulfing With FollowThru|Industry|Gold|23|0.391304347826087|37
Bearish Engulfing With FollowThru|Industry|Utilities - Regulated Water|23|0.391304347826087|51
Bearish Engulfing With FollowThru|Sector|Financial Services|726|0.39118457300275483|81
Bearish Engulfing With FollowThru|Industry|Semiconductor Equipment & Materials|13|0.38461538461538464|12
Bearish Engulfing With FollowThru|Industry|Resorts & Casinos|13|0.38461538461538464|17
Bearish Engulfing With FollowThru|Industry|Real Estate Services|26|0.38461538461538464|54
Bearish Engulfing With FollowThru|Entity|YORW.US|13|0.38461538461538464|63
Bearish Engulfing With FollowThru|Entity|SPYG.US|13|0.38461538461538464|114
Bearish Engulfing With FollowThru|Sector|Consumer Defensive|177|0.384180790960452|58
Bearish Engulfing With FollowThru|Industry|Software - Infrastructure|64|0.375|40
Bearish Engulfing With FollowThru|Entity|MIDU.US|11|0.36363636363636365|21
Bearish Engulfing With FollowThru|Entity|MVV.US|11|0.36363636363636365|28
Bearish Engulfing With FollowThru|Entity|ESE.US|11|0.36363636363636365|35
Bearish Engulfing With FollowThru|Entity|XSW.US|11|0.36363636363636365|63
Bearish Engulfing With FollowThru|Entity|PSR.US|11|0.36363636363636365|77
Bearish Engulfing With FollowThru|Entity|RTH.US|11|0.36363636363636365|98
Bearish Engulfing With FollowThru|Industry|Specialty Industrial Machinery|108|0.3611111111111111|53
Bearish Engulfing With FollowThru|Industry|Conglomerates|14|0.35714285714285715|76
Bearish Engulfing With FollowThru|Entity|XSMO.US|14|0.35714285714285715|83
Bearish Engulfing With FollowThru|Entity|EQWL.US|14|0.35714285714285715|175
Bearish Engulfing With FollowThru|Industry|Specialty Retail|34|0.35294117647058826|53
Bearish Engulfing With FollowThru|Entity|KNCT.US|17|0.35294117647058826|75
Bearish Engulfing With FollowThru|Industry|REIT - Retail|37|0.35135135135135137|38
Bearish Engulfing With FollowThru|Industry|Industrial Distribution|23|0.34782608695652173|41
Bearish Engulfing With FollowThru|Industry|Software - Application|82|0.34146341463414637|25
Bearish Engulfing With FollowThru|Industry|Medical Instruments & Supplies|53|0.33962264150943394|25
Bearish Engulfing With FollowThru|Industry|Recreational Vehicles|12|0.3333333333333333|19
Bearish Engulfing With FollowThru|Industry|Staffing & Employment Services|12|0.3333333333333333|32
Bearish Engulfing With FollowThru|Industry|Discount Stores|15|0.3333333333333333|33
Bearish Engulfing With FollowThru|Entity|PZZA.US|12|0.3333333333333333|33
Bearish Engulfing With FollowThru|Entity|GOOGL.US|12|0.3333333333333333|49
Bearish Engulfing With FollowThru|Entity|IMCG.US|15|0.3333333333333333|96
Bearish Engulfing With FollowThru|Entity|ONEQ.US|15|0.3333333333333333|120
Bearish Engulfing With FollowThru|Industry|Beverages - Wineries & Distilleries|15|0.3333333333333333|148
Bearish Engulfing With FollowThru|Industry|Beverages - Non-Alcoholic|25|0.32|106
Bearish Engulfing With FollowThru|Entity|GIL.US|13|0.3076923076923077|22
Bearish Engulfing With FollowThru|Industry|Utilities - Diversified|13|0.3076923076923077|27
Bearish Engulfing With FollowThru|Industry|Drug Manufacturers - General|26|0.3076923076923077|30
Bearish Engulfing With FollowThru|Entity|RZG.US|13|0.3076923076923077|184
