Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Engulfing With FollowThru|AADR|||4/25/2016|Close|38.5200|||||||||
Bearish Engulfing With FollowThru|AAON|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP||4/4/2016|Close|27.1900|11/14/2016|High|33.1000||||Up|160|224
Bearish Engulfing With FollowThru|AAON|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP||7/20/2016|Close|27.2100|11/14/2016|High|33.1000||||Up|83|117
Bearish Engulfing With FollowThru|ABT|PHARMACEUTICAL PREPARATIONS||12/18/2015|Close|43.7000|||||||||
Bearish Engulfing With FollowThru|ACHC|SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC||9/25/2015|Close|70.3800||||10/22/2015|Low|54.4100|Down|19|27
Bearish Engulfing With FollowThru|ACHC|SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC||9/25/2015|Close|70.3800||||10/22/2015|Low|54.4100|Down|19|27
Bearish Engulfing With FollowThru|ACN|SERVICES-BUSINESS SERVICES, NEC||9/8/2016|Close|112.3000|||||||||
Bearish Engulfing With FollowThru|ACU|CUTLERY, HANDTOOLS & GENERAL HARDWARE||11/4/2016|Close|21.4000|||||||||
Bearish Engulfing With FollowThru|ADBE|SERVICES-PREPACKAGED SOFTWARE||12/18/2015|Close|91.3100|9/27/2016|High|109.7621|2/8/2016|Low|71.2700|Down|36|52
Bearish Engulfing With FollowThru|AEM|||5/19/2015|Close|32.5100|3/17/2016|High|39.4850|7/17/2015|Low|25.0600|Down|43|59
Bearish Engulfing With FollowThru|AFL|ACCIDENT & HEALTH INSURANCE||12/3/2015|Close|63.1000|||||||||
Bearish Engulfing With FollowThru|AFT|||5/4/2015|Close|17.9600||||1/15/2016|Low|14.2600|Down|184|256
Bearish Engulfing With FollowThru|AHLpC|FIRE, MARINE & CASUALTY INSURANCE||4/30/2015|Close|25.7300|||||||||
Bearish Engulfing With FollowThru|AIB|BLANK CHECKS||4/27/2015|Close|25.3500|||||||||
Bearish Engulfing With FollowThru|AIF|||6/9/2016|Close|14.5600|||||||||
Bearish Engulfing With FollowThru|AIF|||6/9/2016|Close|14.5600|||||||||
Bearish Engulfing With FollowThru|AIF|||12/5/2016|Close|14.9600|||||||||
Bearish Engulfing With FollowThru|AIRR|||10/11/2016|Close|19.9500|12/8/2016|High|24.1699||||Up|42|58
Bearish Engulfing With FollowThru|AKAM|SERVICES-BUSINESS SERVICES, NEC||3/25/2015|Close|70.6450||||11/20/2015|Low|55.3600|Down|172|240
Bearish Engulfing With FollowThru|ALE|ELECTRIC & OTHER SERVICES COMBINED||6/22/2016|Close|61.0900|||||||||
Bearish Engulfing With FollowThru|ALLpB|FIRE, MARINE & CASUALTY INSURANCE||5/31/2016|Close|26.0100|||||||||
Bearish Engulfing With FollowThru|ALNY|PHARMACEUTICAL PREPARATIONS||9/29/2016|Close|69.9400||||10/6/2016|Low|35.3150|Down|5|7
