Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Industry|CRUDE PETROLEUM & NATURAL GAS|16|0.625|20
Bearish Engulfing With FollowThru|Industry|SERVICES-PREPACKAGED SOFTWARE|29|0.5862068965517241|40
Bearish Engulfing With FollowThru|Industry|PHARMACEUTICAL PREPARATIONS|41|0.5853658536585366|15
Bearish Engulfing With FollowThru|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|26|0.5|84
Bearish Engulfing With FollowThru|Industry|INVESTMENT ADVICE|16|0.5|110
Bearish Engulfing With FollowThru|Overall|All|2115|0.48557919621749407|85
Bearish Engulfing With FollowThru|Industry|REAL ESTATE INVESTMENT TRUSTS|73|0.4520547945205479|109
Bearish Engulfing With FollowThru|Industry|FIRE, MARINE & CASUALTY INSURANCE|25|0.44|104
Bearish Engulfing With FollowThru|Industry|SEMICONDUCTORS & RELATED DEVICES|21|0.42857142857142855|27
Bearish Engulfing With FollowThru|Industry|SERVICES-BUSINESS SERVICES, NEC|19|0.42105263157894735|40
Bearish Engulfing With FollowThru|Industry|ELECTRIC & OTHER SERVICES COMBINED|17|0.4117647058823529|92
Bearish Engulfing With FollowThru|Industry|RETAIL-EATING PLACES|15|0.4|36
Bearish Engulfing With FollowThru|Industry|PETROLEUM REFINING|10|0.4|48
Bearish Engulfing With FollowThru|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|17|0.35294117647058826|46
Bearish Engulfing With FollowThru|Industry|NATIONAL COMMERCIAL BANKS|37|0.35135135135135137|74
Bearish Engulfing With FollowThru|Industry|STATE COMMERCIAL BANKS|65|0.3230769230769231|68
Bearish Engulfing With FollowThru|Industry|ELECTRIC SERVICES|22|0.3181818181818182|111
Bearish Engulfing With FollowThru|Industry|OPERATIVE BUILDERS|13|0.3076923076923077|15
