Name,Code,Industry,Sector,Entry Date,Entry Price Point,Entry Price,Result Up Date,Result Up Price Point,Result Up Price,Result Down Date,Result Down Price Point,Result Down Price,Result Direction,Trading Days,Calendar Days
Bearish Engulfing With FollowThru,AADI.US,Biotechnology,Healthcare,5/11/2011,Close,466.3500,5/2/2013,High,515.7000,8/8/2011,Low,383.5500,Down,63,89
Bearish Engulfing With FollowThru,AADI.US,Biotechnology,Healthcare,4/25/2016,Close,577.8000,10/25/2016,High,637.2960,8/8/2017,Low,90.0000,Up,131,183
Bearish Engulfing With FollowThru,AADI.US,Biotechnology,Healthcare,3/2/2017,Close,679.9500,4/26/2017,High,750.4500,8/8/2017,Low,90.0000,Up,39,55
Bearish Engulfing With FollowThru,AADR.US,,,5/11/2011,Close,31.0900,5/2/2013,High,34.3800,8/8/2011,Low,25.5700,Down,63,89
Bearish Engulfing With FollowThru,AADR.US,,,4/25/2016,Close,38.5200,10/25/2016,High,42.4864,8/8/2017,Low,6.0000,Up,131,183
Bearish Engulfing With FollowThru,AADR.US,,,3/2/2017,Close,45.3300,4/26/2017,High,50.0300,8/8/2017,Low,6.0000,Up,39,55
Bearish Engulfing With FollowThru,AAPL.US,Consumer Electronics,Technology,11/27/2006,Close,3.1979,4/26/2007,High,3.6607,12/27/2006,Low,2.7418,Down,22,30
Bearish Engulfing With FollowThru,AAP.US,Specialty Retail,Consumer Cyclical,9/3/2002,Close,16.7334,10/2/2002,High,18.5334,1/14/2003,Low,14.7500,Up,21,29
Bearish Engulfing With FollowThru,AAT.US,REIT - Diversified,Real Estate,6/22/2012,Close,22.9100,7/17/2012,High,25.3900,3/19/2020,Low,20.1500,Up,17,25
Bearish Engulfing With FollowThru,AA.US,Aluminum,Basic Materials,4/27/2006,Close,80.2602,5/9/2006,High,88.4785,6/7/2006,Low,71.5854,Up,8,12
Bearish Engulfing With FollowThru,ABBV.US,Drug Manufacturers - General,Healthcare,9/30/2022,Close,134.2100,10/21/2022,High,147.7550,,,,Up,15,21
Bearish Engulfing With FollowThru,ABCB.US,Banks - Regional,Financial Services,12/17/2007,Close,15.5056,12/19/2007,High,17.1496,1/11/2008,Low,13.8033,Up,2,2
Bearish Engulfing With FollowThru,ABCB.US,Banks - Regional,Financial Services,5/7/2008,Close,13.7449,9/19/2008,High,15.8364,6/6/2008,Low,12.2664,Down,22,30
Bearish Engulfing With FollowThru,ABM.US,Specialty Business Services,Industrials,3/31/2000,Close,11.7500,6/16/2000,High,13.0000,,,,Up,55,77
Bearish Engulfing With FollowThru,ABM.US,Specialty Business Services,Industrials,3/4/2015,Close,29.3700,3/23/2015,High,32.5000,12/13/2018,Low,26.2050,Up,13,19
Bearish Engulfing With FollowThru,ABT.US,Medical Devices,Healthcare,12/18/2015,Close,43.7000,6/15/2017,High,48.3400,1/20/2016,Low,39.0800,Down,23,33
Bearish Engulfing With FollowThru,AB.US,Asset Management,Financial Services,12/16/1992,Close,8.9375,1/28/1993,High,10.2188,1/26/1995,Low,7.6875,Up,31,43
Bearish Engulfing With FollowThru,ACAD.US,Biotechnology,Healthcare,2/18/2005,Close,7.6400,5/24/2005,High,9.3000,3/31/2005,Low,6.7600,Down,29,41
