Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Entity|PXE.US|11|0.7272727272727273|32
Bearish Engulfing With FollowThru|Industry|Consulting Services|14|0.6428571428571429|54
Bearish Engulfing With FollowThru|Entity|USRT.US|11|0.6363636363636364|146
Bearish Engulfing With FollowThru|Industry|Communication Equipment|21|0.6190476190476191|19
Bearish Engulfing With FollowThru|Industry|Packaging & Containers|13|0.6153846153846154|72
Bearish Engulfing With FollowThru|Entity|RFV.US|10|0.6|208
Bearish Engulfing With FollowThru|Entity|INKM.US|10|0.6|230
Bearish Engulfing With FollowThru|Industry|Specialty Retail|14|0.5714285714285714|63
Bearish Engulfing With FollowThru|Industry|Electronic Components|18|0.5555555555555556|37
Bearish Engulfing With FollowThru|Industry|Oil & Gas Equipment & Services|20|0.55|15
Bearish Engulfing With FollowThru|Industry|REIT - Industrial|13|0.5384615384615384|52
Bearish Engulfing With FollowThru|Industry|Telecom Services|15|0.5333333333333333|42
Bearish Engulfing With FollowThru|Industry|Integrated Freight & Logistics|17|0.5294117647058824|37
Bearish Engulfing With FollowThru|Industry|Furnishings, Fixtures & Appliances|17|0.5294117647058824|38
Bearish Engulfing With FollowThru|Industry|Information Technology Services|34|0.5294117647058824|47
Bearish Engulfing With FollowThru|Industry|Oil & Gas E&P|33|0.5151515151515151|64
Bearish Engulfing With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|41|0.5121951219512195|14
Bearish Engulfing With FollowThru|Industry|Capital Markets|10|0.5|13
Bearish Engulfing With FollowThru|Industry|Specialty Chemicals|42|0.5|25
Bearish Engulfing With FollowThru|Industry|Medical Devices|34|0.5|28
Bearish Engulfing With FollowThru|Industry|Metal Fabrication|10|0.5|28
Bearish Engulfing With FollowThru|Entity|PYZ.US|12|0.5|69
Bearish Engulfing With FollowThru|Entity|KCE.US|10|0.5|81
Bearish Engulfing With FollowThru|Entity|ISCV.US|10|0.5|201
Bearish Engulfing With FollowThru|Entity|GII.US|10|0.5|236
Bearish Engulfing With FollowThru|Sector|Energy|107|0.48598130841121495|38
Bearish Engulfing With FollowThru|Industry|Engineering & Construction|25|0.48|35
Bearish Engulfing With FollowThru|Industry|Auto Parts|15|0.4666666666666667|59
Bearish Engulfing With FollowThru|Sector|Basic Materials|82|0.4634146341463415|35
Bearish Engulfing With FollowThru|Industry|Education & Training Services|13|0.46153846153846156|28
Bearish Engulfing With FollowThru|Entity|PSR.US|13|0.46153846153846156|70
Bearish Engulfing With FollowThru|Industry|REIT - Specialty|13|0.46153846153846156|83
Bearish Engulfing With FollowThru|Entity|FAD.US|13|0.46153846153846156|96
Bearish Engulfing With FollowThru|Sector|Technology|222|0.45495495495495497|31
Bearish Engulfing With FollowThru|Industry|Apparel Retail|33|0.45454545454545453|47
Bearish Engulfing With FollowThru|Industry|Household & Personal Products|11|0.45454545454545453|48
Bearish Engulfing With FollowThru|Industry|Farm Products|11|0.45454545454545453|48
Bearish Engulfing With FollowThru|Industry|Banks - Diversified|11|0.45454545454545453|78
Bearish Engulfing With FollowThru|Entity|FNY.US|11|0.45454545454545453|101
Bearish Engulfing With FollowThru|Entity|IMCB.US|11|0.45454545454545453|119
Bearish Engulfing With FollowThru|Entity|JKG.US|11|0.45454545454545453|119
Bearish Engulfing With FollowThru|Sector|Financials|11|0.45454545454545453|346
Bearish Engulfing With FollowThru|Sector|Communication Services|58|0.4482758620689655|39
Bearish Engulfing With FollowThru|Industry|Oil & Gas Midstream|18|0.4444444444444444|17
Bearish Engulfing With FollowThru|Industry|Insurance - Property & Casualty|18|0.4444444444444444|87
Bearish Engulfing With FollowThru|Industry|Biotechnology|102|0.4411764705882353|13
Bearish Engulfing With FollowThru|Industry|Gold|14|0.42857142857142855|59
Bearish Engulfing With FollowThru|Industry|REIT - Residential|21|0.42857142857142855|122
Bearish Engulfing With FollowThru|Entity|EQWL.US|14|0.42857142857142855|148
Bearish Engulfing With FollowThru|Sector|Healthcare|299|0.42474916387959866|22
Bearish Engulfing With FollowThru|Industry|Specialty Industrial Machinery|59|0.423728813559322|49
Bearish Engulfing With FollowThru|Sector|Consumer Cyclical|230|0.4217391304347826|44
Bearish Engulfing With FollowThru|Entity|SPYV.US|12|0.4166666666666667|180
Bearish Engulfing With FollowThru|Overall|All|9117|0.41603597674673687|108
Bearish Engulfing With FollowThru|Industry|Scientific & Technical Instruments|17|0.4117647058823529|22
Bearish Engulfing With FollowThru|Industry|Real Estate Services|17|0.4117647058823529|91
Bearish Engulfing With FollowThru|Sector|Real Estate|127|0.4094488188976378|91
Bearish Engulfing With FollowThru|Industry|Diagnostics & Research|22|0.4090909090909091|46
Bearish Engulfing With FollowThru|Industry|Software - Infrastructure|32|0.40625|48
Bearish Engulfing With FollowThru|Entity|PSCE.US|10|0.4|22
Bearish Engulfing With FollowThru|Industry|Trucking|10|0.4|24
Bearish Engulfing With FollowThru|Industry|Resorts & Casinos|10|0.4|33
Bearish Engulfing With FollowThru|Industry|Auto & Truck Dealerships|10|0.4|38
Bearish Engulfing With FollowThru|Industry|Healthcare Plans|10|0.4|42
Bearish Engulfing With FollowThru|Industry|Packaged Foods|15|0.4|52
Bearish Engulfing With FollowThru|Industry|Internet Content & Information|15|0.4|56
Bearish Engulfing With FollowThru|Entity|FDM.US|10|0.4|100
Bearish Engulfing With FollowThru|Entity|RXI.US|10|0.4|107
Bearish Engulfing With FollowThru|Industry|REIT - Office|15|0.4|127
Bearish Engulfing With FollowThru|Entity|ISCB.US|10|0.4|134
Bearish Engulfing With FollowThru|Entity|JKJ.US|10|0.4|134
Bearish Engulfing With FollowThru|Industry|Investment Banking & Investment Services|10|0.4|429
Bearish Engulfing With FollowThru|Sector|Industrials|317|0.39747634069400634|43
Bearish Engulfing With FollowThru|Sector|Consumer Defensive|100|0.39|58
Bearish Engulfing With FollowThru|Industry|Software - Application|65|0.38461538461538464|20
Bearish Engulfing With FollowThru|Industry|Rental & Leasing Services|13|0.38461538461538464|128
Bearish Engulfing With FollowThru|Industry|Medical Care Facilities|21|0.38095238095238093|39
Bearish Engulfing With FollowThru|Industry|Farm & Heavy Construction Machinery|24|0.375|34
Bearish Engulfing With FollowThru|Industry|Insurance Brokers|16|0.375|63
Bearish Engulfing With FollowThru|Industry|Banks - Regional|280|0.3678571428571429|85
Bearish Engulfing With FollowThru|Industry|Drug Manufacturers - General|11|0.36363636363636365|8
Bearish Engulfing With FollowThru|Industry|Medical Distribution|11|0.36363636363636365|52
Bearish Engulfing With FollowThru|Entity|IMCG.US|11|0.36363636363636365|104
Bearish Engulfing With FollowThru|Entity|RWK.US|11|0.36363636363636365|162
Bearish Engulfing With FollowThru|Sector|Financial Services|471|0.3630573248407643|79
Bearish Engulfing With FollowThru|Industry|Restaurants|36|0.3611111111111111|32
Bearish Engulfing With FollowThru|Entity|KNCT.US|14|0.35714285714285715|86
Bearish Engulfing With FollowThru|Industry|Utilities - Regulated Water|15|0.3333333333333333|44
Bearish Engulfing With FollowThru|Industry|Residential Construction|12|0.3333333333333333|49
Bearish Engulfing With FollowThru|Industry|Insurance - Diversified|12|0.3333333333333333|78
Bearish Engulfing With FollowThru|Industry|Asset Management|66|0.3333333333333333|80
Bearish Engulfing With FollowThru|Industry|Aerospace & Defense|37|0.32432432432432434|44
Bearish Engulfing With FollowThru|Industry|Credit Services|22|0.3181818181818182|64
Bearish Engulfing With FollowThru|Industry|Semiconductors|19|0.3157894736842105|33
Bearish Engulfing With FollowThru|Sector|Utilities|76|0.3026315789473684|87
Bearish Engulfing With FollowThru|Industry|Apparel Manufacturing|10|0.3|18
Bearish Engulfing With FollowThru|Industry|Airlines|10|0.3|41
Bearish Engulfing With FollowThru|Entity|IYY.US|10|0.3|59
Bearish Engulfing With FollowThru|Entity|RTM.US|10|0.3|90
Bearish Engulfing With FollowThru|Entity|IJT.US|10|0.3|97
Bearish Engulfing With FollowThru|Industry|Beverages - Non-Alcoholic|20|0.3|114
Bearish Engulfing With FollowThru|Entity|IDU.US|10|0.3|122
Bearish Engulfing With FollowThru|Industry|Beverages - Wineries & Distilleries|10|0.3|130
Bearish Engulfing With FollowThru|Entity|TYD.US|10|0.3|158
Bearish Engulfing With FollowThru|Industry|Medical Instruments & Supplies|37|0.2972972972972973|21
Bearish Engulfing With FollowThru|Industry|Industrial Distribution|14|0.2857142857142857|28
Bearish Engulfing With FollowThru|Industry|Oil & Gas Refining & Marketing|18|0.2777777777777778|64
Bearish Engulfing With FollowThru|Industry|Utilities - Regulated Electric|36|0.2777777777777778|112
