Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Industry|Oil & Gas E&P|11|0.5454545454545454|117
Bearish Engulfing With FollowThru|Industry|Biotechnology|23|0.5217391304347826|15
Bearish Engulfing With FollowThru|Sector|Energy|31|0.5161290322580645|57
Bearish Engulfing With FollowThru|Sector|Healthcare|68|0.5147058823529411|17
Bearish Engulfing With FollowThru|Industry|Specialty Chemicals|10|0.5|32
Bearish Engulfing With FollowThru|Industry|Medical Instruments & Supplies|11|0.45454545454545453|15
Bearish Engulfing With FollowThru|Sector|Industrials|69|0.43478260869565216|47
Bearish Engulfing With FollowThru|Overall|All|1588|0.43198992443324935|102
Bearish Engulfing With FollowThru|Sector|Consumer Cyclical|58|0.43103448275862066|42
Bearish Engulfing With FollowThru|Industry|Aerospace & Defense|10|0.4|27
Bearish Engulfing With FollowThru|Industry|Restaurants|10|0.4|47
Bearish Engulfing With FollowThru|Sector|Technology|52|0.38461538461538464|26
Bearish Engulfing With FollowThru|Industry|Asset Management|13|0.38461538461538464|76
Bearish Engulfing With FollowThru|Industry|Software - Application|19|0.3684210526315789|14
Bearish Engulfing With FollowThru|Sector|Basic Materials|19|0.3684210526315789|25
Bearish Engulfing With FollowThru|Sector|Real Estate|29|0.3448275862068966|68
Bearish Engulfing With FollowThru|Sector|Financial Services|119|0.3445378151260504|49
Bearish Engulfing With FollowThru|Industry|Banks - Regional|76|0.34210526315789475|49
Bearish Engulfing With FollowThru|Sector|Utilities|22|0.3181818181818182|106
Bearish Engulfing With FollowThru|Sector|Consumer Defensive|26|0.3076923076923077|20
Bearish Engulfing With FollowThru|Sector|Communication Services|10|0.3|33
Bearish Engulfing With FollowThru|Industry|Software - Infrastructure|10|0.3|55
Bearish Engulfing With FollowThru|Industry|Utilities - Regulated Electric|14|0.2857142857142857|120
