Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Entity|ALX.US|10|0.9|64
Bearish Engulfing With FollowThru|Entity|SRET.US|12|0.8333333333333334|334
Bearish Engulfing With FollowThru|Entity|GS.US|11|0.8181818181818182|56
Bearish Engulfing With FollowThru|Entity|SCHL.US|11|0.8181818181818182|65
Bearish Engulfing With FollowThru|Entity|TISI.US|10|0.8|20
Bearish Engulfing With FollowThru|Entity|GL.US|10|0.8|72
Bearish Engulfing With FollowThru|Entity|RSPF.US|10|0.8|129
Bearish Engulfing With FollowThru|Entity|PXE.US|17|0.7647058823529411|55
Bearish Engulfing With FollowThru|Entity|ODC.US|12|0.75|89
Bearish Engulfing With FollowThru|Entity|SMP.US|11|0.7272727272727273|21
Bearish Engulfing With FollowThru|Entity|AVNT.US|11|0.7272727272727273|34
Bearish Engulfing With FollowThru|Entity|MGRC.US|11|0.7272727272727273|35
Bearish Engulfing With FollowThru|Entity|GPS.US|11|0.7272727272727273|36
Bearish Engulfing With FollowThru|Entity|SXI.US|11|0.7272727272727273|56
Bearish Engulfing With FollowThru|Entity|CCEP.US|11|0.7272727272727273|65
Bearish Engulfing With FollowThru|Entity|CMCSA.US|11|0.7272727272727273|66
Bearish Engulfing With FollowThru|Entity|IWO.US|11|0.7272727272727273|83
Bearish Engulfing With FollowThru|Entity|HTH.US|11|0.7272727272727273|84
Bearish Engulfing With FollowThru|Entity|VAW.US|14|0.7142857142857143|162
Bearish Engulfing With FollowThru|Entity|VIAV.US|10|0.7|22
Bearish Engulfing With FollowThru|Entity|MEOH.US|10|0.7|25
Bearish Engulfing With FollowThru|Entity|HUM.US|10|0.7|25
Bearish Engulfing With FollowThru|Entity|NTGR.US|10|0.7|43
Bearish Engulfing With FollowThru|Entity|BG.US|10|0.7|95
Bearish Engulfing With FollowThru|Entity|CPT.US|10|0.7|97
Bearish Engulfing With FollowThru|Entity|VLY.US|10|0.7|123
Bearish Engulfing With FollowThru|Entity|AGNC.US|10|0.7|210
Bearish Engulfing With FollowThru|Industry|Advertising Agencies|13|0.6923076923076923|26
Bearish Engulfing With FollowThru|Entity|ETR.US|13|0.6923076923076923|61
Bearish Engulfing With FollowThru|Industry|Health Information Services|13|0.6923076923076923|78
Bearish Engulfing With FollowThru|Entity|RBCAA.US|12|0.6666666666666666|60
Bearish Engulfing With FollowThru|Entity|CBU.US|12|0.6666666666666666|73
Bearish Engulfing With FollowThru|Entity|SXT.US|15|0.6666666666666666|96
Bearish Engulfing With FollowThru|Entity|USRT.US|12|0.6666666666666666|118
Bearish Engulfing With FollowThru|Entity|RGI.US|12|0.6666666666666666|182
Bearish Engulfing With FollowThru|Entity|AEM.US|14|0.6428571428571429|21
Bearish Engulfing With FollowThru|Entity|RWO.US|14|0.6428571428571429|162
Bearish Engulfing With FollowThru|Entity|JWN.US|11|0.6363636363636364|21
Bearish Engulfing With FollowThru|Entity|GIC.US|11|0.6363636363636364|28
Bearish Engulfing With FollowThru|Entity|RIG.US|11|0.6363636363636364|29
Bearish Engulfing With FollowThru|Entity|AXL.US|11|0.6363636363636364|29
Bearish Engulfing With FollowThru|Entity|DRI.US|11|0.6363636363636364|38
Bearish Engulfing With FollowThru|Entity|TNC.US|11|0.6363636363636364|62
Bearish Engulfing With FollowThru|Entity|WTRG.US|11|0.6363636363636364|75
Bearish Engulfing With FollowThru|Entity|SYY.US|11|0.6363636363636364|91
Bearish Engulfing With FollowThru|Entity|LKFN.US|11|0.6363636363636364|110
Bearish Engulfing With FollowThru|Entity|CARZ.US|11|0.6363636363636364|116
Bearish Engulfing With FollowThru|Entity|SPHQ.US|11|0.6363636363636364|124
Bearish Engulfing With FollowThru|Entity|PFM.US|11|0.6363636363636364|222
Bearish Engulfing With FollowThru|Entity|RDIV.US|11|0.6363636363636364|252
Bearish Engulfing With FollowThru|Entity|PBJ.US|11|0.6363636363636364|262
Bearish Engulfing With FollowThru|Entity|NWPX.US|13|0.6153846153846154|15
Bearish Engulfing With FollowThru|Industry|Furnishings, Fixtures & Appliances|26|0.6153846153846154|19
Bearish Engulfing With FollowThru|Entity|PFG.US|13|0.6153846153846154|74
Bearish Engulfing With FollowThru|Entity|PRN.US|13|0.6153846153846154|109
Bearish Engulfing With FollowThru|Entity|OLED.US|10|0.6|8
Bearish Engulfing With FollowThru|Entity|LGND.US|10|0.6|11
Bearish Engulfing With FollowThru|Entity|CDE.US|10|0.6|18
Bearish Engulfing With FollowThru|Entity|CLB.US|10|0.6|22
Bearish Engulfing With FollowThru|Entity|PLXS.US|10|0.6|28
Bearish Engulfing With FollowThru|Industry|Food Distribution|15|0.6|30
Bearish Engulfing With FollowThru|Industry|Rental & Leasing Services|35|0.6|32
Bearish Engulfing With FollowThru|Entity|C.US|10|0.6|35
Bearish Engulfing With FollowThru|Industry|Other Industrial Metals & Mining|10|0.6|35
Bearish Engulfing With FollowThru|Entity|PJP.US|10|0.6|37
Bearish Engulfing With FollowThru|Entity|MS.US|10|0.6|37
Bearish Engulfing With FollowThru|Entity|BKR.US|10|0.6|39
Bearish Engulfing With FollowThru|Entity|RNR.US|10|0.6|41
Bearish Engulfing With FollowThru|Entity|SCHH.US|10|0.6|53
Bearish Engulfing With FollowThru|Entity|CADE.US|10|0.6|66
