Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With FollowThru|Entity|ASPS.US|11|0.8181818181818182|11
Bearish Engulfing With FollowThru|Entity|CMCSA.US|11|0.8181818181818182|62
Bearish Engulfing With FollowThru|Entity|RGR.US|10|0.8|26
Bearish Engulfing With FollowThru|Entity|GS.US|10|0.8|60
Bearish Engulfing With FollowThru|Entity|GL.US|10|0.8|78
Bearish Engulfing With FollowThru|Entity|KMB.US|10|0.8|238
Bearish Engulfing With FollowThru|Entity|IWO.US|14|0.7857142857142857|104
Bearish Engulfing With FollowThru|Entity|SRET.US|14|0.7857142857142857|311
Bearish Engulfing With FollowThru|Entity|ETR.US|13|0.7692307692307693|57
Bearish Engulfing With FollowThru|Entity|RWO.US|12|0.75|162
Bearish Engulfing With FollowThru|Entity|TISI.US|11|0.7272727272727273|28
Bearish Engulfing With FollowThru|Entity|AVNT.US|11|0.7272727272727273|37
Bearish Engulfing With FollowThru|Entity|PJP.US|11|0.7272727272727273|50
Bearish Engulfing With FollowThru|Entity|PXJ.US|11|0.7272727272727273|51
Bearish Engulfing With FollowThru|Entity|ALX.US|11|0.7272727272727273|58
Bearish Engulfing With FollowThru|Entity|BG.US|11|0.7272727272727273|93
Bearish Engulfing With FollowThru|Entity|TAP.US|11|0.7272727272727273|97
Bearish Engulfing With FollowThru|Entity|LKFN.US|11|0.7272727272727273|98
Bearish Engulfing With FollowThru|Entity|USRT.US|11|0.7272727272727273|126
Bearish Engulfing With FollowThru|Sector|Financials|11|0.7272727272727273|360
Bearish Engulfing With FollowThru|Entity|ODC.US|14|0.7142857142857143|82
Bearish Engulfing With FollowThru|Entity|GBX.US|10|0.7|23
Bearish Engulfing With FollowThru|Entity|CMCO.US|10|0.7|24
Bearish Engulfing With FollowThru|Entity|HOG.US|10|0.7|38
Bearish Engulfing With FollowThru|Entity|IDGT.US|10|0.7|58
Bearish Engulfing With FollowThru|Entity|CHRW.US|10|0.7|60
Bearish Engulfing With FollowThru|Entity|TNC.US|10|0.7|62
Bearish Engulfing With FollowThru|Entity|DD.US|10|0.7|72
Bearish Engulfing With FollowThru|Entity|RSPF.US|10|0.7|140
Bearish Engulfing With FollowThru|Entity|DOL.US|10|0.7|163
Bearish Engulfing With FollowThru|Entity|AGNC.US|10|0.7|163
Bearish Engulfing With FollowThru|Entity|VTR.US|13|0.6923076923076923|37
Bearish Engulfing With FollowThru|Entity|MGRC.US|13|0.6923076923076923|51
Bearish Engulfing With FollowThru|Industry|Health Information Services|13|0.6923076923076923|80
Bearish Engulfing With FollowThru|Entity|SYY.US|13|0.6923076923076923|87
Bearish Engulfing With FollowThru|Entity|VAW.US|13|0.6923076923076923|173
Bearish Engulfing With FollowThru|Entity|AEM.US|15|0.6666666666666666|21
Bearish Engulfing With FollowThru|Entity|SMP.US|12|0.6666666666666666|22
Bearish Engulfing With FollowThru|Entity|CACC.US|12|0.6666666666666666|31
Bearish Engulfing With FollowThru|Entity|BFS.US|12|0.6666666666666666|34
Bearish Engulfing With FollowThru|Entity|GPS.US|12|0.6666666666666666|36
Bearish Engulfing With FollowThru|Entity|ARW.US|12|0.6666666666666666|46
Bearish Engulfing With FollowThru|Entity|PXE.US|12|0.6666666666666666|48
Bearish Engulfing With FollowThru|Entity|SXI.US|12|0.6666666666666666|56
Bearish Engulfing With FollowThru|Entity|CCBG.US|12|0.6666666666666666|57
Bearish Engulfing With FollowThru|Entity|CCEP.US|12|0.6666666666666666|65
Bearish Engulfing With FollowThru|Entity|VLY.US|12|0.6666666666666666|146
Bearish Engulfing With FollowThru|Entity|RGI.US|12|0.6666666666666666|182
Bearish Engulfing With FollowThru|Entity|PFM.US|12|0.6666666666666666|216
Bearish Engulfing With FollowThru|Industry|REIT - Hotel & Motel|17|0.6470588235294118|44
Bearish Engulfing With FollowThru|Entity|PFG.US|14|0.6428571428571429|65
Bearish Engulfing With FollowThru|Entity|PYZ.US|14|0.6428571428571429|72
Bearish Engulfing With FollowThru|Entity|PSCH.US|14|0.6428571428571429|103
Bearish Engulfing With FollowThru|Entity|PBJ.US|14|0.6428571428571429|136
Bearish Engulfing With FollowThru|Entity|CLB.US|11|0.6363636363636364|24
Bearish Engulfing With FollowThru|Entity|PLXS.US|11|0.6363636363636364|27
Bearish Engulfing With FollowThru|Entity|BP.US|11|0.6363636363636364|51
Bearish Engulfing With FollowThru|Entity|CBU.US|11|0.6363636363636364|75
Bearish Engulfing With FollowThru|Entity|FXR.US|11|0.6363636363636364|93
Bearish Engulfing With FollowThru|Entity|XLB.US|11|0.6363636363636364|95
Bearish Engulfing With FollowThru|Entity|CPT.US|11|0.6363636363636364|97
Bearish Engulfing With FollowThru|Entity|KRC.US|11|0.6363636363636364|144
Bearish Engulfing With FollowThru|Entity|DEUS.US|11|0.6363636363636364|165
Bearish Engulfing With FollowThru|Entity|NWPX.US|13|0.6153846153846154|19
Bearish Engulfing With FollowThru|Entity|PRN.US|13|0.6153846153846154|109
Bearish Engulfing With FollowThru|Entity|RDIV.US|13|0.6153846153846154|225
Bearish Engulfing With FollowThru|Industry|Farm Products|44|0.6136363636363636|42
Bearish Engulfing With FollowThru|Entity|ZEUS.US|10|0.6|9
Bearish Engulfing With FollowThru|Entity|PLCE.US|10|0.6|10
Bearish Engulfing With FollowThru|Entity|DINO.US|10|0.6|22
Bearish Engulfing With FollowThru|Entity|DECK.US|10|0.6|30
Bearish Engulfing With FollowThru|Entity|LNC.US|10|0.6|31
Bearish Engulfing With FollowThru|Entity|ASA.US|15|0.6|35
Bearish Engulfing With FollowThru|Entity|ADBE.US|15|0.6|43
Bearish Engulfing With FollowThru|Entity|CWST.US|10|0.6|44
Bearish Engulfing With FollowThru|Entity|CCI.US|10|0.6|46
Bearish Engulfing With FollowThru|Entity|NTGR.US|10|0.6|48
Bearish Engulfing With FollowThru|Entity|SCHH.US|10|0.6|53
Bearish Engulfing With FollowThru|Industry|Paper & Paper Products|10|0.6|60
Bearish Engulfing With FollowThru|Entity|ATRI.US|10|0.6|65
Bearish Engulfing With FollowThru|Industry|Insurance - Life|35|0.6|69
Bearish Engulfing With FollowThru|Entity|RBCAA.US|10|0.6|75
Bearish Engulfing With FollowThru|Entity|UPGD.US|10|0.6|93
Bearish Engulfing With FollowThru|Entity|FNY.US|15|0.6|118
Bearish Engulfing With FollowThru|Entity|SPHQ.US|10|0.6|135
Bearish Engulfing With FollowThru|Entity|FEX.US|10|0.6|166
Bearish Engulfing With FollowThru|Industry|Food Distribution|17|0.5882352941176471|24
Bearish Engulfing With FollowThru|Entity|UAA.US|12|0.5833333333333334|28
Bearish Engulfing With FollowThru|Entity|LEN-B.US|12|0.5833333333333334|33
Bearish Engulfing With FollowThru|Entity|C.US|12|0.5833333333333334|39
Bearish Engulfing With FollowThru|Entity|STN.US|12|0.5833333333333334|42
Bearish Engulfing With FollowThru|Entity|EME.US|12|0.5833333333333334|63
Bearish Engulfing With FollowThru|Entity|WTRG.US|12|0.5833333333333334|75
Bearish Engulfing With FollowThru|Entity|FVC.US|12|0.5833333333333334|158
Bearish Engulfing With FollowThru|Industry|Recreational Vehicles|21|0.5714285714285714|27
Bearish Engulfing With FollowThru|Industry|Advertising Agencies|14|0.5714285714285714|34
Bearish Engulfing With FollowThru|Entity|DSGX.US|14|0.5714285714285714|42
Bearish Engulfing With FollowThru|Entity|REZ.US|14|0.5714285714285714|87
Bearish Engulfing With FollowThru|Entity|IVOG.US|14|0.5714285714285714|157
Bearish Engulfing With FollowThru|Entity|RFV.US|14|0.5714285714285714|187
Bearish Engulfing With FollowThru|Entity|BMI.US|16|0.5625|37
Bearish Engulfing With FollowThru|Entity|EWC.US|16|0.5625|90
Bearish Engulfing With FollowThru|Industry|Auto Parts|59|0.559322033898305|55
Bearish Engulfing With FollowThru|Industry|Electronic Gaming & Multimedia|18|0.5555555555555556|17
Bearish Engulfing With FollowThru|Entity|JWN.US|11|0.5454545454545454|18
Bearish Engulfing With FollowThru|Entity|SRDX.US|11|0.5454545454545454|19
Bearish Engulfing With FollowThru|Entity|RRC.US|11|0.5454545454545454|20
Bearish Engulfing With FollowThru|Entity|LFUS.US|11|0.5454545454545454|21
Bearish Engulfing With FollowThru|Entity|MTW.US|11|0.5454545454545454|21
Bearish Engulfing With FollowThru|Entity|GIC.US|11|0.5454545454545454|22
Bearish Engulfing With FollowThru|Entity|FMX.US|11|0.5454545454545454|28
