Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Wineries & Distilleries|14|0.6428571428571429|79
Bearish Engulfing With Four White Predecessors|Industry|Footwear & Accessories|11|0.6363636363636364|32
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Midstream|37|0.6216216216216216|33
Bearish Engulfing With Four White Predecessors|Industry|Airlines|21|0.6190476190476191|24
Bearish Engulfing With Four White Predecessors|Industry|Personal Services|10|0.6|44
Bearish Engulfing With Four White Predecessors|Entity|VTR.US|10|0.6|60
Bearish Engulfing With Four White Predecessors|Industry|Packaged Foods|39|0.5897435897435898|52
Bearish Engulfing With Four White Predecessors|Entity|ALE.US|12|0.5833333333333334|50
Bearish Engulfing With Four White Predecessors|Industry|Utilities - Diversified|26|0.5769230769230769|54
Bearish Engulfing With Four White Predecessors|Industry|Education & Training Services|25|0.56|34
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Integrated|18|0.5555555555555556|67
Bearish Engulfing With Four White Predecessors|Industry|Banks - Diversified|36|0.5555555555555556|72
Bearish Engulfing With Four White Predecessors|Industry|Leisure|24|0.5416666666666666|56
Bearish Engulfing With Four White Predecessors|Industry|Farm & Heavy Construction Machinery|37|0.5405405405405406|24
Bearish Engulfing With Four White Predecessors|Industry|REIT - Industrial|26|0.5384615384615384|56
Bearish Engulfing With Four White Predecessors|Entity|FMX.US|13|0.5384615384615384|65
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Brewers|13|0.5384615384615384|65
Bearish Engulfing With Four White Predecessors|Industry|Marine Shipping|15|0.5333333333333333|16
Bearish Engulfing With Four White Predecessors|Industry|REIT - Residential|47|0.5319148936170213|89
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Non-Alcoholic|17|0.5294117647058824|38
Bearish Engulfing With Four White Predecessors|Industry|Credit Services|42|0.5238095238095238|68
Bearish Engulfing With Four White Predecessors|Industry|Electrical Equipment & Parts|33|0.5151515151515151|33
Bearish Engulfing With Four White Predecessors|Industry|Engineering & Construction|37|0.5135135135135135|26
Bearish Engulfing With Four White Predecessors|Sector|Energy|211|0.5023696682464455|36
Bearish Engulfing With Four White Predecessors|Entity|BPT.US|10|0.5|22
Bearish Engulfing With Four White Predecessors|Entity|VLO.US|10|0.5|33
Bearish Engulfing With Four White Predecessors|Entity|MSCI.US|10|0.5|35
Bearish Engulfing With Four White Predecessors|Industry|Consumer Electronics|12|0.5|36
Bearish Engulfing With Four White Predecessors|Entity|ILF.US|10|0.5|43
Bearish Engulfing With Four White Predecessors|Industry|Packaging & Containers|20|0.5|62
Bearish Engulfing With Four White Predecessors|Industry|Railroads|12|0.5|81
Bearish Engulfing With Four White Predecessors|Entity|IWN.US|12|0.5|187
Bearish Engulfing With Four White Predecessors|Entity|AEE.US|10|0.5|190
