Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Engulfing With Four White Predecessors|AAL.US|Airlines|Industrials|3/13/2018|Close|56.2300||||3/27/2018|Low|50.5500|Down|10|14
Bearish Engulfing With Four White Predecessors|AAL.US|Airlines|Industrials|1/18/2023|Close|16.6400|7/5/2023|High|18.4200|3/13/2023|Low|14.6900|Down|38|54
Bearish Engulfing With Four White Predecessors|AAPL.US|Consumer Electronics|Technology|2/6/2002|Close|0.4405|3/5/2004|High|0.4909|2/21/2002|Low|0.3830|Down|11|15
Bearish Engulfing With Four White Predecessors|AAPL.US|Consumer Electronics|Technology|12/11/2007|Close|6.7336|10/21/2009|High|7.4539|1/9/2008|Low|6.0107|Down|21|29
Bearish Engulfing With Four White Predecessors|AAP.US|Specialty Retail|Consumer Cyclical|8/23/2010|Close|54.7500|10/13/2010|High|60.6000|10/23/2023|Low|48.2300|Up|37|51
Bearish Engulfing With Four White Predecessors|ABBV.US|Drug Manufacturers - General|Healthcare|6/24/2015|Close|69.2200|9/6/2017|High|77.4550|8/24/2015|Low|53.8700|Down|43|61
Bearish Engulfing With Four White Predecessors|ABEO.US|Biotechnology|Healthcare|5/31/2016|Close|73.0000|6/10/2016|High|80.7500|6/21/2016|Low|64.5000|Up|8|10
Bearish Engulfing With Four White Predecessors|ABEQ.US|||1/13/2022|Close|28.9230||||9/21/2022|Low|25.9200|Down|179|251
Bearish Engulfing With Four White Predecessors|AB.US|Asset Management|Financial Services|3/7/2002|Close|47.8000|10/31/2005|High|53.7900|5/6/2002|Low|42.1500|Down|42|60
Bearish Engulfing With Four White Predecessors|ACAD.US|Biotechnology|Healthcare|9/21/2022|Close|17.0700|10/6/2022|High|18.7800|10/13/2022|Low|15.0800|Up|11|15
Bearish Engulfing With Four White Predecessors|ACB.US|Drug Manufacturers - Specialty & Generic|Healthcare|9/22/2016|Close|118.6080|10/3/2016|High|134.0880|3/11/2020|Low|102.0000|Up|7|11
Bearish Engulfing With Four White Predecessors|ACCD.US|Health Information Services|Healthcare|6/28/2022|Close|7.8800|7/1/2022|High|9.5600|12/28/2022|Low|7.0000|Up|3|3
Bearish Engulfing With Four White Predecessors|ACHC.US|Medical Care Facilities|Healthcare|6/23/2015|Close|77.0800|8/5/2015|High|85.6200|8/24/2015|Low|58.7000|Up|31|43
Bearish Engulfing With Four White Predecessors|ACHC.US|Medical Care Facilities|Healthcare|5/11/2018|Close|41.7100|12/9/2020|High|46.4200|7/31/2018|Low|36.5000|Down|57|81
Bearish Engulfing With Four White Predecessors|ACHC.US|Medical Care Facilities|Healthcare|11/11/2022|Close|80.6800|11/30/2022|High|89.8500|2/28/2023|Low|71.5850|Up|13|19
Bearish Engulfing With Four White Predecessors|ACLS.US|Semiconductor Equipment & Materials|Technology|1/19/2001|Close|46.5000|2/26/2001|High|81.5200|1/22/2001|Low|40.0000|Down|1|3
Bearish Engulfing With Four White Predecessors|ACNB.US|Banks - Regional|Financial Services|6/6/2022|Close|34.9000|11/10/2022|High|39.6800|6/13/2022|Low|31.1100|Down|5|7
Bearish Engulfing With Four White Predecessors|ACOR.US|Drug Manufacturers - Specialty & Generic|Healthcare|9/20/2016|Close|3163.2000|3/9/2017|High|3960.0000|9/26/2016|Low|2737.2000|Down|4|6
Bearish Engulfing With Four White Predecessors|ACR.US|REIT - Mortgage|Real Estate|12/26/2007|Close|133.9200||||12/27/2007|Low|118.8000|Down|1|1
Bearish Engulfing With Four White Predecessors|ADBE.US|Software - Infrastructure|Technology|10/22/2004|Close|26.8700|11/18/2004|High|29.7150|10/23/2008|Low|23.4100|Up|19|27
Bearish Engulfing With Four White Predecessors|ADBE.US|Software - Infrastructure|Technology|5/14/2018|Close|238.3700|7/24/2018|High|262.7275|11/20/2018|Low|207.0200|Up|51|71
Bearish Engulfing With Four White Predecessors|ADC.US|REIT - Retail|Real Estate|5/14/2018|Close|50.6200|8/17/2018|High|56.0900|3/19/2020|Low|45.2300|Up|69|95
Bearish Engulfing With Four White Predecessors|ADI.US|Semiconductors|Technology|11/8/2001|Close|43.0000|11/13/2001|High|47.5500|2/8/2002|Low|38.0000|Up|3|5
Bearish Engulfing With Four White Predecessors|ADM.US|Farm Products|Consumer Defensive|4/21/2022|Close|96.0500||||5/9/2022|Low|83.9900|Down|12|18
Bearish Engulfing With Four White Predecessors|ADP.US|Staffing & Employment Services|Industrials|6/11/2019|Close|165.1100|2/18/2020|High|182.3200|3/9/2020|Low|146.2800|Up|180|252
Bearish Engulfing With Four White Predecessors|ADP.US|Staffing & Employment Services|Industrials|10/20/2021|Close|213.0500|11/16/2021|High|237.0600||||Up|19|27
