Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Four White Predecessors|Industry|Specialty Chemicals|13|0.6153846153846154|75
Bearish Engulfing With Four White Predecessors|Industry|Specialty Industrial Machinery|10|0.6|28
Bearish Engulfing With Four White Predecessors|Sector|Communication Services|16|0.5625|30
Bearish Engulfing With Four White Predecessors|Industry|Medical Devices|15|0.5333333333333333|48
Bearish Engulfing With Four White Predecessors|Industry|Software - Infrastructure|10|0.5|41
Bearish Engulfing With Four White Predecessors|Industry|REIT - Residential|12|0.5|52
Bearish Engulfing With Four White Predecessors|Sector|Basic Materials|18|0.5|67
Bearish Engulfing With Four White Predecessors|Sector|Consumer Cyclical|64|0.484375|30
Bearish Engulfing With Four White Predecessors|Sector|Consumer Defensive|31|0.4838709677419355|39
Bearish Engulfing With Four White Predecessors|Sector|Energy|36|0.4722222222222222|33
Bearish Engulfing With Four White Predecessors|Industry|Aerospace & Defense|11|0.45454545454545453|29
Bearish Engulfing With Four White Predecessors|Industry|Biotechnology|20|0.45|12
Bearish Engulfing With Four White Predecessors|Sector|Utilities|16|0.4375|71
Bearish Engulfing With Four White Predecessors|Overall|All|2220|0.41936936936936936|99
Bearish Engulfing With Four White Predecessors|Sector|Technology|60|0.4166666666666667|32
Bearish Engulfing With Four White Predecessors|Industry|Banks - Regional|93|0.40860215053763443|67
Bearish Engulfing With Four White Predecessors|Sector|Real Estate|57|0.40350877192982454|53
Bearish Engulfing With Four White Predecessors|Industry|Real Estate Services|10|0.4|44
Bearish Engulfing With Four White Predecessors|Sector|Financial Services|150|0.4|65
Bearish Engulfing With Four White Predecessors|Industry|Medical Instruments & Supplies|10|0.4|104
Bearish Engulfing With Four White Predecessors|Sector|Healthcare|83|0.39759036144578314|38
Bearish Engulfing With Four White Predecessors|Sector|Industrials|87|0.39080459770114945|30
Bearish Engulfing With Four White Predecessors|Industry|Software - Application|15|0.3333333333333333|32
Bearish Engulfing With Four White Predecessors|Industry|Asset Management|18|0.3333333333333333|56
