Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Engulfing With Four White Predecessors|AAPL.US|Consumer Electronics|Technology|2/15/2012|Close|17.7739|2/29/2012|High|19.5575|1/25/2013|Low|15.5357|Up|10|14
Bearish Engulfing With Four White Predecessors|AAP.US|Specialty Retail|Consumer Cyclical|11/28/2005|Close|42.2500|7/22/2009|High|47.0900|4/24/2006|Low|37.8100|Down|105|147
Bearish Engulfing With Four White Predecessors|AAT.US|REIT - Diversified|Real Estate|2/15/2013|Close|29.6600|3/14/2013|High|32.7100|3/16/2020|Low|24.5200|Up|19|27
Bearish Engulfing With Four White Predecessors|ABCB.US|Banks - Regional|Financial Services|10/30/2015|Close|31.5000|12/2/2015|High|34.7600|1/22/2016|Low|26.6750|Up|23|33
Bearish Engulfing With Four White Predecessors|ABEQ.US|||1/13/2022|Close|28.9230||||9/21/2022|Low|25.9200|Down|179|251
Bearish Engulfing With Four White Predecessors|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|4/30/2007|Close|28.7700|10/25/2012|High|31.6500|6/7/2007|Low|24.8900|Down|28|38
Bearish Engulfing With Four White Predecessors|ACGL.US|Insurance - Diversified|Financial Services|4/3/2000|Close|1.7847|2/20/2001|High|2.0069|11/21/2000|Low|1.5833|Down|166|232
Bearish Engulfing With Four White Predecessors|ACGL.US|Insurance - Diversified|Financial Services|4/9/2002|Close|3.0189|5/1/2002|High|3.3611|7/15/2002|Low|2.6467|Up|16|22
Bearish Engulfing With Four White Predecessors|ACGL.US|Insurance - Diversified|Financial Services|2/26/2010|Close|8.2200|9/1/2010|High|9.0767|5/6/2010|Low|7.3000|Down|49|69
Bearish Engulfing With Four White Predecessors|ACGL.US|Insurance - Diversified|Financial Services|9/29/2017|Close|32.8333|6/19/2019|High|36.1400|1/2/2018|Low|29.3833|Down|67|95
Bearish Engulfing With Four White Predecessors|ACNB.US|Banks - Regional|Financial Services|2/10/2021|Close|26.6300|2/25/2021|High|29.3396||||Up|11|15
Bearish Engulfing With Four White Predecessors|ACNB.US|Banks - Regional|Financial Services|6/6/2022|Close|34.9000|11/10/2022|High|39.6800|6/13/2022|Low|31.1100|Down|5|7
