Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Four White Predecessors|Industry|REIT - Mortgage|25|0.72|217
Bearish Engulfing With Four White Predecessors|Industry|Travel Services|19|0.631578947368421|201
Bearish Engulfing With Four White Predecessors|Industry|REIT - Hotel & Motel|13|0.6153846153846154|187
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Wineries & Distilleries|13|0.6153846153846154|328
Bearish Engulfing With Four White Predecessors|Entity|PDS.US|10|0.6|91
Bearish Engulfing With Four White Predecessors|Entity|AEE.US|10|0.6|656
Bearish Engulfing With Four White Predecessors|Industry|Airlines|19|0.5789473684210527|56
Bearish Engulfing With Four White Predecessors|Industry|Packaged Foods|37|0.5675675675675675|149
Bearish Engulfing With Four White Predecessors|Industry|Biotechnology|122|0.5491803278688525|44
Bearish Engulfing With Four White Predecessors|Entity|ALE.US|11|0.5454545454545454|282
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Midstream|35|0.5428571428571428|268
Bearish Engulfing With Four White Predecessors|Industry|Recreational Vehicles|13|0.5384615384615384|171
Bearish Engulfing With Four White Predecessors|Industry|Specialty Retail|41|0.5365853658536586|226
Bearish Engulfing With Four White Predecessors|Industry|Resorts & Casinos|15|0.5333333333333333|62
Bearish Engulfing With Four White Predecessors|Industry|Security & Protection Services|15|0.5333333333333333|216
Bearish Engulfing With Four White Predecessors|Industry|Leisure|21|0.5238095238095238|153
Bearish Engulfing With Four White Predecessors|Industry|Credit Services|39|0.5128205128205128|298
Bearish Engulfing With Four White Predecessors|Industry|Personal Services|10|0.5|66
Bearish Engulfing With Four White Predecessors|Entity|VLO.US|10|0.5|81
Bearish Engulfing With Four White Predecessors|Industry|Farm & Heavy Construction Machinery|36|0.5|86
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Non-Alcoholic|16|0.5|99
Bearish Engulfing With Four White Predecessors|Industry|Staffing & Employment Services|22|0.5|166
Bearish Engulfing With Four White Predecessors|Entity|BPT.US|10|0.5|193
Bearish Engulfing With Four White Predecessors|Industry|Banks - Diversified|34|0.5|246
Bearish Engulfing With Four White Predecessors|Entity|GAM.US|10|0.5|254
Bearish Engulfing With Four White Predecessors|Industry|REIT - Office|44|0.5|355
Bearish Engulfing With Four White Predecessors|Industry|Entertainment|37|0.4864864864864865|142
Bearish Engulfing With Four White Predecessors|Industry|Restaurants|35|0.4857142857142857|184
Bearish Engulfing With Four White Predecessors|Industry|Asset Management|106|0.4811320754716981|309
Bearish Engulfing With Four White Predecessors|Industry|Farm Products|17|0.47058823529411764|255
Bearish Engulfing With Four White Predecessors|Industry|Electrical Equipment & Parts|30|0.4666666666666667|144
Bearish Engulfing With Four White Predecessors|Industry|Consulting Services|37|0.4594594594594595|189
Bearish Engulfing With Four White Predecessors|Industry|Utilities - Diversified|24|0.4583333333333333|245
Bearish Engulfing With Four White Predecessors|Industry|Specialty Chemicals|57|0.45614035087719296|138
Bearish Engulfing With Four White Predecessors|Industry|Footwear & Accessories|11|0.45454545454545453|51
Bearish Engulfing With Four White Predecessors|Industry|Waste Management|11|0.45454545454545453|102
Bearish Engulfing With Four White Predecessors|Industry|Internet Content & Information|22|0.45454545454545453|135
Bearish Engulfing With Four White Predecessors|Entity|NTRS.US|11|0.45454545454545453|251
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Refining & Marketing|29|0.4482758620689655|101
Bearish Engulfing With Four White Predecessors|Industry|Auto Parts|38|0.4473684210526316|162
Bearish Engulfing With Four White Predecessors|Sector|Real Estate|273|0.4468864468864469|229
Bearish Engulfing With Four White Predecessors|Sector|Energy|197|0.4467005076142132|145
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Integrated|18|0.4444444444444444|182
Bearish Engulfing With Four White Predecessors|Industry|REIT - Residential|45|0.4444444444444444|235
Bearish Engulfing With Four White Predecessors|Industry|Building Products & Equipment|21|0.42857142857142855|127
Bearish Engulfing With Four White Predecessors|Sector|Consumer Defensive|185|0.42702702702702705|183
Bearish Engulfing With Four White Predecessors|Sector|Communication Services|115|0.4260869565217391|152
Bearish Engulfing With Four White Predecessors|Industry|REIT - Industrial|26|0.4230769230769231|128
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas E&P|69|0.42028985507246375|123
Bearish Engulfing With Four White Predecessors|Entity|IWN.US|12|0.4166666666666667|246
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Brewers|12|0.4166666666666667|246
Bearish Engulfing With Four White Predecessors|Entity|FMX.US|12|0.4166666666666667|246
Bearish Engulfing With Four White Predecessors|Industry|Conglomerates|12|0.4166666666666667|346
Bearish Engulfing With Four White Predecessors|Sector|Consumer Cyclical|399|0.41353383458646614|139
Bearish Engulfing With Four White Predecessors|Industry|Communication Equipment|34|0.4117647058823529|93
Bearish Engulfing With Four White Predecessors|Sector|Basic Materials|130|0.4076923076923077|137
Bearish Engulfing With Four White Predecessors|Industry|Drug Manufacturers - Specialty & Generic|52|0.40384615384615385|80
Bearish Engulfing With Four White Predecessors|Industry|Trucking|10|0.4|83
Bearish Engulfing With Four White Predecessors|Industry|Semiconductors|40|0.4|104
Bearish Engulfing With Four White Predecessors|Industry|Industrial Distribution|25|0.4|120
Bearish Engulfing With Four White Predecessors|Entity|IMAX.US|10|0.4|143
Bearish Engulfing With Four White Predecessors|Entity|SRE.US|10|0.4|192
Bearish Engulfing With Four White Predecessors|Entity|VTR.US|10|0.4|241
Bearish Engulfing With Four White Predecessors|Entity|TRP.US|10|0.4|267
Bearish Engulfing With Four White Predecessors|Industry|Banks - Regional|285|0.39649122807017545|254
Bearish Engulfing With Four White Predecessors|Industry|Apparel Retail|48|0.3958333333333333|107
Bearish Engulfing With Four White Predecessors|Industry|Telecom Services|33|0.3939393939393939|209
Bearish Engulfing With Four White Predecessors|Industry|Gold|23|0.391304347826087|134
Bearish Engulfing With Four White Predecessors|Overall|All|10267|0.3882341482419402|215
Bearish Engulfing With Four White Predecessors|Sector|Financial Services|666|0.38738738738738737|259
Bearish Engulfing With Four White Predecessors|Industry|Advertising Agencies|13|0.38461538461538464|76
Bearish Engulfing With Four White Predecessors|Industry|Healthcare Plans|26|0.38461538461538464|163
Bearish Engulfing With Four White Predecessors|Industry|Software - Infrastructure|71|0.38028169014084506|110
Bearish Engulfing With Four White Predecessors|Industry|Electronic Components|29|0.3793103448275862|110
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Equipment & Services|32|0.375|71
Bearish Engulfing With Four White Predecessors|Sector|Industrials|545|0.3743119266055046|137
Bearish Engulfing With Four White Predecessors|Sector|Healthcare|479|0.3736951983298539|86
Bearish Engulfing With Four White Predecessors|Industry|Insurance - Specialty|41|0.36585365853658536|251
Bearish Engulfing With Four White Predecessors|Sector|Utilities|162|0.36419753086419754|319
Bearish Engulfing With Four White Predecessors|Industry|Railroads|11|0.36363636363636365|226
Bearish Engulfing With Four White Predecessors|Industry|Insurance - Diversified|33|0.36363636363636365|237
Bearish Engulfing With Four White Predecessors|Entity|ACGL.US|11|0.36363636363636365|278
Bearish Engulfing With Four White Predecessors|Industry|Utilities - Regulated Electric|97|0.36082474226804123|382
Bearish Engulfing With Four White Predecessors|Industry|Real Estate Services|25|0.36|102
Bearish Engulfing With Four White Predecessors|Industry|Education & Training Services|25|0.36|123
Bearish Engulfing With Four White Predecessors|Industry|Utilities - Regulated Gas|14|0.35714285714285715|408
Bearish Engulfing With Four White Predecessors|Industry|Auto & Truck Dealerships|23|0.34782608695652173|122
Bearish Engulfing With Four White Predecessors|Industry|Medical Devices|67|0.34328358208955223|102
Bearish Engulfing With Four White Predecessors|Industry|Engineering & Construction|35|0.34285714285714286|85
Bearish Engulfing With Four White Predecessors|Industry|Consumer Electronics|12|0.3333333333333333|54
Bearish Engulfing With Four White Predecessors|Industry|Solar|12|0.3333333333333333|75
Bearish Engulfing With Four White Predecessors|Industry|Marine Shipping|15|0.3333333333333333|86
Bearish Engulfing With Four White Predecessors|Sector|Technology|414|0.3333333333333333|111
Bearish Engulfing With Four White Predecessors|Industry|Medical Care Facilities|45|0.3333333333333333|125
Bearish Engulfing With Four White Predecessors|Industry|REIT - Specialty|37|0.32432432432432434|190
Bearish Engulfing With Four White Predecessors|Industry|REIT - Retail|31|0.3225806451612903|273
