Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Four White Predecessors|Sector|Communication Services|16|0.625|22
Bearish Engulfing With Four White Predecessors|Industry|Medical Devices|12|0.5833333333333334|49
Bearish Engulfing With Four White Predecessors|Sector|Energy|32|0.5625|31
Bearish Engulfing With Four White Predecessors|Industry|Biotechnology|27|0.5555555555555556|11
Bearish Engulfing With Four White Predecessors|Industry|Software - Infrastructure|11|0.5454545454545454|34
Bearish Engulfing With Four White Predecessors|Sector|Utilities|15|0.5333333333333333|67
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas E&P|10|0.5|36
Bearish Engulfing With Four White Predecessors|Sector|Consumer Defensive|26|0.5|41
Bearish Engulfing With Four White Predecessors|Sector|Consumer Cyclical|57|0.47368421052631576|29
Bearish Engulfing With Four White Predecessors|Industry|REIT - Residential|11|0.45454545454545453|60
Bearish Engulfing With Four White Predecessors|Industry|Banks - Regional|82|0.45121951219512196|67
Bearish Engulfing With Four White Predecessors|Overall|All|2110|0.44502369668246444|95
Bearish Engulfing With Four White Predecessors|Sector|Healthcare|80|0.4375|30
Bearish Engulfing With Four White Predecessors|Sector|Financial Services|139|0.4244604316546763|64
Bearish Engulfing With Four White Predecessors|Sector|Technology|59|0.4067796610169492|32
Bearish Engulfing With Four White Predecessors|Sector|Industrials|87|0.40229885057471265|28
Bearish Engulfing With Four White Predecessors|Sector|Basic Materials|13|0.38461538461538464|88
Bearish Engulfing With Four White Predecessors|Sector|Real Estate|53|0.37735849056603776|54
Bearish Engulfing With Four White Predecessors|Industry|Asset Management|19|0.3684210526315789|50
Bearish Engulfing With Four White Predecessors|Industry|Software - Application|15|0.26666666666666666|30
Bearish Engulfing With Four White Predecessors|Industry|Diagnostics & Research|10|0.2|20
