Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Engulfing With Four White Predecessors|AAPL.US|Consumer Electronics|Technology|2/15/2012|Close|17.7739|3/15/2012|High|21.4289|4/17/2013|Low|14.2182|Up|21|29
Bearish Engulfing With Four White Predecessors|AAP.US|Specialty Retail|Consumer Cyclical|11/28/2005|Close|42.2500|5/21/2010|High|50.9800|6/29/2006|Low|28.9000|Down|153|213
Bearish Engulfing With Four White Predecessors|AAT.US|REIT - Diversified|Real Estate|2/15/2013|Close|29.6600|5/2/2013|High|36.2650|3/17/2020|Low|23.3100|Up|54|76
Bearish Engulfing With Four White Predecessors|ABCB.US|Banks - Regional|Financial Services|3/19/2008|Close|14.9219|7/2/2013|High|17.9500|6/11/2008|Low|11.8675|Down|60|84
Bearish Engulfing With Four White Predecessors|ABCB.US|Banks - Regional|Financial Services|10/30/2015|Close|31.5000|11/9/2016|High|39.2500|2/11/2016|Low|24.9600|Down|74|104
Bearish Engulfing With Four White Predecessors|ABEQ.US|||1/13/2022|Close|28.9230|||||||||
Bearish Engulfing With Four White Predecessors|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|4/30/2007|Close|28.7700|1/4/2013|High|34.7100|7/24/2007|Low|22.9600|Down|61|85
Bearish Engulfing With Four White Predecessors|AB.US|Asset Management|Financial Services|10/22/1992|Close|8.2500|1/28/1993|High|10.2188||||Up|70|98
Bearish Engulfing With Four White Predecessors|ACGL.US|Insurance - Diversified|Financial Services|4/3/2000|Close|1.7847|10/24/2001|High|2.6978||||Up|407|569
Bearish Engulfing With Four White Predecessors|ACGL.US|Insurance - Diversified|Financial Services|4/9/2002|Close|3.0189|12/4/2002|High|3.8333||||Up|171|239
Bearish Engulfing With Four White Predecessors|ACGL.US|Insurance - Diversified|Financial Services|2/26/2010|Close|8.2200|11/4/2010|High|10.0200||||Up|179|251
Bearish Engulfing With Four White Predecessors|ACGL.US|Insurance - Diversified|Financial Services|9/29/2017|Close|32.8333|7/30/2019|High|39.8600|4/10/2018|Low|26.2067|Down|137|193
Bearish Engulfing With Four White Predecessors|ACNB.US|Banks - Regional|Financial Services|2/10/2021|Close|26.6300|3/8/2021|High|32.3100||||Up|18|26
Bearish Engulfing With Four White Predecessors|ACNB.US|Banks - Regional|Financial Services|6/6/2022|Close|34.9000|12/5/2023|High|42.0000|5/4/2023|Low|27.0000|Down|238|332
Bearish Engulfing With Four White Predecessors|ACNB.US|Banks - Regional|Financial Services|8/4/2023|Close|34.1100|12/1/2023|High|41.2250||||Up|85|119
Bearish Engulfing With Four White Predecessors|ACR.US|REIT - Mortgage|Real Estate|10/4/2017|Close|32.5200||||2/9/2018|Low|25.5300|Down|92|128
Bearish Engulfing With Four White Predecessors|ACWI.US|||8/11/2020|Close|79.2800|2/8/2021|High|95.2000||||Up|129|181
Bearish Engulfing With Four White Predecessors|ACWX.US|||3/4/2010|Close|40.0200|5/27/2014|High|48.2200|5/6/2010|Low|30.6500|Down|45|63
Bearish Engulfing With Four White Predecessors|ACWX.US|||2/29/2012|Close|41.0300|6/19/2014|High|49.2500|3/18/2020|Low|32.4000|Up|601|841
Bearish Engulfing With Four White Predecessors|ADBE.US|Software - Infrastructure|Technology|6/7/2023|Close|418.3200|6/16/2023|High|518.7400||||Up|7|9
Bearish Engulfing With Four White Predecessors|ADD.US|Entertainment|Communication Services|1/4/2019|Close|112.0000|1/15/2019|High|136.0000|9/27/2019|Low|82.0000|Up|7|11
Bearish Engulfing With Four White Predecessors|ADTN.US|Communication Equipment|Technology|1/14/1997|Close|24.7500|1/10/2000|High|30.1875|2/4/1997|Low|18.6250|Down|15|21
Bearish Engulfing With Four White Predecessors|ADVM.US|Biotechnology|Healthcare|2/8/2024|Close|19.7000|2/14/2024|High|24.7000|3/19/2024|Low|14.0000|Up|4|6
Bearish Engulfing With Four White Predecessors|AEE.US|Utilities - Regulated Electric|Utilities|12/16/2002|Close|41.2500|11/23/2004|High|49.6900|10/8/2008|Low|32.6000|Up|506|708
Bearish Engulfing With Four White Predecessors|AEFC.US|Other|Other|4/12/2023|Close|22.1000|||||||||
Bearish Engulfing With Four White Predecessors|AEIS.US|Electrical Equipment & Parts|Industrials|6/9/2017|Close|80.6900|11/24/2020|High|97.7100|6/29/2017|Low|63.8100|Down|14|20
