Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bearish Engulfing With Four White Predecessors,Industry,REIT - Mortgage,27,0.7037037037037037,253
Bearish Engulfing With Four White Predecessors,Industry,Travel Services,19,0.631578947368421,201
Bearish Engulfing With Four White Predecessors,Industry,Airlines,21,0.6190476190476191,67
Bearish Engulfing With Four White Predecessors,Industry,REIT - Hotel & Motel,13,0.6153846153846154,187
Bearish Engulfing With Four White Predecessors,Entity,PDS.US,10,0.6,91
Bearish Engulfing With Four White Predecessors,Entity,ILF.US,10,0.6,177
Bearish Engulfing With Four White Predecessors,Entity,AEE.US,10,0.6,656
Bearish Engulfing With Four White Predecessors,Industry,Beverages - Wineries & Distilleries,14,0.5714285714285714,328
Bearish Engulfing With Four White Predecessors,Industry,Oil & Gas Midstream,37,0.5675675675675675,251
Bearish Engulfing With Four White Predecessors,Industry,Packaged Foods,39,0.5384615384615384,149
Bearish Engulfing With Four White Predecessors,Industry,Recreational Vehicles,13,0.5384615384615384,171
Bearish Engulfing With Four White Predecessors,Industry,Biotechnology,135,0.5333333333333333,44
Bearish Engulfing With Four White Predecessors,Industry,Resorts & Casinos,15,0.5333333333333333,62
Bearish Engulfing With Four White Predecessors,Industry,Security & Protection Services,15,0.5333333333333333,216
Bearish Engulfing With Four White Predecessors,Industry,Beverages - Non-Alcoholic,17,0.5294117647058824,118
Bearish Engulfing With Four White Predecessors,Industry,Farm & Heavy Construction Machinery,37,0.5135135135135135,82
Bearish Engulfing With Four White Predecessors,Industry,Specialty Retail,43,0.5116279069767442,226
Bearish Engulfing With Four White Predecessors,Industry,REIT - Office,45,0.5111111111111111,345
Bearish Engulfing With Four White Predecessors,Entity,VLO.US,10,0.5,81
Bearish Engulfing With Four White Predecessors,Industry,Leisure,24,0.5,148
Bearish Engulfing With Four White Predecessors,Entity,TGI.US,10,0.5,154
Bearish Engulfing With Four White Predecessors,Entity,BPT.US,10,0.5,193
Bearish Engulfing With Four White Predecessors,Industry,Banks - Diversified,36,0.5,236
Bearish Engulfing With Four White Predecessors,Entity,GAM.US,10,0.5,254
Bearish Engulfing With Four White Predecessors,Entity,ALE.US,12,0.5,282
Bearish Engulfing With Four White Predecessors,Industry,Restaurants,37,0.4864864864864865,174
Bearish Engulfing With Four White Predecessors,Industry,Specialty Chemicals,60,0.48333333333333334,142
Bearish Engulfing With Four White Predecessors,Industry,Asset Management,108,0.48148148148148145,307
Bearish Engulfing With Four White Predecessors,Industry,Staffing & Employment Services,23,0.4782608695652174,166
Bearish Engulfing With Four White Predecessors,Industry,Credit Services,42,0.47619047619047616,298
Bearish Engulfing With Four White Predecessors,Industry,Entertainment,38,0.47368421052631576,142
