Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Four White Predecessors|Sector|Basic Materials|11|0.6363636363636364|31
Bearish Engulfing With Four White Predecessors|Industry|Biotechnology|13|0.5384615384615384|10
Bearish Engulfing With Four White Predecessors|Industry|Banks - Regional|35|0.4857142857142857|64
Bearish Engulfing With Four White Predecessors|Sector|Real Estate|29|0.4827586206896552|69
Bearish Engulfing With Four White Predecessors|Sector|Healthcare|39|0.46153846153846156|26
Bearish Engulfing With Four White Predecessors|Sector|Energy|22|0.45454545454545453|18
Bearish Engulfing With Four White Predecessors|Overall|All|1103|0.4460562103354488|59
Bearish Engulfing With Four White Predecessors|Sector|Consumer Defensive|23|0.43478260869565216|41
Bearish Engulfing With Four White Predecessors|Sector|Financial Services|66|0.42424242424242425|75
Bearish Engulfing With Four White Predecessors|Sector|Technology|38|0.42105263157894735|14
Bearish Engulfing With Four White Predecessors|Sector|Industrials|46|0.41304347826086957|27
Bearish Engulfing With Four White Predecessors|Industry|Utilities - Regulated Electric|10|0.4|45
Bearish Engulfing With Four White Predecessors|Sector|Consumer Cyclical|42|0.3333333333333333|30
Bearish Engulfing With Four White Predecessors|Sector|Utilities|20|0.3|58
