Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bearish Engulfing With Four White Predecessors,Industry,Biotechnology,10,0.6,12
Bearish Engulfing With Four White Predecessors,Industry,Specialty Chemicals,10,0.6,47
Bearish Engulfing With Four White Predecessors,Industry,Medical Devices,12,0.5833333333333334,49
Bearish Engulfing With Four White Predecessors,Sector,Consumer Cyclical,51,0.5098039215686274,30
Bearish Engulfing With Four White Predecessors,Sector,Communication Services,12,0.5,20
Bearish Engulfing With Four White Predecessors,Sector,Energy,27,0.48148148148148145,34
Bearish Engulfing With Four White Predecessors,Sector,Basic Materials,15,0.4666666666666667,41
Bearish Engulfing With Four White Predecessors,Sector,Consumer Defensive,26,0.46153846153846156,41
Bearish Engulfing With Four White Predecessors,Industry,REIT - Residential,11,0.45454545454545453,57
Bearish Engulfing With Four White Predecessors,Sector,Healthcare,60,0.45,42
Bearish Engulfing With Four White Predecessors,Industry,Software - Application,12,0.4166666666666667,32
Bearish Engulfing With Four White Predecessors,Overall,All,1820,0.4126373626373626,101
Bearish Engulfing With Four White Predecessors,Sector,Financial Services,129,0.4108527131782946,70
Bearish Engulfing With Four White Predecessors,Industry,Banks - Regional,79,0.4050632911392405,73
Bearish Engulfing With Four White Predecessors,Sector,Technology,50,0.4,34
Bearish Engulfing With Four White Predecessors,Industry,Real Estate Services,10,0.4,44
Bearish Engulfing With Four White Predecessors,Sector,Real Estate,50,0.4,58
Bearish Engulfing With Four White Predecessors,Sector,Industrials,75,0.38666666666666666,30
Bearish Engulfing With Four White Predecessors,Sector,Utilities,13,0.38461538461538464,47
Bearish Engulfing With Four White Predecessors,Industry,Asset Management,16,0.375,56
