Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Four White Predecessors|Industry|Airlines|15|0.6666666666666666|24
Bearish Engulfing With Four White Predecessors|Industry|Packaged Foods|29|0.6551724137931034|55
Bearish Engulfing With Four White Predecessors|Industry|REIT - Industrial|20|0.65|72
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Wineries & Distilleries|11|0.6363636363636364|48
Bearish Engulfing With Four White Predecessors|Industry|Farm & Heavy Construction Machinery|24|0.625|25
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Brewers|10|0.6|46
Bearish Engulfing With Four White Predecessors|Entity|FMX.US|10|0.6|46
Bearish Engulfing With Four White Predecessors|Industry|Packaging & Containers|12|0.5833333333333334|47
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Integrated|12|0.5833333333333334|52
Bearish Engulfing With Four White Predecessors|Industry|Banks - Diversified|26|0.5769230769230769|78
Bearish Engulfing With Four White Predecessors|Industry|Education & Training Services|14|0.5714285714285714|49
Bearish Engulfing With Four White Predecessors|Industry|Biotechnology|82|0.5609756097560976|11
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Midstream|25|0.56|41
Bearish Engulfing With Four White Predecessors|Industry|Furnishings, Fixtures & Appliances|11|0.5454545454545454|18
Bearish Engulfing With Four White Predecessors|Industry|Electrical Equipment & Parts|24|0.5416666666666666|34
Bearish Engulfing With Four White Predecessors|Industry|Entertainment|24|0.5416666666666666|65
Bearish Engulfing With Four White Predecessors|Industry|Insurance - Specialty|34|0.5294117647058824|63
Bearish Engulfing With Four White Predecessors|Industry|Medical Devices|53|0.5283018867924528|34
Bearish Engulfing With Four White Predecessors|Industry|REIT - Residential|36|0.5277777777777778|98
Bearish Engulfing With Four White Predecessors|Industry|Building Products & Equipment|19|0.5263157894736842|54
Bearish Engulfing With Four White Predecessors|Sector|Energy|136|0.5220588235294118|38
Bearish Engulfing With Four White Predecessors|Industry|Discount Stores|23|0.5217391304347826|59
Bearish Engulfing With Four White Predecessors|Industry|Telecom Services|27|0.5185185185185185|93
Bearish Engulfing With Four White Predecessors|Sector|Consumer Defensive|145|0.5172413793103449|52
Bearish Engulfing With Four White Predecessors|Industry|Resorts & Casinos|12|0.5|20
Bearish Engulfing With Four White Predecessors|Industry|Marine Shipping|12|0.5|20
Bearish Engulfing With Four White Predecessors|Industry|Travel Services|12|0.5|34
Bearish Engulfing With Four White Predecessors|Industry|Internet Retail|20|0.5|37
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Refining & Marketing|20|0.5|56
Bearish Engulfing With Four White Predecessors|Industry|REIT - Healthcare Facilities|12|0.5|63
Bearish Engulfing With Four White Predecessors|Industry|Credit Services|30|0.5|79
