Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Four White Predecessors|Industry|Travel Services|16|0.6875|218
Bearish Engulfing With Four White Predecessors|Industry|REIT - Mortgage|22|0.6818181818181818|300
Bearish Engulfing With Four White Predecessors|Industry|Airlines|17|0.6470588235294118|62
Bearish Engulfing With Four White Predecessors|Industry|Packaged Foods|28|0.6071428571428571|161
Bearish Engulfing With Four White Predecessors|Industry|Resorts & Casinos|12|0.5833333333333334|67
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Wineries & Distilleries|12|0.5833333333333334|326
Bearish Engulfing With Four White Predecessors|Industry|Credit Services|33|0.5757575757575758|310
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Non-Alcoholic|14|0.5714285714285714|99
Bearish Engulfing With Four White Predecessors|Industry|Electrical Equipment & Parts|24|0.5416666666666666|142
Bearish Engulfing With Four White Predecessors|Industry|Biotechnology|85|0.5411764705882353|48
Bearish Engulfing With Four White Predecessors|Industry|Entertainment|26|0.5384615384615384|135
Bearish Engulfing With Four White Predecessors|Industry|Asset Management|91|0.5274725274725275|288
Bearish Engulfing With Four White Predecessors|Industry|Personal Services|10|0.5|66
Bearish Engulfing With Four White Predecessors|Entity|VLO.US|10|0.5|81
Bearish Engulfing With Four White Predecessors|Industry|Building Products & Equipment|18|0.5|127
Bearish Engulfing With Four White Predecessors|Industry|Staffing & Employment Services|22|0.5|166
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Refining & Marketing|24|0.5|169
Bearish Engulfing With Four White Predecessors|Industry|Security & Protection Services|14|0.5|220
Bearish Engulfing With Four White Predecessors|Entity|NTRS.US|10|0.5|251
Bearish Engulfing With Four White Predecessors|Entity|GAM.US|10|0.5|254
Bearish Engulfing With Four White Predecessors|Industry|Farm & Heavy Construction Machinery|29|0.4827586206896552|96
Bearish Engulfing With Four White Predecessors|Industry|Specialty Retail|36|0.4722222222222222|219
Bearish Engulfing With Four White Predecessors|Industry|Leisure|17|0.47058823529411764|167
Bearish Engulfing With Four White Predecessors|Industry|Restaurants|32|0.46875|170
Bearish Engulfing With Four White Predecessors|Industry|Banks - Diversified|30|0.4666666666666667|264
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Midstream|28|0.4642857142857143|277
Bearish Engulfing With Four White Predecessors|Industry|REIT - Office|39|0.46153846153846156|330
Bearish Engulfing With Four White Predecessors|Industry|Waste Management|11|0.45454545454545453|102
Bearish Engulfing With Four White Predecessors|Industry|Recreational Vehicles|11|0.45454545454545453|210
Bearish Engulfing With Four White Predecessors|Entity|IWN.US|11|0.45454545454545453|246
Bearish Engulfing With Four White Predecessors|Entity|ALE.US|11|0.45454545454545453|331
Bearish Engulfing With Four White Predecessors|Industry|Conglomerates|11|0.45454545454545453|346
Bearish Engulfing With Four White Predecessors|Industry|REIT - Industrial|20|0.45|140
Bearish Engulfing With Four White Predecessors|Sector|Energy|152|0.4473684210526316|150
Bearish Engulfing With Four White Predecessors|Industry|REIT - Residential|38|0.4473684210526316|228
Bearish Engulfing With Four White Predecessors|Industry|Consulting Services|34|0.4411764705882353|201
Bearish Engulfing With Four White Predecessors|Industry|Farm Products|16|0.4375|264
Bearish Engulfing With Four White Predecessors|Sector|Communication Services|87|0.4367816091954023|171
Bearish Engulfing With Four White Predecessors|Industry|Auto Parts|30|0.43333333333333335|178
Bearish Engulfing With Four White Predecessors|Industry|Telecom Services|30|0.43333333333333335|211
Bearish Engulfing With Four White Predecessors|Sector|Consumer Defensive|157|0.43312101910828027|191
Bearish Engulfing With Four White Predecessors|Sector|Real Estate|237|0.43037974683544306|245
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas E&P|49|0.42857142857142855|105
Bearish Engulfing With Four White Predecessors|Industry|Healthcare Plans|24|0.4166666666666667|163
Bearish Engulfing With Four White Predecessors|Entity|FMX.US|12|0.4166666666666667|246
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Brewers|12|0.4166666666666667|246
Bearish Engulfing With Four White Predecessors|Industry|Apparel Retail|41|0.4146341463414634|119
Bearish Engulfing With Four White Predecessors|Industry|Specialty Chemicals|46|0.41304347826086957|161
Bearish Engulfing With Four White Predecessors|Sector|Consumer Cyclical|331|0.4108761329305136|143
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Integrated|15|0.4|197
Bearish Engulfing With Four White Predecessors|Industry|Communication Equipment|28|0.39285714285714285|96
Bearish Engulfing With Four White Predecessors|Industry|Utilities - Diversified|23|0.391304347826087|293
Bearish Engulfing With Four White Predecessors|Industry|Semiconductors|36|0.3888888888888889|102
Bearish Engulfing With Four White Predecessors|Industry|Medical Devices|54|0.3888888888888889|107
Bearish Engulfing With Four White Predecessors|Industry|Software - Infrastructure|57|0.38596491228070173|126
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Equipment & Services|26|0.38461538461538464|78
Bearish Engulfing With Four White Predecessors|Industry|Packaging & Containers|13|0.38461538461538464|129
Bearish Engulfing With Four White Predecessors|Overall|All|8675|0.37878962536023053|225
Bearish Engulfing With Four White Predecessors|Industry|Insurance - Specialty|37|0.3783783783783784|241
Bearish Engulfing With Four White Predecessors|Industry|Internet Content & Information|16|0.375|210
Bearish Engulfing With Four White Predecessors|Sector|Financial Services|577|0.37435008665511266|269
Bearish Engulfing With Four White Predecessors|Sector|Basic Materials|104|0.36538461538461536|156
Bearish Engulfing With Four White Predecessors|Industry|Consumer Electronics|11|0.36363636363636365|54
Bearish Engulfing With Four White Predecessors|Industry|Gold|22|0.36363636363636365|139
Bearish Engulfing With Four White Predecessors|Industry|REIT - Healthcare Facilities|11|0.36363636363636365|162
Bearish Engulfing With Four White Predecessors|Industry|Railroads|11|0.36363636363636365|226
Bearish Engulfing With Four White Predecessors|Entity|ACGL.US|11|0.36363636363636365|278
Bearish Engulfing With Four White Predecessors|Sector|Industrials|476|0.3592436974789916|147
Bearish Engulfing With Four White Predecessors|Sector|Healthcare|391|0.35805626598465473|97
Bearish Engulfing With Four White Predecessors|Industry|Banks - Regional|243|0.35802469135802467|275
Bearish Engulfing With Four White Predecessors|Industry|Semiconductor Equipment & Materials|14|0.35714285714285715|118
Bearish Engulfing With Four White Predecessors|Industry|Utilities - Regulated Electric|84|0.35714285714285715|406
Bearish Engulfing With Four White Predecessors|Industry|Utilities - Regulated Gas|14|0.35714285714285715|408
Bearish Engulfing With Four White Predecessors|Sector|Utilities|146|0.3561643835616438|340
Bearish Engulfing With Four White Predecessors|Industry|Auto & Truck Dealerships|17|0.35294117647058826|129
Bearish Engulfing With Four White Predecessors|Industry|Drug Manufacturers - Specialty & Generic|43|0.3488372093023256|96
Bearish Engulfing With Four White Predecessors|Industry|Real Estate Services|23|0.34782608695652173|101
Bearish Engulfing With Four White Predecessors|Industry|Industrial Distribution|23|0.34782608695652173|113
Bearish Engulfing With Four White Predecessors|Industry|Discount Stores|23|0.34782608695652173|122
Bearish Engulfing With Four White Predecessors|Industry|Solar|12|0.3333333333333333|75
Bearish Engulfing With Four White Predecessors|Industry|Rental & Leasing Services|21|0.3333333333333333|131
Bearish Engulfing With Four White Predecessors|Industry|Education & Training Services|15|0.3333333333333333|142
Bearish Engulfing With Four White Predecessors|Industry|REIT - Retail|30|0.3333333333333333|273
Bearish Engulfing With Four White Predecessors|Sector|Technology|359|0.33147632311977715|128
Bearish Engulfing With Four White Predecessors|Industry|Information Technology Services|61|0.32786885245901637|200
Bearish Engulfing With Four White Predecessors|Industry|Medical Care Facilities|43|0.32558139534883723|134
Bearish Engulfing With Four White Predecessors|Industry|Scientific & Technical Instruments|19|0.3157894736842105|173
Bearish Engulfing With Four White Predecessors|Industry|Utilities - Regulated Water|16|0.3125|102
Bearish Engulfing With Four White Predecessors|Industry|Insurance - Diversified|32|0.3125|266
Bearish Engulfing With Four White Predecessors|Industry|Metal Fabrication|13|0.3076923076923077|128
Bearish Engulfing With Four White Predecessors|Industry|Electronic Components|26|0.3076923076923077|129
Bearish Engulfing With Four White Predecessors|Industry|REIT - Specialty|33|0.30303030303030304|223
Bearish Engulfing With Four White Predecessors|Industry|Electronics & Computer Distribution|10|0.3|130
Bearish Engulfing With Four White Predecessors|Entity|ED.US|10|0.3|391
Bearish Engulfing With Four White Predecessors|Industry|Marine Shipping|14|0.2857142857142857|104
Bearish Engulfing With Four White Predecessors|Industry|Capital Markets|18|0.2777777777777778|139
Bearish Engulfing With Four White Predecessors|Industry|Engineering & Construction|29|0.27586206896551724|48
Bearish Engulfing With Four White Predecessors|Industry|Furnishings, Fixtures & Appliances|11|0.2727272727272727|89
Bearish Engulfing With Four White Predecessors|Entity|INTU.US|11|0.2727272727272727|141
Bearish Engulfing With Four White Predecessors|Industry|Diagnostics & Research|45|0.26666666666666666|85
Bearish Engulfing With Four White Predecessors|Industry|Drug Manufacturers - General|27|0.25925925925925924|81
Bearish Engulfing With Four White Predecessors|Industry|Aerospace & Defense|54|0.25925925925925924|108
Bearish Engulfing With Four White Predecessors|Industry|Medical Distribution|16|0.25|142
Bearish Engulfing With Four White Predecessors|Entity|ORLY.US|12|0.25|274
Bearish Engulfing With Four White Predecessors|Industry|Software - Application|81|0.24691358024691357|100
Bearish Engulfing With Four White Predecessors|Industry|Specialty Business Services|33|0.24242424242424243|204
Bearish Engulfing With Four White Predecessors|Industry|Insurance - Property & Casualty|33|0.24242424242424243|284
Bearish Engulfing With Four White Predecessors|Industry|Insurance - Life|14|0.21428571428571427|62
Bearish Engulfing With Four White Predecessors|Industry|Specialty Industrial Machinery|62|0.20967741935483872|170
Bearish Engulfing With Four White Predecessors|Industry|Residential Construction|15|0.2|14
Bearish Engulfing With Four White Predecessors|Industry|Apparel Manufacturing|10|0.2|30
Bearish Engulfing With Four White Predecessors|Industry|Internet Retail|20|0.2|73
Bearish Engulfing With Four White Predecessors|Entity|MMC.US|10|0.2|168
Bearish Engulfing With Four White Predecessors|Industry|Household & Personal Products|20|0.2|173
Bearish Engulfing With Four White Predecessors|Industry|Integrated Freight & Logistics|17|0.17647058823529413|439
Bearish Engulfing With Four White Predecessors|Industry|Insurance Brokers|18|0.16666666666666666|298
Bearish Engulfing With Four White Predecessors|Entity|LLY.US|13|0.15384615384615385|384
Bearish Engulfing With Four White Predecessors|Industry|Medical Instruments & Supplies|48|0.14583333333333334|123
Bearish Engulfing With Four White Predecessors|Entity|CTAS.US|10|0.1|43
