Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Engulfing With Four White Predecessors|AAON|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP||3/23/2016|Close|26.6900|11/11/2016|High|32.2000||||Up|167|233
Bearish Engulfing With Four White Predecessors|AAT|REAL ESTATE INVESTMENT TRUSTS||7/27/2016|Close|44.6900|||||||||
Bearish Engulfing With Four White Predecessors|ABBV|PHARMACEUTICAL PREPARATIONS||6/24/2015|Close|69.2200||||8/24/2015|Low|53.8700|Down|43|61
Bearish Engulfing With Four White Predecessors|ABCB|STATE COMMERCIAL BANKS||10/30/2015|Close|31.5000|11/9/2016|High|39.2500|2/11/2016|Low|24.9600|Down|74|104
Bearish Engulfing With Four White Predecessors|ACHC|SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC||6/23/2015|Close|77.0800||||8/24/2015|Low|58.7000|Down|44|62
Bearish Engulfing With Four White Predecessors|ADBE|SERVICES-PREPACKAGED SOFTWARE||6/26/2015|Close|82.7400|5/24/2016|High|99.7000||||Up|237|333
Bearish Engulfing With Four White Predecessors|ADC|REAL ESTATE INVESTMENT TRUSTS||4/20/2016|Close|39.1400|6/28/2016|High|47.0500||||Up|49|69
Bearish Engulfing With Four White Predecessors|AEE|ELECTRIC & OTHER SERVICES COMBINED||10/1/2015|Close|41.7800|3/31/2016|High|50.1600||||Up|130|182
Bearish Engulfing With Four White Predecessors|AEIS|ELECTRONIC COMPONENTS, NEC||11/30/2016|Close|55.2100|||||||||
Bearish Engulfing With Four White Predecessors|AEP|ELECTRIC SERVICES||7/9/2015|Close|55.5200|4/1/2016|High|67.1400||||Up|191|267
Bearish Engulfing With Four White Predecessors|AHLpC|FIRE, MARINE & CASUALTY INSURANCE||4/25/2016|Close|26.5500|||||||||
Bearish Engulfing With Four White Predecessors|AIA|||8/10/2016|Close|48.0500|||||||||
Bearish Engulfing With Four White Predecessors|AIB|BLANK CHECKS||3/23/2016|Close|25.2700|||||||||
Bearish Engulfing With Four White Predecessors|AIZ|INSURANCE CARRIERS, NEC||9/1/2016|Close|89.2600|||||||||
Bearish Engulfing With Four White Predecessors|ALE|ELECTRIC & OTHER SERVICES COMBINED||1/28/2015|Close|58.3400||||6/25/2015|Low|46.2700|Down|106|148
Bearish Engulfing With Four White Predecessors|ALE|ELECTRIC & OTHER SERVICES COMBINED||3/11/2016|Close|55.8300|||||||||
Bearish Engulfing With Four White Predecessors|ALGN|ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES||6/17/2015|Close|62.2900|4/26/2016|High|75.1700||||Up|224|314
Bearish Engulfing With Four White Predecessors|ALGN|ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES||7/17/2015|Close|64.9300|5/20/2016|High|78.2500||||Up|220|308
Bearish Engulfing With Four White Predecessors|ALGT|AIR TRANSPORTATION, SCHEDULED||8/18/2015|Close|228.8400||||11/13/2015|Low|181.5000|Down|63|87
Bearish Engulfing With Four White Predecessors|ALLE|SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES||11/14/2016|Close|68.5900|||||||||
Bearish Engulfing With Four White Predecessors|AMBA|SEMICONDUCTORS & RELATED DEVICES||5/21/2015|Close|83.2900|6/4/2015|High|100.8380|9/11/2015|Low|63.5500|Up|10|14
Bearish Engulfing With Four White Predecessors|AMED|SERVICES-HOME HEALTH CARE SERVICES||4/21/2016|Close|50.5800||||10/27/2016|Low|40.0610|Down|135|189
Bearish Engulfing With Four White Predecessors|AMZN|RETAIL-CATALOG & MAIL-ORDER HOUSES||10/4/2016|Close|834.0300|||||||||
Bearish Engulfing With Four White Predecessors|APOG|GLASS PRODUCTS, MADE OF PURCHASED GLASS||8/24/2016|Close|48.3100|||||||||
Bearish Engulfing With Four White Predecessors|ARE|REAL ESTATE INVESTMENT TRUSTS||6/6/2016|Close|96.5100|||||||||
Bearish Engulfing With Four White Predecessors|ARE|REAL ESTATE INVESTMENT TRUSTS||11/29/2016|Close|111.7200|||||||||
Bearish Engulfing With Four White Predecessors|ARMK|RETAIL-EATING PLACES||4/27/2015|Close|31.5300|8/15/2016|High|37.9300||||Up|340|476
Bearish Engulfing With Four White Predecessors|ARMK|RETAIL-EATING PLACES||3/18/2016|Close|32.1400|||||||||
Bearish Engulfing With Four White Predecessors|ASPS|SERVICES-MISCELLANEOUS BUSINESS SERVICES||6/8/2016|Close|29.3700||||7/5/2016|Low|22.8167|Down|19|27
Bearish Engulfing With Four White Predecessors|ATMP|||6/8/2016|Close|22.0000|||||||||
Bearish Engulfing With Four White Predecessors|ATO|NATURAL GAS DISTRIBUTION||9/29/2015|Close|57.1000|1/29/2016|High|69.2200||||Up|88|122
Bearish Engulfing With Four White Predecessors|ATRA|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||8/2/2016|Close|24.1000||||8/25/2016|Low|19.2300|Down|17|23
Bearish Engulfing With Four White Predecessors|ATRC|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS||11/30/2015|Close|21.4800||||1/28/2016|Low|16.4500|Down|43|59
Bearish Engulfing With Four White Predecessors|AVGO|SEMICONDUCTORS & RELATED DEVICES||8/24/2016|Close|175.3000|||||||||
Bearish Engulfing With Four White Predecessors|AWR|WATER SUPPLY||7/9/2015|Close|38.1600|2/1/2016|High|46.7350||||Up|147|207
Bearish Engulfing With Four White Predecessors|AXDX|LABORATORY ANALYTICAL INSTRUMENTS||9/20/2016|Close|25.9700||||11/1/2016|Low|20.2000|Down|30|42
Bearish Engulfing With Four White Predecessors|AZZ|COATING, ENGRAVING & ALLIED SERVICES||5/20/2015|Close|48.9600|11/4/2015|High|58.9400||||Up|120|168
Bearish Engulfing With Four White Predecessors|B|MISCELLANEOUS FABRICATED METAL PRODUCTS||4/19/2016|Close|37.0400|11/17/2016|High|44.5400||||Up|152|212
Bearish Engulfing With Four White Predecessors|BACpL|NATIONAL COMMERCIAL BANKS||4/18/2016|Close|1159.0000|||||||||
Bearish Engulfing With Four White Predecessors|BANR|STATE COMMERCIAL BANKS||11/29/2016|Close|51.7700|||||||||
Bearish Engulfing With Four White Predecessors|BBY|RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES||8/2/2016|Close|32.8600|8/24/2016|High|40.5800||||Up|16|22
Bearish Engulfing With Four White Predecessors|BC|ENGINES & TURBINES||7/13/2016|Close|48.6300|||||||||
Bearish Engulfing With Four White Predecessors|BCE|||3/31/2016|Close|45.5400|||||||||
Bearish Engulfing With Four White Predecessors|BCPC|CHEMICALS & ALLIED PRODUCTS||12/1/2015|Close|67.7700|12/5/2016|High|82.2600|1/19/2016|Low|53.1514|Down|35|49
Bearish Engulfing With Four White Predecessors|BDX|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS||7/12/2016|Close|175.7000|||||||||
Bearish Engulfing With Four White Predecessors|BFOR|||11/28/2016|Close|34.5200|||||||||
Bearish Engulfing With Four White Predecessors|BFS|REAL ESTATE INVESTMENT TRUSTS||4/29/2016|Close|53.1800|7/8/2016|High|63.9000||||Up|50|70
Bearish Engulfing With Four White Predecessors|BIG|RETAIL-VARIETY STORES||6/6/2016|Close|52.0200|||||||||
Bearish Engulfing With Four White Predecessors|BIP|||4/29/2016|Close|28.1200|8/11/2016|High|33.7533||||Up|74|104
Bearish Engulfing With Four White Predecessors|BKH|ELECTRIC SERVICES||3/11/2016|Close|58.3100|||||||||
Bearish Engulfing With Four White Predecessors|BKN|||5/18/2016|Close|17.0500|||||||||
Bearish Engulfing With Four White Predecessors|BLUE|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||5/13/2015|Close|160.3400|5/28/2015|High|194.5700|8/12/2015|Low|124.7300|Up|11|15
Bearish Engulfing With Four White Predecessors|BMA|||11/18/2015|Close|64.2800|7/13/2016|High|77.9000||||Up|170|238
Bearish Engulfing With Four White Predecessors|BMLpL|NATIONAL COMMERCIAL BANKS||4/22/2016|Close|21.4200|||||||||
Bearish Engulfing With Four White Predecessors|BPOP|STATE COMMERCIAL BANKS||9/6/2016|Close|38.8700|||||||||
Bearish Engulfing With Four White Predecessors|BYD|HOTELS & MOTELS||6/3/2015|Close|14.7200|8/5/2015|High|17.6700||||Up|45|63
Bearish Engulfing With Four White Predecessors|CACI|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN||3/25/2015|Close|87.2200|3/29/2016|High|106.4500||||Up|264|370
Bearish Engulfing With Four White Predecessors|CACI|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN||12/3/2015|Close|100.4700|11/11/2016|High|122.0000|2/2/2016|Low|79.8900|Down|43|61
Bearish Engulfing With Four White Predecessors|CAF|||6/12/2015|Close|37.7800||||7/7/2015|Low|29.1600|Down|17|25
Bearish Engulfing With Four White Predecessors|CAH|WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES||7/15/2016|Close|82.3600||||10/28/2016|Low|63.2600|Down|75|105
Bearish Engulfing With Four White Predecessors|CASS|SERVICES-BUSINESS SERVICES, NEC||12/1/2015|Close|52.9500|11/14/2016|High|65.4800||||Up|249|349
Bearish Engulfing With Four White Predecessors|CASY|RETAIL-AUTO DEALERS & GASOLINE STATIONS||4/7/2015|Close|89.2500|8/17/2015|High|108.1400||||Up|94|132
Bearish Engulfing With Four White Predecessors|CAT|CONSTRUCTION MACHINERY & EQUIP||10/4/2016|Close|87.5100|||||||||
Bearish Engulfing With Four White Predecessors|CATO|RETAIL-WOMEN'S CLOTHING STORES||4/27/2015|Close|41.3600||||8/21/2015|Low|32.3100|Down|84|116
Bearish Engulfing With Four White Predecessors|CBL|REAL ESTATE INVESTMENT TRUSTS||9/1/2016|Close|13.6000||||10/28/2016|Low|10.8000|Down|41|57
Bearish Engulfing With Four White Predecessors|CBOE|SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES||5/15/2015|Close|58.6900|11/11/2015|High|71.3400||||Up|128|180
Bearish Engulfing With Four White Predecessors|CE|PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)||10/9/2015|Close|65.0100|11/14/2016|High|78.6900||||Up|286|402
Bearish Engulfing With Four White Predecessors|CEMB|||4/21/2016|Close|50.2500|||||||||
Bearish Engulfing With Four White Predecessors|CF|AGRICULTURAL CHEMICALS||5/29/2015|Close|63.1760||||9/22/2015|Low|49.9000|Down|82|116
Bearish Engulfing With Four White Predecessors|CFG|STATE COMMERCIAL BANKS||10/7/2016|Close|25.5000|11/14/2016|High|31.0100||||Up|26|38
Bearish Engulfing With Four White Predecessors|CHE|SERVICES-HOME HEALTH CARE SERVICES||7/14/2016|Close|140.2800|||||||||
Bearish Engulfing With Four White Predecessors|CLMT|PETROLEUM REFINING||10/9/2015|Close|26.4400||||12/14/2015|Low|21.0600|Down|46|66
Bearish Engulfing With Four White Predecessors|CMCSA|CABLE & OTHER PAY TELEVISION SERVICES||3/18/2016|Close|59.7600|||||||||
Bearish Engulfing With Four White Predecessors|CME|SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES||9/17/2015|Close|92.3200|11/9/2016|High|112.9200||||Up|299|419
Bearish Engulfing With Four White Predecessors|CMREpC|||10/3/2016|Close|21.4600|||||||||
Bearish Engulfing With Four White Predecessors|CNC|HOSPITAL & MEDICAL SERVICE PLANS||4/27/2015|Close|70.7900||||9/28/2015|Low|50.9300|Down|110|154
Bearish Engulfing With Four White Predecessors|CNP|ELECTRIC SERVICES||11/30/2016|Close|23.8600|||||||||
Bearish Engulfing With Four White Predecessors|CNX|CRUDE PETROLEUM & NATURAL GAS||4/14/2016|Close|12.9200|4/27/2016|High|16.1000||||Up|9|13
Bearish Engulfing With Four White Predecessors|COF|NATIONAL COMMERCIAL BANKS||5/15/2015|Close|84.0300||||1/7/2016|Low|64.8500|Down|169|237
