Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Four White Predecessors|Industry|Travel Services|16|0.6875|218
Bearish Engulfing With Four White Predecessors|Industry|Resorts & Casinos|12|0.6666666666666666|62
Bearish Engulfing With Four White Predecessors|Industry|REIT - Mortgage|21|0.6666666666666666|314
Bearish Engulfing With Four White Predecessors|Industry|Airlines|16|0.625|67
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Wineries & Distilleries|13|0.6153846153846154|328
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Non-Alcoholic|15|0.6|118
Bearish Engulfing With Four White Predecessors|Industry|Packaged Foods|27|0.5925925925925926|170
Bearish Engulfing With Four White Predecessors|Industry|Credit Services|34|0.5588235294117647|310
Bearish Engulfing With Four White Predecessors|Industry|Biotechnology|85|0.5411764705882353|48
Bearish Engulfing With Four White Predecessors|Industry|Electrical Equipment & Parts|25|0.52|142
Bearish Engulfing With Four White Predecessors|Industry|Entertainment|27|0.5185185185185185|135
Bearish Engulfing With Four White Predecessors|Industry|Asset Management|90|0.5111111111111111|297
Bearish Engulfing With Four White Predecessors|Industry|Personal Services|10|0.5|66
Bearish Engulfing With Four White Predecessors|Entity|VLO.US|10|0.5|81
Bearish Engulfing With Four White Predecessors|Industry|Farm & Heavy Construction Machinery|30|0.5|93
Bearish Engulfing With Four White Predecessors|Industry|Building Products & Equipment|18|0.5|127
Bearish Engulfing With Four White Predecessors|Industry|Staffing & Employment Services|22|0.5|166
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Refining & Marketing|24|0.5|169
Bearish Engulfing With Four White Predecessors|Industry|Leisure|18|0.5|178
Bearish Engulfing With Four White Predecessors|Entity|BPT.US|10|0.5|193
Bearish Engulfing With Four White Predecessors|Industry|Security & Protection Services|14|0.5|220
Bearish Engulfing With Four White Predecessors|Industry|Specialty Retail|38|0.5|224
Bearish Engulfing With Four White Predecessors|Entity|NTRS.US|10|0.5|251
Bearish Engulfing With Four White Predecessors|Entity|GAM.US|10|0.5|254
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Midstream|30|0.5|272
Bearish Engulfing With Four White Predecessors|Industry|Banks - Diversified|31|0.4838709677419355|251
Bearish Engulfing With Four White Predecessors|Industry|REIT - Office|38|0.47368421052631576|330
Bearish Engulfing With Four White Predecessors|Industry|Restaurants|32|0.46875|170
Bearish Engulfing With Four White Predecessors|Industry|Auto Parts|30|0.4666666666666667|181
Bearish Engulfing With Four White Predecessors|Sector|Communication Services|85|0.4588235294117647|168
Bearish Engulfing With Four White Predecessors|Industry|Waste Management|11|0.45454545454545453|102
Bearish Engulfing With Four White Predecessors|Industry|Recreational Vehicles|11|0.45454545454545453|210
Bearish Engulfing With Four White Predecessors|Entity|IWN.US|11|0.45454545454545453|246
Bearish Engulfing With Four White Predecessors|Entity|ALE.US|11|0.45454545454545453|331
Bearish Engulfing With Four White Predecessors|Industry|Conglomerates|11|0.45454545454545453|346
Bearish Engulfing With Four White Predecessors|Sector|Energy|162|0.4506172839506173|153
Bearish Engulfing With Four White Predecessors|Industry|REIT - Residential|40|0.45|230
Bearish Engulfing With Four White Predecessors|Industry|Telecom Services|29|0.4482758620689655|211
Bearish Engulfing With Four White Predecessors|Sector|Consumer Defensive|157|0.445859872611465|194
Bearish Engulfing With Four White Predecessors|Industry|Internet Content & Information|16|0.4375|184
Bearish Engulfing With Four White Predecessors|Industry|Farm Products|16|0.4375|264
Bearish Engulfing With Four White Predecessors|Industry|Education & Training Services|14|0.42857142857142855|124
Bearish Engulfing With Four White Predecessors|Industry|Packaging & Containers|14|0.42857142857142855|137
Bearish Engulfing With Four White Predecessors|Industry|Specialty Chemicals|49|0.42857142857142855|154
Bearish Engulfing With Four White Predecessors|Sector|Real Estate|243|0.42386831275720166|242
Bearish Engulfing With Four White Predecessors|Sector|Consumer Cyclical|341|0.4222873900293255|144
Bearish Engulfing With Four White Predecessors|Industry|Software - Infrastructure|60|0.4166666666666667|116
Bearish Engulfing With Four White Predecessors|Industry|REIT - Industrial|24|0.4166666666666667|140
Bearish Engulfing With Four White Predecessors|Industry|Healthcare Plans|24|0.4166666666666667|163
Bearish Engulfing With Four White Predecessors|Entity|FMX.US|12|0.4166666666666667|246
Bearish Engulfing With Four White Predecessors|Industry|Beverages - Brewers|12|0.4166666666666667|246
Bearish Engulfing With Four White Predecessors|Industry|Utilities - Diversified|24|0.4166666666666667|266
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas E&P|53|0.41509433962264153|113
Bearish Engulfing With Four White Predecessors|Industry|Communication Equipment|29|0.41379310344827586|90
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Integrated|17|0.4117647058823529|188
Bearish Engulfing With Four White Predecessors|Industry|Consulting Services|34|0.4117647058823529|208
Bearish Engulfing With Four White Predecessors|Industry|Apparel Retail|42|0.40476190476190477|119
Bearish Engulfing With Four White Predecessors|Industry|Semiconductors|35|0.4|92
Bearish Engulfing With Four White Predecessors|Entity|SRE.US|10|0.4|192
Bearish Engulfing With Four White Predecessors|Industry|Oil & Gas Equipment & Services|28|0.39285714285714285|75
Bearish Engulfing With Four White Predecessors|Industry|Medical Devices|55|0.38181818181818183|109
Bearish Engulfing With Four White Predecessors|Overall|All|8899|0.38150353972356443|223
Bearish Engulfing With Four White Predecessors|Industry|Auto & Truck Dealerships|16|0.375|129
Bearish Engulfing With Four White Predecessors|Sector|Financial Services|595|0.3697478991596639|270
