Id|Signal Name|Result Direction|Count|Percentage|Description
09dc7674|Bearish Engulfing With Four White Predecessors|Down|1050|0.4266558309630232|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
09dc7674|Bearish Engulfing With Four White Predecessors|Up|1387|0.563592035757822|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
09dc7674|Bearish Engulfing With Four White Predecessors||24|0.009752133279154815|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
0d68cabc|Bearish Engulfing With Four White Predecessors|Down|299|0.4377745241581259|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
0d68cabc|Bearish Engulfing With Four White Predecessors|Up|378|0.5534407027818448|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
0d68cabc|Bearish Engulfing With Four White Predecessors||6|0.008784773060029283|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
0ec9ded3|Bearish Engulfing With Four White Predecessors|Down|2867|0.4240496967904156|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
0ec9ded3|Bearish Engulfing With Four White Predecessors|Up|3748|0.5543558645170833|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
0ec9ded3|Bearish Engulfing With Four White Predecessors||146|0.02159443869250111|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
20e38414|Bearish Engulfing With Four White Predecessors|Down|3368|0.4299757436486659|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
20e38414|Bearish Engulfing With Four White Predecessors|Up|4306|0.5497255202349036|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
20e38414|Bearish Engulfing With Four White Predecessors||159|0.020298736116430488|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
37e0df37|Bearish Engulfing With Four White Predecessors|Down|1662|0.4290139390810532|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
37e0df37|Bearish Engulfing With Four White Predecessors|Up|2126|0.5487867836861126|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
37e0df37|Bearish Engulfing With Four White Predecessors||86|0.02219927723283428|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
448f45c7|Bearish Engulfing With Four White Predecessors|Down|773|0.43426966292134833|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
448f45c7|Bearish Engulfing With Four White Predecessors|Up|993|0.5578651685393259|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
448f45c7|Bearish Engulfing With Four White Predecessors||14|0.007865168539325843|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
53aa075b|Bearish Engulfing With Four White Predecessors|Down|152|0.48253968253968255|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
53aa075b|Bearish Engulfing With Four White Predecessors|Up|159|0.5047619047619047|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
53aa075b|Bearish Engulfing With Four White Predecessors||4|0.012698412698412698|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
591eea2b|Bearish Engulfing With Four White Predecessors|Down|213|0.47651006711409394|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
591eea2b|Bearish Engulfing With Four White Predecessors|Up|229|0.5123042505592841|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
591eea2b|Bearish Engulfing With Four White Predecessors||5|0.011185682326621925|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
62f3e62f|Bearish Engulfing With Four White Predecessors|Down|168|0.46537396121883656|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
62f3e62f|Bearish Engulfing With Four White Predecessors|Up|190|0.5263157894736842|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
62f3e62f|Bearish Engulfing With Four White Predecessors||3|0.008310249307479225|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
643213a0|Bearish Engulfing With Four White Predecessors|Down|1146|0.41612200435729846|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
643213a0|Bearish Engulfing With Four White Predecessors|Up|1537|0.5580973129992738|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
643213a0|Bearish Engulfing With Four White Predecessors||71|0.02578068264342774|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
6917c82f|Bearish Engulfing With Four White Predecessors|Down|1400|0.4224502112251056|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
6917c82f|Bearish Engulfing With Four White Predecessors|Up|1836|0.5540132770066385|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
6917c82f|Bearish Engulfing With Four White Predecessors||78|0.023536511768255886|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
706f4ef8|Bearish Engulfing With Four White Predecessors|Down|712|0.4397776405188388|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
706f4ef8|Bearish Engulfing With Four White Predecessors|Up|861|0.531809759110562|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
706f4ef8|Bearish Engulfing With Four White Predecessors||46|0.028412600370599134|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
70ed9f6f|Bearish Engulfing With Four White Predecessors|Down|4081|0.42980516061084784|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
70ed9f6f|Bearish Engulfing With Four White Predecessors|Up|5232|0.5510268562401264|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
70ed9f6f|Bearish Engulfing With Four White Predecessors||182|0.0191679831490258|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
75763aa1|Bearish Engulfing With Four White Predecessors|Down|583|0.4289919058130979|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
75763aa1|Bearish Engulfing With Four White Predecessors|Up|733|0.5393671817512877|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
75763aa1|Bearish Engulfing With Four White Predecessors||43|0.03164091243561442|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
7d28aaa9|Bearish Engulfing With Four White Predecessors|Down|248|0.4389380530973451|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
7d28aaa9|Bearish Engulfing With Four White Predecessors|Up|312|0.552212389380531|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
7d28aaa9|Bearish Engulfing With Four White Predecessors||5|0.008849557522123894|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
7da87a20|Bearish Engulfing With Four White Predecessors|Down|1360|0.42420461634435436|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
7da87a20|Bearish Engulfing With Four White Predecessors|Up|1769|0.5517779164067373|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
7da87a20|Bearish Engulfing With Four White Predecessors||77|0.024017467248908297|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
859faac4|Bearish Engulfing With Four White Predecessors|Down|3392|0.4304568527918782|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
859faac4|Bearish Engulfing With Four White Predecessors|Up|4329|0.5493654822335026|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
859faac4|Bearish Engulfing With Four White Predecessors||159|0.02017766497461929|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
