Id|Signal Name|Result Direction|Count|Percentage|Description
00f6cb0c|Bearish Engulfing With Tall Candles|Down|647|0.23570127504553734|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
00f6cb0c|Bearish Engulfing With Tall Candles|Up|783|0.28524590163934427|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
00f6cb0c|Bearish Engulfing With Tall Candles||1315|0.4790528233151184|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
02e1a32d|Bearish Engulfing With Tall Candles|Down|890|0.4554759467758444|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
02e1a32d|Bearish Engulfing With Tall Candles|Up|749|0.38331627430910953|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
02e1a32d|Bearish Engulfing With Tall Candles||315|0.16120777891504606|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
043742cd|Bearish Engulfing With Tall Candles|Down|1691|0.3176780011271839|move: 0.2;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
043742cd|Bearish Engulfing With Tall Candles|Up|1856|0.3486755588953598|move: 0.2;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
043742cd|Bearish Engulfing With Tall Candles||1776|0.3336464399774563|move: 0.2;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
04859015|Bearish Engulfing With Tall Candles|Down|890|0.4554759467758444|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
04859015|Bearish Engulfing With Tall Candles|Up|749|0.38331627430910953|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
04859015|Bearish Engulfing With Tall Candles||315|0.16120777891504606|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
06490589|Bearish Engulfing With Tall Candles|Down|2156|0.45123482628714945|move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1;use market: False
06490589|Bearish Engulfing With Tall Candles|Up|1988|0.4160736709920469|move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1;use market: False
06490589|Bearish Engulfing With Tall Candles||634|0.13269150272080368|move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1;use market: False
09c3d5d1|Bearish Engulfing With Tall Candles|Down|647|0.23570127504553734|move: 0.2;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
09c3d5d1|Bearish Engulfing With Tall Candles|Up|783|0.28524590163934427|move: 0.2;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
09c3d5d1|Bearish Engulfing With Tall Candles||1315|0.4790528233151184|move: 0.2;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
0c01ebc3|Bearish Engulfing With Tall Candles|Down|1176|0.4284153005464481|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
0c01ebc3|Bearish Engulfing With Tall Candles|Up|1018|0.370856102003643|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
0c01ebc3|Bearish Engulfing With Tall Candles||551|0.20072859744990892|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
0c29d659|Bearish Engulfing With Tall Candles|Down|908|0.454|move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1.5;use market: True
0c29d659|Bearish Engulfing With Tall Candles|Up|770|0.385|move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1.5;use market: True
0c29d659|Bearish Engulfing With Tall Candles||322|0.161|move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1.5;use market: True
0c8c47aa|Bearish Engulfing With Tall Candles|Down|908|0.454|move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1.5;use market: False
0c8c47aa|Bearish Engulfing With Tall Candles|Up|770|0.385|move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1.5;use market: False
0c8c47aa|Bearish Engulfing With Tall Candles||322|0.161|move: 0.1;prologue len: 30;trend desc: E50C;vol factor: 1.5;use market: False
0d745134|Bearish Engulfing With Tall Candles|Down|263|0.4109375|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
0d745134|Bearish Engulfing With Tall Candles|Up|206|0.321875|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
0d745134|Bearish Engulfing With Tall Candles||171|0.2671875|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
0de3db02|Bearish Engulfing With Tall Candles|Down|1677|0.3171931151881975|move: 0.2;prologue len: 30;trend desc: E21C;vol factor: 1;use market: True
0de3db02|Bearish Engulfing With Tall Candles|Up|1843|0.34859088329865706|move: 0.2;prologue len: 30;trend desc: E21C;vol factor: 1;use market: True
0de3db02|Bearish Engulfing With Tall Candles||1767|0.33421600151314546|move: 0.2;prologue len: 30;trend desc: E21C;vol factor: 1;use market: True
0f7f9bb4|Bearish Engulfing With Tall Candles|Down|1677|0.3171931151881975|move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 1;use market: False
0f7f9bb4|Bearish Engulfing With Tall Candles|Up|1843|0.34859088329865706|move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 1;use market: False
0f7f9bb4|Bearish Engulfing With Tall Candles||1767|0.33421600151314546|move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 1;use market: False
11874446|Bearish Engulfing With Tall Candles|Down|133|0.2078125|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
11874446|Bearish Engulfing With Tall Candles|Up|165|0.2578125|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
11874446|Bearish Engulfing With Tall Candles||342|0.534375|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
148c7c72|Bearish Engulfing With Tall Candles|Down|345|0.2926208651399491|move: 0.2;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
148c7c72|Bearish Engulfing With Tall Candles|Up|355|0.3011026293469042|move: 0.2;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
148c7c72|Bearish Engulfing With Tall Candles||479|0.40627650551314676|move: 0.2;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
1793efef|Bearish Engulfing With Tall Candles|Down|271|0.21996753246753248|move: 0.2;prologue len: 30;trend desc: E200C;vol factor: 1.5;use market: True
1793efef|Bearish Engulfing With Tall Candles|Up|343|0.2784090909090909|move: 0.2;prologue len: 30;trend desc: E200C;vol factor: 1.5;use market: True
1793efef|Bearish Engulfing With Tall Candles||618|0.5016233766233766|move: 0.2;prologue len: 30;trend desc: E200C;vol factor: 1.5;use market: True
17ceda18|Bearish Engulfing With Tall Candles|Down|263|0.4109375|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
17ceda18|Bearish Engulfing With Tall Candles|Up|206|0.321875|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
17ceda18|Bearish Engulfing With Tall Candles||171|0.2671875|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
1f51018c|Bearish Engulfing With Tall Candles|Down|476|0.45857418111753373|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
1f51018c|Bearish Engulfing With Tall Candles|Up|364|0.35067437379576105|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
