Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|TRUCKING (NO LOCAL)|12|0.6666666666666666|46
Bearish Engulfing With Tall Candles|Industry|SEMICONDUCTORS & RELATED DEVICES|13|0.5384615384615384|13
Bearish Engulfing With Tall Candles|Industry|SERVICES-PREPACKAGED SOFTWARE|23|0.5217391304347826|45
Bearish Engulfing With Tall Candles|Industry|PHARMACEUTICAL PREPARATIONS|44|0.4772727272727273|26
Bearish Engulfing With Tall Candles|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|19|0.47368421052631576|43
Bearish Engulfing With Tall Candles|Industry|INVESTMENT ADVICE|17|0.47058823529411764|60
Bearish Engulfing With Tall Candles|Overall|All|1953|0.45570916538658474|82
Bearish Engulfing With Tall Candles|Industry|RETAIL-EATING PLACES|18|0.4444444444444444|41
Bearish Engulfing With Tall Candles|Industry|REAL ESTATE INVESTMENT TRUSTS|86|0.43023255813953487|105
Bearish Engulfing With Tall Candles|Industry|SERVICES-MANAGEMENT CONSULTING SERVICES|11|0.36363636363636365|40
Bearish Engulfing With Tall Candles|Industry|ELECTRIC & OTHER SERVICES COMBINED|11|0.36363636363636365|146
Bearish Engulfing With Tall Candles|Industry|NATIONAL COMMERCIAL BANKS|41|0.3170731707317073|44
Bearish Engulfing With Tall Candles|Industry|STATE COMMERCIAL BANKS|68|0.29411764705882354|55
Bearish Engulfing With Tall Candles|Industry|FIRE, MARINE & CASUALTY INSURANCE|26|0.2692307692307692|132
Bearish Engulfing With Tall Candles|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|33|0.24242424242424243|62
Bearish Engulfing With Tall Candles|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|14|0.21428571428571427|55
Bearish Engulfing With Tall Candles|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|10|0.2|20
Bearish Engulfing With Tall Candles|Industry|ELECTRIC SERVICES|13|0.15384615384615385|364
