Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bearish Engulfing With Tall Candles,Industry,Entertainment,13,0.6153846153846154,162
Bearish Engulfing With Tall Candles,Industry,Asset Management,38,0.6052631578947368,316
Bearish Engulfing With Tall Candles,Industry,Medical Distribution,10,0.6,233
Bearish Engulfing With Tall Candles,Industry,Communication Equipment,12,0.5833333333333334,89
Bearish Engulfing With Tall Candles,Industry,Utilities - Diversified,12,0.5833333333333334,366
Bearish Engulfing With Tall Candles,Industry,Farm & Heavy Construction Machinery,21,0.5714285714285714,131
Bearish Engulfing With Tall Candles,Industry,Insurance - Property & Casualty,18,0.5555555555555556,204
Bearish Engulfing With Tall Candles,Industry,Apparel Retail,29,0.5517241379310345,200
Bearish Engulfing With Tall Candles,Industry,Biotechnology,43,0.5348837209302325,42
Bearish Engulfing With Tall Candles,Industry,Oil & Gas E&P,27,0.5185185185185185,127
Bearish Engulfing With Tall Candles,Industry,Resorts & Casinos,10,0.5,68
Bearish Engulfing With Tall Candles,Industry,Electronic Components,14,0.5,77
Bearish Engulfing With Tall Candles,Industry,Semiconductors,20,0.5,146
Bearish Engulfing With Tall Candles,Industry,REIT - Office,18,0.5,331
Bearish Engulfing With Tall Candles,Entity,ALE.US,10,0.5,422
Bearish Engulfing With Tall Candles,Industry,REIT - Retail,21,0.47619047619047616,337
Bearish Engulfing With Tall Candles,Industry,Consulting Services,17,0.47058823529411764,186
Bearish Engulfing With Tall Candles,Industry,Beverages - Non-Alcoholic,11,0.45454545454545453,189
Bearish Engulfing With Tall Candles,Industry,Security & Protection Services,11,0.45454545454545453,210
Bearish Engulfing With Tall Candles,Industry,Scientific & Technical Instruments,25,0.44,109
Bearish Engulfing With Tall Candles,Industry,Restaurants,21,0.42857142857142855,281
Bearish Engulfing With Tall Candles,Industry,Specialty Industrial Machinery,57,0.42105263157894735,178
Bearish Engulfing With Tall Candles,Industry,Specialty Chemicals,41,0.4146341463414634,257
Bearish Engulfing With Tall Candles,Industry,Software - Infrastructure,29,0.41379310344827586,141
Bearish Engulfing With Tall Candles,Sector,Basic Materials,82,0.4024390243902439,196
