Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|TRUCKING (NO LOCAL)|12|0.6666666666666666|46
Bearish Engulfing With Tall Candles|Industry|SEMICONDUCTORS & RELATED DEVICES|13|0.5384615384615384|13
Bearish Engulfing With Tall Candles|Industry|SERVICES-PREPACKAGED SOFTWARE|23|0.5217391304347826|45
Bearish Engulfing With Tall Candles|Industry|INVESTMENT ADVICE|18|0.5|74
Bearish Engulfing With Tall Candles|Industry|PHARMACEUTICAL PREPARATIONS|44|0.4772727272727273|26
Bearish Engulfing With Tall Candles|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|19|0.47368421052631576|43
Bearish Engulfing With Tall Candles|Overall|All|2000|0.454|82
Bearish Engulfing With Tall Candles|Industry|REAL ESTATE INVESTMENT TRUSTS|87|0.4367816091954023|109
Bearish Engulfing With Tall Candles|Industry|RETAIL-EATING PLACES|21|0.42857142857142855|39
Bearish Engulfing With Tall Candles|Industry|SERVICES-MANAGEMENT CONSULTING SERVICES|11|0.36363636363636365|40
Bearish Engulfing With Tall Candles|Industry|ELECTRIC & OTHER SERVICES COMBINED|11|0.36363636363636365|146
Bearish Engulfing With Tall Candles|Industry|NATIONAL COMMERCIAL BANKS|44|0.3181818181818182|42
Bearish Engulfing With Tall Candles|Industry|STATE COMMERCIAL BANKS|71|0.28169014084507044|55
Bearish Engulfing With Tall Candles|Industry|FIRE, MARINE & CASUALTY INSURANCE|28|0.25|132
Bearish Engulfing With Tall Candles|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|33|0.24242424242424243|62
Bearish Engulfing With Tall Candles|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|14|0.21428571428571427|55
Bearish Engulfing With Tall Candles|Industry|ELECTRIC SERVICES|13|0.15384615384615385|364
