Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|SERVICES-PREPACKAGED SOFTWARE|12|0.5833333333333334|61
Bearish Engulfing With Tall Candles|Industry|PHARMACEUTICAL PREPARATIONS|19|0.5263157894736842|12
Bearish Engulfing With Tall Candles|Industry|REAL ESTATE INVESTMENT TRUSTS|50|0.52|101
Bearish Engulfing With Tall Candles|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|14|0.5|39
Bearish Engulfing With Tall Candles|Overall|All|1171|0.46883005977796754|85
Bearish Engulfing With Tall Candles|Industry|INVESTMENT ADVICE|11|0.36363636363636365|32
Bearish Engulfing With Tall Candles|Industry|NATIONAL COMMERCIAL BANKS|25|0.36|47
Bearish Engulfing With Tall Candles|Industry|STATE COMMERCIAL BANKS|41|0.3170731707317073|61
Bearish Engulfing With Tall Candles|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|20|0.25|56
Bearish Engulfing With Tall Candles|Industry|RETAIL-EATING PLACES|13|0.23076923076923078|49
Bearish Engulfing With Tall Candles|Industry|FIRE, MARINE & CASUALTY INSURANCE|17|0.17647058823529413|216
