Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|Insurance - Property & Casualty|20|0.75|57
Bearish Engulfing With Tall Candles|Industry|Packaging & Containers|19|0.6842105263157895|45
Bearish Engulfing With Tall Candles|Industry|Medical Distribution|11|0.6363636363636364|70
Bearish Engulfing With Tall Candles|Industry|Entertainment|16|0.625|78
Bearish Engulfing With Tall Candles|Industry|Farm & Heavy Construction Machinery|25|0.6|20
Bearish Engulfing With Tall Candles|Industry|Electronic Components|15|0.6|23
Bearish Engulfing With Tall Candles|Industry|Oil & Gas E&P|32|0.59375|43
Bearish Engulfing With Tall Candles|Industry|Packaged Foods|19|0.5789473684210527|35
Bearish Engulfing With Tall Candles|Industry|Asset Management|47|0.574468085106383|101
Bearish Engulfing With Tall Candles|Industry|Residential Construction|11|0.5454545454545454|16
Bearish Engulfing With Tall Candles|Industry|Real Estate Services|13|0.5384615384615384|38
Bearish Engulfing With Tall Candles|Industry|Utilities - Regulated Water|13|0.5384615384615384|54
Bearish Engulfing With Tall Candles|Industry|Beverages - Wineries & Distilleries|13|0.5384615384615384|78
Bearish Engulfing With Tall Candles|Sector|Consumer Defensive|115|0.5304347826086957|56
Bearish Engulfing With Tall Candles|Industry|REIT - Office|19|0.5263157894736842|75
Bearish Engulfing With Tall Candles|Industry|Semiconductors|23|0.5217391304347826|20
Bearish Engulfing With Tall Candles|Industry|Medical Devices|49|0.5102040816326531|45
Bearish Engulfing With Tall Candles|Industry|Internet Retail|10|0.5|6
Bearish Engulfing With Tall Candles|Entity|AZZ.US|10|0.5|19
Bearish Engulfing With Tall Candles|Industry|Beverages - Non-Alcoholic|12|0.5|25
Bearish Engulfing With Tall Candles|Industry|Software - Infrastructure|30|0.5|38
Bearish Engulfing With Tall Candles|Industry|Electrical Equipment & Parts|12|0.5|41
Bearish Engulfing With Tall Candles|Industry|Healthcare Plans|18|0.5|45
Bearish Engulfing With Tall Candles|Industry|REIT - Retail|24|0.5|75
Bearish Engulfing With Tall Candles|Industry|Building Products & Equipment|15|0.4666666666666667|71
Bearish Engulfing With Tall Candles|Industry|Utilities - Diversified|15|0.4666666666666667|79
Bearish Engulfing With Tall Candles|Sector|Consumer Cyclical|276|0.463768115942029|40
Bearish Engulfing With Tall Candles|Industry|Semiconductor Equipment & Materials|13|0.46153846153846156|6
Bearish Engulfing With Tall Candles|Industry|REIT - Specialty|13|0.46153846153846156|34
