Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Entity|ASA.US|11|0.8181818181818182|51
Bearish Engulfing With Tall Candles|Entity|FUL.US|10|0.8|62
Bearish Engulfing With Tall Candles|Entity|STT.US|10|0.8|93
Bearish Engulfing With Tall Candles|Entity|VTR.US|10|0.8|118
Bearish Engulfing With Tall Candles|Entity|EME.US|13|0.7692307692307693|50
Bearish Engulfing With Tall Candles|Entity|SAIA.US|11|0.7272727272727273|27
Bearish Engulfing With Tall Candles|Entity|MLKN.US|11|0.7272727272727273|27
Bearish Engulfing With Tall Candles|Entity|WABC.US|11|0.7272727272727273|175
Bearish Engulfing With Tall Candles|Entity|MUR.US|14|0.7142857142857143|39
Bearish Engulfing With Tall Candles|Entity|FCN.US|10|0.7|24
Bearish Engulfing With Tall Candles|Entity|LNN.US|10|0.7|33
Bearish Engulfing With Tall Candles|Entity|USNA.US|10|0.7|35
Bearish Engulfing With Tall Candles|Entity|CLH.US|10|0.7|49
Bearish Engulfing With Tall Candles|Entity|EOG.US|10|0.7|57
Bearish Engulfing With Tall Candles|Entity|XLB.US|10|0.7|59
Bearish Engulfing With Tall Candles|Entity|TXT.US|10|0.7|68
Bearish Engulfing With Tall Candles|Industry|Beverages - Brewers|10|0.7|80
Bearish Engulfing With Tall Candles|Entity|BIG.US|13|0.6923076923076923|37
Bearish Engulfing With Tall Candles|Entity|TARO.US|12|0.6666666666666666|33
Bearish Engulfing With Tall Candles|Entity|ADBE.US|15|0.6666666666666666|50
Bearish Engulfing With Tall Candles|Entity|LEG.US|12|0.6666666666666666|56
Bearish Engulfing With Tall Candles|Industry|Footwear & Accessories|20|0.65|20
Bearish Engulfing With Tall Candles|Entity|DE.US|14|0.6428571428571429|45
Bearish Engulfing With Tall Candles|Entity|FWRD.US|11|0.6363636363636364|33
Bearish Engulfing With Tall Candles|Entity|DRI.US|11|0.6363636363636364|43
Bearish Engulfing With Tall Candles|Entity|EL.US|11|0.6363636363636364|69
Bearish Engulfing With Tall Candles|Entity|ECL.US|16|0.625|120
Bearish Engulfing With Tall Candles|Entity|LRCX.US|13|0.6153846153846154|19
Bearish Engulfing With Tall Candles|Entity|EA.US|13|0.6153846153846154|62
Bearish Engulfing With Tall Candles|Entity|SYY.US|13|0.6153846153846154|83
Bearish Engulfing With Tall Candles|Industry|Electronics & Computer Distribution|18|0.6111111111111112|33
Bearish Engulfing With Tall Candles|Entity|NEU.US|10|0.6|16
Bearish Engulfing With Tall Candles|Industry|Other Industrial Metals & Mining|10|0.6|18
Bearish Engulfing With Tall Candles|Entity|CAT.US|15|0.6|29
Bearish Engulfing With Tall Candles|Entity|NUE.US|10|0.6|42
Bearish Engulfing With Tall Candles|Entity|YORW.US|10|0.6|46
Bearish Engulfing With Tall Candles|Entity|MSA.US|15|0.6|53
Bearish Engulfing With Tall Candles|Entity|OZK.US|10|0.6|68
Bearish Engulfing With Tall Candles|Entity|HES.US|10|0.6|73
Bearish Engulfing With Tall Candles|Entity|SXT.US|10|0.6|174
Bearish Engulfing With Tall Candles|Entity|ASH.US|17|0.5882352941176471|101
Bearish Engulfing With Tall Candles|Entity|DECK.US|12|0.5833333333333334|20
Bearish Engulfing With Tall Candles|Entity|AMED.US|12|0.5833333333333334|29
Bearish Engulfing With Tall Candles|Entity|GPS.US|12|0.5833333333333334|29
Bearish Engulfing With Tall Candles|Industry|Farm & Heavy Construction Machinery|60|0.5833333333333334|34
Bearish Engulfing With Tall Candles|Entity|OSK.US|12|0.5833333333333334|47
Bearish Engulfing With Tall Candles|Entity|CBU.US|12|0.5833333333333334|71
Bearish Engulfing With Tall Candles|Entity|SOXX.US|12|0.5833333333333334|74
Bearish Engulfing With Tall Candles|Entity|PEP.US|12|0.5833333333333334|117
Bearish Engulfing With Tall Candles|Industry|Electronic Gaming & Multimedia|19|0.5789473684210527|48
Bearish Engulfing With Tall Candles|Entity|POOL.US|14|0.5714285714285714|29
Bearish Engulfing With Tall Candles|Industry|Engineering & Construction|63|0.5714285714285714|34
Bearish Engulfing With Tall Candles|Industry|Entertainment|35|0.5714285714285714|75
Bearish Engulfing With Tall Candles|Industry|Travel Services|18|0.5555555555555556|42
Bearish Engulfing With Tall Candles|Industry|Packaging & Containers|36|0.5555555555555556|52
Bearish Engulfing With Tall Candles|Industry|Discount Stores|40|0.55|49
Bearish Engulfing With Tall Candles|Entity|DXCM.US|11|0.5454545454545454|28
Bearish Engulfing With Tall Candles|Entity|CBRL.US|11|0.5454545454545454|37
Bearish Engulfing With Tall Candles|Entity|DIOD.US|11|0.5454545454545454|40
Bearish Engulfing With Tall Candles|Entity|RVTY.US|11|0.5454545454545454|42
Bearish Engulfing With Tall Candles|Entity|NHI.US|11|0.5454545454545454|49
Bearish Engulfing With Tall Candles|Entity|ARCB.US|11|0.5454545454545454|52
Bearish Engulfing With Tall Candles|Entity|BFS.US|11|0.5454545454545454|54
Bearish Engulfing With Tall Candles|Entity|ODC.US|11|0.5454545454545454|76
Bearish Engulfing With Tall Candles|Entity|TFX.US|11|0.5454545454545454|84
Bearish Engulfing With Tall Candles|Industry|REIT - Office|46|0.5434782608695652|87
Bearish Engulfing With Tall Candles|Entity|WKC.US|13|0.5384615384615384|21
Bearish Engulfing With Tall Candles|Entity|PHM.US|13|0.5384615384615384|44
Bearish Engulfing With Tall Candles|Entity|CHE.US|13|0.5384615384615384|53
Bearish Engulfing With Tall Candles|Entity|RNR.US|13|0.5384615384615384|98
Bearish Engulfing With Tall Candles|Entity|DINO.US|15|0.5333333333333333|13
Bearish Engulfing With Tall Candles|Entity|WMS.US|15|0.5333333333333333|30
Bearish Engulfing With Tall Candles|Industry|Trucking|15|0.5333333333333333|45
Bearish Engulfing With Tall Candles|Entity|HUM.US|15|0.5333333333333333|56
Bearish Engulfing With Tall Candles|Industry|Insurance - Specialty|30|0.5333333333333333|60
Bearish Engulfing With Tall Candles|Entity|NSC.US|15|0.5333333333333333|69
Bearish Engulfing With Tall Candles|Entity|BMY.US|17|0.5294117647058824|54
Bearish Engulfing With Tall Candles|Industry|Recreational Vehicles|19|0.5263157894736842|37
Bearish Engulfing With Tall Candles|Industry|Beverages - Non-Alcoholic|19|0.5263157894736842|40
Bearish Engulfing With Tall Candles|Industry|Asset Management|113|0.5221238938053098|79
Bearish Engulfing With Tall Candles|Entity|AAPL.US|23|0.5217391304347826|32
Bearish Engulfing With Tall Candles|Industry|Oil & Gas E&P|92|0.5217391304347826|40
Bearish Engulfing With Tall Candles|Industry|Agricultural Inputs|23|0.5217391304347826|51
Bearish Engulfing With Tall Candles|Industry|Furnishings, Fixtures & Appliances|25|0.52|21
Bearish Engulfing With Tall Candles|Industry|Biotechnology|93|0.5161290322580645|16
Bearish Engulfing With Tall Candles|Entity|EDU.US|12|0.5|10
Bearish Engulfing With Tall Candles|Entity|MU.US|10|0.5|16
Bearish Engulfing With Tall Candles|Entity|RGLD.US|10|0.5|16
Bearish Engulfing With Tall Candles|Entity|BKNG.US|10|0.5|20
Bearish Engulfing With Tall Candles|Entity|PTC.US|12|0.5|20
Bearish Engulfing With Tall Candles|Entity|TOL.US|10|0.5|22
Bearish Engulfing With Tall Candles|Entity|MIDD.US|10|0.5|24
Bearish Engulfing With Tall Candles|Industry|Metal Fabrication|16|0.5|25
Bearish Engulfing With Tall Candles|Entity|RGR.US|16|0.5|25
Bearish Engulfing With Tall Candles|Entity|URBN.US|12|0.5|27
Bearish Engulfing With Tall Candles|Entity|NSIT.US|10|0.5|28
Bearish Engulfing With Tall Candles|Industry|Consumer Electronics|24|0.5|32
Bearish Engulfing With Tall Candles|Entity|MLAB.US|10|0.5|33
Bearish Engulfing With Tall Candles|Industry|Education & Training Services|30|0.5|34
Bearish Engulfing With Tall Candles|Entity|CPK.US|12|0.5|36
Bearish Engulfing With Tall Candles|Entity|FI.US|12|0.5|44
Bearish Engulfing With Tall Candles|Entity|IOSP.US|12|0.5|46
Bearish Engulfing With Tall Candles|Entity|SLV.US|10|0.5|48
Bearish Engulfing With Tall Candles|Entity|PSA.US|10|0.5|49
Bearish Engulfing With Tall Candles|Entity|XSD.US|10|0.5|49
Bearish Engulfing With Tall Candles|Entity|GWW.US|10|0.5|55
