Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|Electronic Gaming & Multimedia|11|0.7272727272727273|18
Bearish Engulfing With Tall Candles|Industry|Education & Training Services|14|0.7142857142857143|11
Bearish Engulfing With Tall Candles|Industry|Credit Services|17|0.7058823529411765|12
Bearish Engulfing With Tall Candles|Industry|REIT - Mortgage|17|0.7058823529411765|94
Bearish Engulfing With Tall Candles|Industry|Electrical Equipment & Parts|10|0.7|50
Bearish Engulfing With Tall Candles|Entity|TVC.US|10|0.7|497
Bearish Engulfing With Tall Candles|Industry|Oil & Gas Equipment & Services|26|0.6923076923076923|17
Bearish Engulfing With Tall Candles|Industry|REIT - Healthcare Facilities|14|0.6428571428571429|58
Bearish Engulfing With Tall Candles|Entity|BMY.US|11|0.6363636363636364|60
Bearish Engulfing With Tall Candles|Industry|Security & Protection Services|13|0.6153846153846154|42
Bearish Engulfing With Tall Candles|Industry|REIT - Specialty|31|0.6129032258064516|39
Bearish Engulfing With Tall Candles|Industry|Drug Manufacturers - General|36|0.6111111111111112|39
Bearish Engulfing With Tall Candles|Industry|Integrated Freight & Logistics|15|0.6|36
Bearish Engulfing With Tall Candles|Entity|EPD.US|10|0.6|42
Bearish Engulfing With Tall Candles|Industry|Personal Services|15|0.6|54
Bearish Engulfing With Tall Candles|Entity|JNJ.US|10|0.6|154
Bearish Engulfing With Tall Candles|Entity|MDT.US|12|0.5833333333333334|21
Bearish Engulfing With Tall Candles|Entity|LNT.US|12|0.5833333333333334|84
Bearish Engulfing With Tall Candles|Industry|Apparel Retail|40|0.575|36
Bearish Engulfing With Tall Candles|Industry|Aerospace & Defense|42|0.5714285714285714|28
Bearish Engulfing With Tall Candles|Industry|Building Products & Equipment|14|0.5714285714285714|32
Bearish Engulfing With Tall Candles|Industry|Farm & Heavy Construction Machinery|25|0.56|22
Bearish Engulfing With Tall Candles|Industry|Medical Distribution|18|0.5555555555555556|40
Bearish Engulfing With Tall Candles|Industry|Packaged Foods|38|0.5526315789473685|43
Bearish Engulfing With Tall Candles|Entity|TDW.US|11|0.5454545454545454|12
Bearish Engulfing With Tall Candles|Entity|HRB.US|11|0.5454545454545454|34
Bearish Engulfing With Tall Candles|Industry|Software - Infrastructure|46|0.5434782608695652|25
Bearish Engulfing With Tall Candles|Industry|Internet Retail|13|0.5384615384615384|11
Bearish Engulfing With Tall Candles|Industry|Semiconductors|19|0.5263157894736842|13
Bearish Engulfing With Tall Candles|Industry|Specialty Retail|23|0.5217391304347826|30
Bearish Engulfing With Tall Candles|Industry|Communication Equipment|25|0.52|21
Bearish Engulfing With Tall Candles|Industry|Engineering & Construction|33|0.5151515151515151|41
Bearish Engulfing With Tall Candles|Industry|Asset Management|73|0.5068493150684932|144
Bearish Engulfing With Tall Candles|Industry|Biotechnology|91|0.5054945054945055|13
Bearish Engulfing With Tall Candles|Industry|Beverages - Non-Alcoholic|14|0.5|11
Bearish Engulfing With Tall Candles|Entity|SLB.US|10|0.5|20
Bearish Engulfing With Tall Candles|Industry|Airlines|16|0.5|20
Bearish Engulfing With Tall Candles|Industry|Medical Care Facilities|28|0.5|29
Bearish Engulfing With Tall Candles|Industry|Electronic Components|10|0.5|30
Bearish Engulfing With Tall Candles|Industry|Healthcare Plans|20|0.5|32
Bearish Engulfing With Tall Candles|Industry|Agricultural Inputs|14|0.5|56
Bearish Engulfing With Tall Candles|Entity|MRK.US|14|0.5|94
Bearish Engulfing With Tall Candles|Industry|REIT - Office|26|0.5|116
Bearish Engulfing With Tall Candles|Sector|Healthcare|357|0.49859943977591037|26
Bearish Engulfing With Tall Candles|Sector|Technology|245|0.4857142857142857|22
Bearish Engulfing With Tall Candles|Industry|Diagnostics & Research|33|0.48484848484848486|36
Bearish Engulfing With Tall Candles|Industry|Software - Application|58|0.4827586206896552|18
Bearish Engulfing With Tall Candles|Sector|Energy|199|0.4824120603015075|30
Bearish Engulfing With Tall Candles|Industry|Banks - Diversified|25|0.48|46
Bearish Engulfing With Tall Candles|Industry|Utilities - Diversified|23|0.4782608695652174|52
Bearish Engulfing With Tall Candles|Sector|Real Estate|228|0.4780701754385965|78
Bearish Engulfing With Tall Candles|Industry|Oil & Gas Refining & Marketing|21|0.47619047619047616|46
Bearish Engulfing With Tall Candles|Industry|Drug Manufacturers - Specialty & Generic|47|0.46808510638297873|19
Bearish Engulfing With Tall Candles|Industry|Scientific & Technical Instruments|15|0.4666666666666667|10
Bearish Engulfing With Tall Candles|Industry|Specialty Business Services|15|0.4666666666666667|49
Bearish Engulfing With Tall Candles|Industry|Oil & Gas E&P|80|0.4625|34
Bearish Engulfing With Tall Candles|Industry|Consulting Services|26|0.46153846153846156|34
Bearish Engulfing With Tall Candles|Entity|NEM.US|13|0.46153846153846156|65
Bearish Engulfing With Tall Candles|Industry|Medical Instruments & Supplies|35|0.45714285714285713|35
Bearish Engulfing With Tall Candles|Entity|WDFC.US|11|0.45454545454545453|17
Bearish Engulfing With Tall Candles|Industry|Footwear & Accessories|11|0.45454545454545453|21
Bearish Engulfing With Tall Candles|Industry|Packaging & Containers|22|0.45454545454545453|31
