Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bearish Engulfing With Tall Candles,Entity,OMC.US,10,0.8,63
Bearish Engulfing With Tall Candles,Entity,RGA.US,10,0.8,75
Bearish Engulfing With Tall Candles,Entity,SAIA.US,12,0.75,26
Bearish Engulfing With Tall Candles,Entity,MLKN.US,11,0.7272727272727273,27
Bearish Engulfing With Tall Candles,Industry,Beverages - Brewers,11,0.7272727272727273,78
Bearish Engulfing With Tall Candles,Entity,STT.US,11,0.7272727272727273,93
Bearish Engulfing With Tall Candles,Entity,WABC.US,11,0.7272727272727273,175
Bearish Engulfing With Tall Candles,Entity,EME.US,14,0.7142857142857143,50
Bearish Engulfing With Tall Candles,Entity,ASA.US,14,0.7142857142857143,52
Bearish Engulfing With Tall Candles,Entity,CLH.US,10,0.7,49
Bearish Engulfing With Tall Candles,Entity,XLB.US,10,0.7,59
Bearish Engulfing With Tall Candles,Entity,TXT.US,10,0.7,68
Bearish Engulfing With Tall Candles,Entity,LKFN.US,10,0.7,71
Bearish Engulfing With Tall Candles,Entity,FMX.US,10,0.7,78
Bearish Engulfing With Tall Candles,Entity,MTX.US,10,0.7,81
Bearish Engulfing With Tall Candles,Entity,VZ.US,10,0.7,144
Bearish Engulfing With Tall Candles,Entity,LEG.US,13,0.6923076923076923,63
Bearish Engulfing With Tall Candles,Entity,FUL.US,13,0.6923076923076923,87
Bearish Engulfing With Tall Candles,Entity,ADBE.US,16,0.6875,47
Bearish Engulfing With Tall Candles,Industry,Electronic Gaming & Multimedia,24,0.6666666666666666,38
Bearish Engulfing With Tall Candles,Entity,DE.US,15,0.6666666666666666,43
Bearish Engulfing With Tall Candles,Entity,EA.US,15,0.6666666666666666,57
Bearish Engulfing With Tall Candles,Entity,EOG.US,12,0.6666666666666666,59
Bearish Engulfing With Tall Candles,Entity,VTR.US,12,0.6666666666666666,118
Bearish Engulfing With Tall Candles,Entity,SXT.US,15,0.6666666666666666,138
Bearish Engulfing With Tall Candles,Entity,LRCX.US,14,0.6428571428571429,19
Bearish Engulfing With Tall Candles,Entity,BIG.US,14,0.6428571428571429,37
Bearish Engulfing With Tall Candles,Entity,YORW.US,14,0.6428571428571429,52
Bearish Engulfing With Tall Candles,Entity,FCN.US,11,0.6363636363636364,24
Bearish Engulfing With Tall Candles,Entity,LNN.US,11,0.6363636363636364,33
Bearish Engulfing With Tall Candles,Entity,FWRD.US,11,0.6363636363636364,33
Bearish Engulfing With Tall Candles,Entity,USNA.US,11,0.6363636363636364,35
Bearish Engulfing With Tall Candles,Entity,DRI.US,11,0.6363636363636364,43
Bearish Engulfing With Tall Candles,Entity,BEN.US,11,0.6363636363636364,63
Bearish Engulfing With Tall Candles,Entity,EL.US,11,0.6363636363636364,69
Bearish Engulfing With Tall Candles,Entity,MUR.US,16,0.625,39
Bearish Engulfing With Tall Candles,Entity,MSA.US,16,0.625,53
Bearish Engulfing With Tall Candles,Entity,GPS.US,13,0.6153846153846154,26
Bearish Engulfing With Tall Candles,Entity,TARO.US,13,0.6153846153846154,33
Bearish Engulfing With Tall Candles,Entity,ASH.US,18,0.6111111111111112,97
Bearish Engulfing With Tall Candles,Entity,IONS.US,10,0.6,17
Bearish Engulfing With Tall Candles,Entity,ESE.US,10,0.6,21
Bearish Engulfing With Tall Candles,Industry,Farm & Heavy Construction Machinery,70,0.6,33
Bearish Engulfing With Tall Candles,Entity,HUBG.US,10,0.6,36
Bearish Engulfing With Tall Candles,Entity,NUE.US,10,0.6,42
Bearish Engulfing With Tall Candles,Entity,FRPH.US,10,0.6,44
Bearish Engulfing With Tall Candles,Entity,MATX.US,10,0.6,46
Bearish Engulfing With Tall Candles,Entity,KNX.US,10,0.6,52
Bearish Engulfing With Tall Candles,Entity,DLTR.US,10,0.6,63
Bearish Engulfing With Tall Candles,Entity,OZK.US,10,0.6,68
Bearish Engulfing With Tall Candles,Entity,PCH.US,10,0.6,77
Bearish Engulfing With Tall Candles,Entity,TR.US,10,0.6,112
Bearish Engulfing With Tall Candles,Entity,FXO.US,10,0.6,186
Bearish Engulfing With Tall Candles,Industry,Footwear & Accessories,22,0.5909090909090909,20
Bearish Engulfing With Tall Candles,Industry,Trucking,17,0.5882352941176471,41
Bearish Engulfing With Tall Candles,Entity,ECL.US,17,0.5882352941176471,120
Bearish Engulfing With Tall Candles,Entity,DY.US,12,0.5833333333333334,13
Bearish Engulfing With Tall Candles,Industry,Other Industrial Metals & Mining,12,0.5833333333333334,16
Bearish Engulfing With Tall Candles,Entity,DECK.US,12,0.5833333333333334,20
Bearish Engulfing With Tall Candles,Entity,MIDD.US,12,0.5833333333333334,23
Bearish Engulfing With Tall Candles,Entity,RVTY.US,12,0.5833333333333334,36
Bearish Engulfing With Tall Candles,Entity,CBRL.US,12,0.5833333333333334,36
Bearish Engulfing With Tall Candles,Entity,NHI.US,12,0.5833333333333334,45
Bearish Engulfing With Tall Candles,Entity,ARCB.US,12,0.5833333333333334,49
Bearish Engulfing With Tall Candles,Entity,ODC.US,12,0.5833333333333334,70
Bearish Engulfing With Tall Candles,Entity,SOXX.US,12,0.5833333333333334,74
Bearish Engulfing With Tall Candles,Entity,OGE.US,12,0.5833333333333334,89
Bearish Engulfing With Tall Candles,Entity,CAT.US,19,0.5789473684210527,30
Bearish Engulfing With Tall Candles,Industry,Engineering & Construction,75,0.5733333333333334,29
Bearish Engulfing With Tall Candles,Entity,POOL.US,14,0.5714285714285714,29
Bearish Engulfing With Tall Candles,Entity,OSK.US,14,0.5714285714285714,46
Bearish Engulfing With Tall Candles,Entity,SYY.US,14,0.5714285714285714,83
Bearish Engulfing With Tall Candles,Entity,RNR.US,14,0.5714285714285714,91
Bearish Engulfing With Tall Candles,Industry,Insurance - Specialty,34,0.5588235294117647,52
Bearish Engulfing With Tall Candles,Industry,REIT - Office,52,0.5576923076923077,82
Bearish Engulfing With Tall Candles,Industry,Travel Services,18,0.5555555555555556,42
Bearish Engulfing With Tall Candles,Entity,BMY.US,18,0.5555555555555556,58
Bearish Engulfing With Tall Candles,Industry,Entertainment,38,0.5526315789473685,71
Bearish Engulfing With Tall Candles,Industry,Electronics & Computer Distribution,20,0.55,33
Bearish Engulfing With Tall Candles,Entity,HAL.US,11,0.5454545454545454,14
Bearish Engulfing With Tall Candles,Entity,NEU.US,11,0.5454545454545454,16
Bearish Engulfing With Tall Candles,Entity,NSIT.US,11,0.5454545454545454,23
Bearish Engulfing With Tall Candles,Entity,UFI.US,11,0.5454545454545454,23
Bearish Engulfing With Tall Candles,Entity,SMP.US,11,0.5454545454545454,24
Bearish Engulfing With Tall Candles,Entity,TTEK.US,11,0.5454545454545454,29
Bearish Engulfing With Tall Candles,Industry,Recreational Vehicles,22,0.5454545454545454,35
Bearish Engulfing With Tall Candles,Entity,DIOD.US,11,0.5454545454545454,40
Bearish Engulfing With Tall Candles,Industry,Discount Stores,44,0.5454545454545454,50
Bearish Engulfing With Tall Candles,Entity,HES.US,11,0.5454545454545454,73
Bearish Engulfing With Tall Candles,Entity,TOL.US,13,0.5384615384615384,17
Bearish Engulfing With Tall Candles,Entity,PTC.US,13,0.5384615384615384,20
Bearish Engulfing With Tall Candles,Entity,AMED.US,13,0.5384615384615384,29
Bearish Engulfing With Tall Candles,Entity,PSA.US,13,0.5384615384615384,47
Bearish Engulfing With Tall Candles,Entity,ETN.US,13,0.5384615384615384,60
Bearish Engulfing With Tall Candles,Entity,CPK.US,13,0.5384615384615384,61
Bearish Engulfing With Tall Candles,Entity,CBU.US,13,0.5384615384615384,71
Bearish Engulfing With Tall Candles,Entity,NFG.US,13,0.5384615384615384,101
Bearish Engulfing With Tall Candles,Entity,PEP.US,13,0.5384615384615384,117
Bearish Engulfing With Tall Candles,Entity,NSC.US,15,0.5333333333333333,69
Bearish Engulfing With Tall Candles,Industry,Metal Fabrication,17,0.5294117647058824,24
Bearish Engulfing With Tall Candles,Industry,Oil & Gas E&P,106,0.5283018867924528,38
Bearish Engulfing With Tall Candles,Industry,Medical Distribution,36,0.5277777777777778,66
Bearish Engulfing With Tall Candles,Entity,VLO.US,19,0.5263157894736842,49
Bearish Engulfing With Tall Candles,Entity,COR.US,19,0.5263157894736842,67
Bearish Engulfing With Tall Candles,Industry,Integrated Freight & Logistics,48,0.5208333333333334,47
Bearish Engulfing With Tall Candles,Industry,Asset Management,141,0.5177304964539007,84
Bearish Engulfing With Tall Candles,Industry,Education & Training Services,33,0.5151515151515151,31
Bearish Engulfing With Tall Candles,Entity,EDU.US,12,0.5,10
Bearish Engulfing With Tall Candles,Entity,ASTE.US,10,0.5,11
Bearish Engulfing With Tall Candles,Entity,DINO.US,18,0.5,13
Bearish Engulfing With Tall Candles,Entity,LGND.US,12,0.5,14
Bearish Engulfing With Tall Candles,Entity,JWN.US,10,0.5,14
Bearish Engulfing With Tall Candles,Entity,BKNG.US,10,0.5,20
Bearish Engulfing With Tall Candles,Entity,DCO.US,10,0.5,20
Bearish Engulfing With Tall Candles,Entity,FHN.US,10,0.5,22
Bearish Engulfing With Tall Candles,Industry,Auto & Truck Dealerships,36,0.5,23
Bearish Engulfing With Tall Candles,Entity,URBN.US,14,0.5,24
Bearish Engulfing With Tall Candles,Entity,PLCE.US,10,0.5,25
Bearish Engulfing With Tall Candles,Entity,KWR.US,10,0.5,25
Bearish Engulfing With Tall Candles,Entity,AMWD.US,10,0.5,26
Bearish Engulfing With Tall Candles,Entity,BBWI.US,14,0.5,27
Bearish Engulfing With Tall Candles,Entity,DXCM.US,12,0.5,28
Bearish Engulfing With Tall Candles,Entity,POWL.US,10,0.5,28
Bearish Engulfing With Tall Candles,Entity,WMS.US,16,0.5,30
Bearish Engulfing With Tall Candles,Entity,NEE.US,10,0.5,31
Bearish Engulfing With Tall Candles,Entity,TREE.US,10,0.5,32
Bearish Engulfing With Tall Candles,Entity,MLAB.US,10,0.5,33
Bearish Engulfing With Tall Candles,Entity,REGN.US,12,0.5,34
Bearish Engulfing With Tall Candles,Industry,REIT - Hotel & Motel,12,0.5,36
Bearish Engulfing With Tall Candles,Entity,ICUI.US,10,0.5,38
Bearish Engulfing With Tall Candles,Entity,ATNI.US,12,0.5,38
Bearish Engulfing With Tall Candles,Entity,GEF.US,10,0.5,40
Bearish Engulfing With Tall Candles,Entity,B.US,10,0.5,44
Bearish Engulfing With Tall Candles,Entity,JCI.US,10,0.5,44
Bearish Engulfing With Tall Candles,Entity,KMT.US,12,0.5,46
Bearish Engulfing With Tall Candles,Entity,SLV.US,10,0.5,48
Bearish Engulfing With Tall Candles,Entity,XSD.US,10,0.5,49
Bearish Engulfing With Tall Candles,Entity,BFS.US,14,0.5,49
Bearish Engulfing With Tall Candles,Entity,CHE.US,14,0.5,53
Bearish Engulfing With Tall Candles,Entity,GOLD.US,10,0.5,54
Bearish Engulfing With Tall Candles,Entity,OXM.US,14,0.5,54
Bearish Engulfing With Tall Candles,Entity,PARA.US,10,0.5,55
Bearish Engulfing With Tall Candles,Entity,CFR.US,10,0.5,59
Bearish Engulfing With Tall Candles,Entity,DVN.US,10,0.5,59
Bearish Engulfing With Tall Candles,Entity,NVR.US,14,0.5,62
Bearish Engulfing With Tall Candles,Entity,EXPD.US,12,0.5,69
Bearish Engulfing With Tall Candles,Entity,CI.US,10,0.5,71
Bearish Engulfing With Tall Candles,Entity,TFX.US,12,0.5,84
Bearish Engulfing With Tall Candles,Entity,AKR.US,10,0.5,88
Bearish Engulfing With Tall Candles,Entity,SCL.US,10,0.5,92
Bearish Engulfing With Tall Candles,Entity,MSI.US,10,0.5,92
Bearish Engulfing With Tall Candles,Entity,IDA.US,10,0.5,99
Bearish Engulfing With Tall Candles,Entity,LNT.US,10,0.5,101
Bearish Engulfing With Tall Candles,Entity,PNM.US,10,0.5,106
Bearish Engulfing With Tall Candles,Entity,STZ.US,20,0.5,106
Bearish Engulfing With Tall Candles,Entity,CMA.US,10,0.5,108
Bearish Engulfing With Tall Candles,Entity,JNJ.US,16,0.5,126
Bearish Engulfing With Tall Candles,Entity,SWX.US,10,0.5,137
Bearish Engulfing With Tall Candles,Industry,Biotechnology,113,0.49557522123893805,15
Bearish Engulfing With Tall Candles,Industry,Semiconductors,57,0.49122807017543857,32
Bearish Engulfing With Tall Candles,Industry,Drug Manufacturers - Specialty & Generic,62,0.4838709677419355,15
Bearish Engulfing With Tall Candles,Industry,Electrical Equipment & Parts,31,0.4838709677419355,31
Bearish Engulfing With Tall Candles,Industry,Packaged Foods,56,0.48214285714285715,52
Bearish Engulfing With Tall Candles,Industry,Medical Devices,106,0.4811320754716981,39
Bearish Engulfing With Tall Candles,Entity,AAPL.US,25,0.48,32
Bearish Engulfing With Tall Candles,Industry,Packaging & Containers,46,0.4782608695652174,49
Bearish Engulfing With Tall Candles,Industry,Specialty Chemicals,132,0.4772727272727273,74
Bearish Engulfing With Tall Candles,Industry,Beverages - Non-Alcoholic,21,0.47619047619047616,40
Bearish Engulfing With Tall Candles,Industry,REIT - Specialty,42,0.47619047619047616,46
Bearish Engulfing With Tall Candles,Industry,Software - Infrastructure,87,0.47126436781609193,30
Bearish Engulfing With Tall Candles,Entity,HUM.US,17,0.47058823529411764,56
Bearish Engulfing With Tall Candles,Entity,GPC.US,17,0.47058823529411764,104
Bearish Engulfing With Tall Candles,Entity,WKC.US,15,0.4666666666666667,21
Bearish Engulfing With Tall Candles,Entity,BC.US,15,0.4666666666666667,40
Bearish Engulfing With Tall Candles,Entity,BF-B.US,15,0.4666666666666667,87
Bearish Engulfing With Tall Candles,Entity,WBA.US,15,0.4666666666666667,97
Bearish Engulfing With Tall Candles,Industry,Credit Services,69,0.463768115942029,55
Bearish Engulfing With Tall Candles,Entity,TQQQ.US,13,0.46153846153846156,12
Bearish Engulfing With Tall Candles,Entity,WGO.US,13,0.46153846153846156,14
