Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|Biotechnology|15|0.6|7
Bearish Engulfing With Tall Candles|Sector|Technology|33|0.5454545454545454|24
Bearish Engulfing With Tall Candles|Sector|Healthcare|52|0.5|29
Bearish Engulfing With Tall Candles|Sector|Industrials|65|0.47692307692307695|37
Bearish Engulfing With Tall Candles|Sector|Consumer Cyclical|38|0.47368421052631576|31
Bearish Engulfing With Tall Candles|Sector|Consumer Defensive|22|0.45454545454545453|34
Bearish Engulfing With Tall Candles|Overall|All|1244|0.43086816720257237|93
Bearish Engulfing With Tall Candles|Sector|Real Estate|29|0.41379310344827586|65
Bearish Engulfing With Tall Candles|Sector|Basic Materials|15|0.3333333333333333|28
Bearish Engulfing With Tall Candles|Sector|Financial Services|99|0.3333333333333333|69
Bearish Engulfing With Tall Candles|Sector|Energy|19|0.3157894736842105|49
Bearish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|10|0.3|49
Bearish Engulfing With Tall Candles|Sector|Utilities|21|0.2857142857142857|48
Bearish Engulfing With Tall Candles|Industry|Banks - Regional|63|0.25396825396825395|56
