Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|Aerospace & Defense|19|0.7368421052631579|25
Bearish Engulfing With Tall Candles|Industry|Packaged Foods|13|0.6923076923076923|42
Bearish Engulfing With Tall Candles|Industry|Apparel Retail|15|0.6666666666666666|20
Bearish Engulfing With Tall Candles|Industry|Scientific & Technical Instruments|10|0.6|17
Bearish Engulfing With Tall Candles|Industry|Farm & Heavy Construction Machinery|10|0.6|18
Bearish Engulfing With Tall Candles|Industry|Utilities - Regulated Gas|10|0.6|73
Bearish Engulfing With Tall Candles|Industry|Medical Care Facilities|12|0.5833333333333334|38
Bearish Engulfing With Tall Candles|Industry|REIT - Office|14|0.5714285714285714|78
Bearish Engulfing With Tall Candles|Industry|Asset Management|38|0.5526315789473685|147
Bearish Engulfing With Tall Candles|Industry|Biotechnology|51|0.5294117647058824|10
Bearish Engulfing With Tall Candles|Industry|Software - Infrastructure|17|0.5294117647058824|30
Bearish Engulfing With Tall Candles|Industry|Beverages - Non-Alcoholic|10|0.5|7
Bearish Engulfing With Tall Candles|Industry|Engineering & Construction|18|0.5|17
Bearish Engulfing With Tall Candles|Industry|Communication Equipment|10|0.5|18
Bearish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|20|0.5|47
Bearish Engulfing With Tall Candles|Industry|Specialty Chemicals|10|0.5|58
Bearish Engulfing With Tall Candles|Sector|Technology|104|0.49038461538461536|21
Bearish Engulfing With Tall Candles|Sector|Healthcare|175|0.48|25
Bearish Engulfing With Tall Candles|Industry|Oil & Gas E&P|25|0.48|54
Bearish Engulfing With Tall Candles|Industry|Medical Devices|23|0.4782608695652174|21
Bearish Engulfing With Tall Candles|Sector|Energy|66|0.4696969696969697|30
Bearish Engulfing With Tall Candles|Sector|Industrials|176|0.4602272727272727|28
Bearish Engulfing With Tall Candles|Industry|Drug Manufacturers - Specialty & Generic|22|0.45454545454545453|21
Bearish Engulfing With Tall Candles|Industry|Utilities - Diversified|11|0.45454545454545453|50
Bearish Engulfing With Tall Candles|Sector|Consumer Defensive|61|0.4426229508196721|48
Bearish Engulfing With Tall Candles|Sector|Basic Materials|43|0.4418604651162791|48
Bearish Engulfing With Tall Candles|Industry|Information Technology Services|16|0.4375|22
Bearish Engulfing With Tall Candles|Sector|Real Estate|96|0.4375|54
Bearish Engulfing With Tall Candles|Overall|All|3756|0.4363684771033014|85
Bearish Engulfing With Tall Candles|Industry|Industrial Distribution|14|0.42857142857142855|20
Bearish Engulfing With Tall Candles|Industry|Drug Manufacturers - General|14|0.42857142857142855|46
Bearish Engulfing With Tall Candles|Industry|Utilities - Regulated Water|14|0.42857142857142855|90
Bearish Engulfing With Tall Candles|Sector|Communication Services|33|0.42424242424242425|32
Bearish Engulfing With Tall Candles|Industry|Software - Application|26|0.4230769230769231|20
Bearish Engulfing With Tall Candles|Industry|Oil & Gas Midstream|10|0.4|30
Bearish Engulfing With Tall Candles|Sector|Financial Services|257|0.3968871595330739|69
Bearish Engulfing With Tall Candles|Sector|Consumer Cyclical|131|0.3893129770992366|29
Bearish Engulfing With Tall Candles|Industry|REIT - Retail|18|0.3888888888888889|38
Bearish Engulfing With Tall Candles|Industry|Packaging & Containers|13|0.38461538461538464|25
Bearish Engulfing With Tall Candles|Industry|Banks - Regional|137|0.3722627737226277|57
Bearish Engulfing With Tall Candles|Industry|REIT - Residential|19|0.3684210526315789|70
Bearish Engulfing With Tall Candles|Sector|Utilities|72|0.3472222222222222|112
Bearish Engulfing With Tall Candles|Industry|Restaurants|15|0.3333333333333333|36
Bearish Engulfing With Tall Candles|Industry|Medical Instruments & Supplies|25|0.32|32
Bearish Engulfing With Tall Candles|Industry|Insurance - Diversified|19|0.3157894736842105|46
Bearish Engulfing With Tall Candles|Industry|Auto Parts|10|0.3|45
Bearish Engulfing With Tall Candles|Industry|Diagnostics & Research|14|0.2857142857142857|38
Bearish Engulfing With Tall Candles|Industry|Insurance - Property & Casualty|12|0.25|29
Bearish Engulfing With Tall Candles|Industry|Consulting Services|13|0.23076923076923078|50
Bearish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|34|0.14705882352941177|152
Bearish Engulfing With Tall Candles|Industry|Gold|10|0.1|4
Bearish Engulfing With Tall Candles|Industry|Furnishings, Fixtures & Appliances|10|0.1|34
