Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Entity|MDIV.US|10|1|362
Bearish Engulfing With Tall Candles|Entity|HYG.US|13|0.9230769230769231|546
Bearish Engulfing With Tall Candles|Entity|BBDC.US|12|0.9166666666666666|51
Bearish Engulfing With Tall Candles|Entity|AVNS.US|11|0.9090909090909091|37
Bearish Engulfing With Tall Candles|Entity|PHB.US|11|0.9090909090909091|1518
Bearish Engulfing With Tall Candles|Entity|CSTE.US|10|0.9|33
Bearish Engulfing With Tall Candles|Entity|FXC.US|10|0.9|751
Bearish Engulfing With Tall Candles|Entity|FCEL.US|13|0.8461538461538461|11
Bearish Engulfing With Tall Candles|Entity|PSK.US|13|0.8461538461538461|311
Bearish Engulfing With Tall Candles|Entity|KBWD.US|12|0.8333333333333334|190
Bearish Engulfing With Tall Candles|Entity|SRET.US|12|0.8333333333333334|290
Bearish Engulfing With Tall Candles|Entity|SIMO.US|17|0.8235294117647058|28
Bearish Engulfing With Tall Candles|Entity|SDIV.US|11|0.8181818181818182|306
Bearish Engulfing With Tall Candles|Entity|INCY.US|20|0.8|24
Bearish Engulfing With Tall Candles|Entity|BOND.US|10|0.8|1253
Bearish Engulfing With Tall Candles|Entity|AGG.US|10|0.8|1885
Bearish Engulfing With Tall Candles|Entity|MBB.US|10|0.8|2479
Bearish Engulfing With Tall Candles|Entity|DEI.US|14|0.7857142857142857|106
Bearish Engulfing With Tall Candles|Sector|Other|18|0.7777777777777778|337
Bearish Engulfing With Tall Candles|Industry|Other|18|0.7777777777777778|337
Bearish Engulfing With Tall Candles|Entity|TWO.US|13|0.7692307692307693|139
Bearish Engulfing With Tall Candles|Entity|AMLP.US|13|0.7692307692307693|165
Bearish Engulfing With Tall Candles|Entity|JSM.US|13|0.7692307692307693|238
Bearish Engulfing With Tall Candles|Entity|PFXF.US|13|0.7692307692307693|254
Bearish Engulfing With Tall Candles|Entity|ASA.US|21|0.7619047619047619|44
Bearish Engulfing With Tall Candles|Entity|MGNX.US|12|0.75|10
Bearish Engulfing With Tall Candles|Entity|PCRX.US|12|0.75|11
Bearish Engulfing With Tall Candles|Entity|GDEN.US|12|0.75|16
Bearish Engulfing With Tall Candles|Entity|IDT.US|16|0.75|46
Bearish Engulfing With Tall Candles|Entity|STAG.US|12|0.75|81
Bearish Engulfing With Tall Candles|Entity|SUP.US|19|0.7368421052631579|50
Bearish Engulfing With Tall Candles|Entity|DON.US|19|0.7368421052631579|175
Bearish Engulfing With Tall Candles|Entity|OVV.US|15|0.7333333333333333|15
Bearish Engulfing With Tall Candles|Entity|INSM.US|15|0.7333333333333333|15
Bearish Engulfing With Tall Candles|Entity|FWONK.US|15|0.7333333333333333|48
Bearish Engulfing With Tall Candles|Entity|CENTA.US|11|0.7272727272727273|44
Bearish Engulfing With Tall Candles|Entity|PSP.US|11|0.7272727272727273|56
Bearish Engulfing With Tall Candles|Entity|UVSP.US|11|0.7272727272727273|63
Bearish Engulfing With Tall Candles|Entity|CTRE.US|11|0.7272727272727273|74
Bearish Engulfing With Tall Candles|Entity|WPP.US|11|0.7272727272727273|77
Bearish Engulfing With Tall Candles|Entity|DXJ.US|11|0.7272727272727273|81
Bearish Engulfing With Tall Candles|Entity|DEO.US|11|0.7272727272727273|139
Bearish Engulfing With Tall Candles|Entity|REET.US|11|0.7272727272727273|159
Bearish Engulfing With Tall Candles|Entity|SJW.US|18|0.7222222222222222|87
Bearish Engulfing With Tall Candles|Entity|ENS.US|14|0.7142857142857143|38
Bearish Engulfing With Tall Candles|Entity|STRT.US|14|0.7142857142857143|40
Bearish Engulfing With Tall Candles|Entity|GEF-B.US|14|0.7142857142857143|80
Bearish Engulfing With Tall Candles|Sector|Financials|21|0.7142857142857143|205
Bearish Engulfing With Tall Candles|Entity|VIS.US|24|0.7083333333333334|82
Bearish Engulfing With Tall Candles|Entity|SPH.US|24|0.7083333333333334|105
Bearish Engulfing With Tall Candles|Entity|RCL.US|17|0.7058823529411765|38
Bearish Engulfing With Tall Candles|Entity|HTLF.US|17|0.7058823529411765|61
Bearish Engulfing With Tall Candles|Entity|NRT.US|17|0.7058823529411765|84
Bearish Engulfing With Tall Candles|Entity|WABC.US|27|0.7037037037037037|123
Bearish Engulfing With Tall Candles|Entity|FTK.US|10|0.7|10
Bearish Engulfing With Tall Candles|Entity|CYTK.US|10|0.7|11
Bearish Engulfing With Tall Candles|Entity|HROW.US|10|0.7|21
Bearish Engulfing With Tall Candles|Entity|GDOT.US|10|0.7|26
Bearish Engulfing With Tall Candles|Entity|HAYN.US|20|0.7|27
Bearish Engulfing With Tall Candles|Entity|MOV.US|10|0.7|32
Bearish Engulfing With Tall Candles|Entity|CLOU.US|10|0.7|34
Bearish Engulfing With Tall Candles|Entity|TS.US|10|0.7|35
Bearish Engulfing With Tall Candles|Entity|VVX.US|10|0.7|36
Bearish Engulfing With Tall Candles|Entity|TSAT.US|10|0.7|42
Bearish Engulfing With Tall Candles|Entity|VTRS.US|10|0.7|46
Bearish Engulfing With Tall Candles|Entity|CORR.US|10|0.7|52
Bearish Engulfing With Tall Candles|Entity|ACR.US|10|0.7|70
Bearish Engulfing With Tall Candles|Entity|IAI.US|20|0.7|106
Bearish Engulfing With Tall Candles|Entity|GSBD.US|10|0.7|162
Bearish Engulfing With Tall Candles|Entity|ENG.US|13|0.6923076923076923|7
Bearish Engulfing With Tall Candles|Entity|TBRG.US|13|0.6923076923076923|31
Bearish Engulfing With Tall Candles|Entity|SPMD.US|13|0.6923076923076923|117
Bearish Engulfing With Tall Candles|Entity|FREL.US|13|0.6923076923076923|132
Bearish Engulfing With Tall Candles|Industry|Investment Banking & Investment Services|13|0.6923076923076923|248
Bearish Engulfing With Tall Candles|Entity|PFF.US|13|0.6923076923076923|604
Bearish Engulfing With Tall Candles|Entity|GLW.US|16|0.6875|37
Bearish Engulfing With Tall Candles|Entity|TARO.US|16|0.6875|44
Bearish Engulfing With Tall Candles|Entity|ADBE.US|32|0.6875|51
Bearish Engulfing With Tall Candles|Entity|CNX.US|19|0.6842105263157895|25
Bearish Engulfing With Tall Candles|Entity|IVZ.US|19|0.6842105263157895|42
Bearish Engulfing With Tall Candles|Entity|CADE.US|19|0.6842105263157895|47
Bearish Engulfing With Tall Candles|Entity|AUB.US|19|0.6842105263157895|61
Bearish Engulfing With Tall Candles|Entity|OMEX.US|12|0.6666666666666666|5
Bearish Engulfing With Tall Candles|Entity|LABU.US|12|0.6666666666666666|6
Bearish Engulfing With Tall Candles|Entity|ASPS.US|21|0.6666666666666666|12
Bearish Engulfing With Tall Candles|Entity|VCEL.US|15|0.6666666666666666|13
Bearish Engulfing With Tall Candles|Entity|CYH.US|12|0.6666666666666666|13
Bearish Engulfing With Tall Candles|Entity|VECO.US|12|0.6666666666666666|20
Bearish Engulfing With Tall Candles|Entity|VSAT.US|15|0.6666666666666666|22
Bearish Engulfing With Tall Candles|Entity|SAVE.US|12|0.6666666666666666|23
Bearish Engulfing With Tall Candles|Entity|FARM.US|12|0.6666666666666666|24
Bearish Engulfing With Tall Candles|Entity|MLM.US|21|0.6666666666666666|47
Bearish Engulfing With Tall Candles|Entity|LHC-UN.US|12|0.6666666666666666|48
Bearish Engulfing With Tall Candles|Entity|LBTYA.US|15|0.6666666666666666|58
Bearish Engulfing With Tall Candles|Entity|OZK.US|15|0.6666666666666666|58
Bearish Engulfing With Tall Candles|Entity|IEP.US|21|0.6666666666666666|60
Bearish Engulfing With Tall Candles|Entity|IT.US|18|0.6666666666666666|67
Bearish Engulfing With Tall Candles|Entity|CWT.US|27|0.6666666666666666|67
Bearish Engulfing With Tall Candles|Entity|PBA.US|12|0.6666666666666666|67
Bearish Engulfing With Tall Candles|Entity|EPOL.US|12|0.6666666666666666|73
Bearish Engulfing With Tall Candles|Entity|CCBG.US|18|0.6666666666666666|83
Bearish Engulfing With Tall Candles|Entity|FFIC.US|12|0.6666666666666666|86
Bearish Engulfing With Tall Candles|Entity|BGR.US|24|0.6666666666666666|89
Bearish Engulfing With Tall Candles|Entity|USVM.US|12|0.6666666666666666|109
Bearish Engulfing With Tall Candles|Entity|JHI.US|15|0.6666666666666666|135
Bearish Engulfing With Tall Candles|Entity|ACWX.US|12|0.6666666666666666|161
Bearish Engulfing With Tall Candles|Entity|BLW.US|15|0.6666666666666666|205
Bearish Engulfing With Tall Candles|Entity|TVC.US|15|0.6666666666666666|464
Bearish Engulfing With Tall Candles|Entity|TNA.US|23|0.6521739130434783|16
