Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bearish Engulfing With Tall Candles,Industry,Insurance - Property & Casualty,20,0.75,57
Bearish Engulfing With Tall Candles,Industry,Packaging & Containers,19,0.6842105263157895,45
Bearish Engulfing With Tall Candles,Industry,Entertainment,17,0.6470588235294118,72
Bearish Engulfing With Tall Candles,Industry,Medical Distribution,11,0.6363636363636364,70
Bearish Engulfing With Tall Candles,Industry,Farm & Heavy Construction Machinery,25,0.6,20
Bearish Engulfing With Tall Candles,Industry,Electronic Components,15,0.6,23
Bearish Engulfing With Tall Candles,Industry,Asset Management,48,0.5833333333333334,113
Bearish Engulfing With Tall Candles,Industry,Packaged Foods,19,0.5789473684210527,35
Bearish Engulfing With Tall Candles,Industry,Oil & Gas E&P,33,0.5757575757575758,43
Bearish Engulfing With Tall Candles,Industry,Residential Construction,11,0.5454545454545454,16
Bearish Engulfing With Tall Candles,Industry,Real Estate Services,13,0.5384615384615384,38
Bearish Engulfing With Tall Candles,Industry,Utilities - Regulated Water,13,0.5384615384615384,54
Bearish Engulfing With Tall Candles,Industry,Beverages - Wineries & Distilleries,15,0.5333333333333333,91
Bearish Engulfing With Tall Candles,Industry,REIT - Office,19,0.5263157894736842,75
Bearish Engulfing With Tall Candles,Sector,Consumer Defensive,118,0.5254237288135594,58
Bearish Engulfing With Tall Candles,Industry,Semiconductors,23,0.5217391304347826,20
Bearish Engulfing With Tall Candles,Industry,Semiconductor Equipment & Materials,14,0.5,6
Bearish Engulfing With Tall Candles,Entity,AZZ.US,10,0.5,19
Bearish Engulfing With Tall Candles,Industry,Beverages - Non-Alcoholic,12,0.5,25
Bearish Engulfing With Tall Candles,Industry,Electrical Equipment & Parts,12,0.5,41
Bearish Engulfing With Tall Candles,Industry,Medical Devices,50,0.5,45
Bearish Engulfing With Tall Candles,Industry,Healthcare Plans,18,0.5,45
Bearish Engulfing With Tall Candles,Industry,Utilities - Diversified,16,0.5,79
Bearish Engulfing With Tall Candles,Industry,Biotechnology,55,0.4909090909090909,13
Bearish Engulfing With Tall Candles,Industry,Software - Infrastructure,31,0.4838709677419355,38
Bearish Engulfing With Tall Candles,Industry,REIT - Retail,25,0.48,75
Bearish Engulfing With Tall Candles,Sector,Healthcare,272,0.46691176470588236,37
Bearish Engulfing With Tall Candles,Industry,Furnishings, Fixtures & Appliances,15,0.4666666666666667,14
Bearish Engulfing With Tall Candles,Industry,Building Products & Equipment,15,0.4666666666666667,71
