Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|Electrical Equipment & Parts|12|0.8333333333333334|32
Bearish Engulfing With Tall Candles|Industry|Oil & Gas E&P|30|0.7333333333333333|51
Bearish Engulfing With Tall Candles|Industry|Integrated Freight & Logistics|11|0.7272727272727273|45
Bearish Engulfing With Tall Candles|Industry|Healthcare Plans|13|0.6923076923076923|60
Bearish Engulfing With Tall Candles|Industry|Software - Infrastructure|26|0.6538461538461539|41
Bearish Engulfing With Tall Candles|Industry|Electronic Components|23|0.6521739130434783|32
Bearish Engulfing With Tall Candles|Industry|Beverages - Non-Alcoholic|20|0.6|60
Bearish Engulfing With Tall Candles|Entity|PKB.US|12|0.5833333333333334|115
Bearish Engulfing With Tall Candles|Industry|Oil & Gas Equipment & Services|14|0.5714285714285714|34
Bearish Engulfing With Tall Candles|Industry|Auto & Truck Dealerships|14|0.5714285714285714|38
Bearish Engulfing With Tall Candles|Industry|Medical Devices|28|0.5714285714285714|54
Bearish Engulfing With Tall Candles|Industry|Asset Management|66|0.5606060606060606|149
Bearish Engulfing With Tall Candles|Entity|XSD.US|11|0.5454545454545454|46
Bearish Engulfing With Tall Candles|Industry|REIT - Industrial|11|0.5454545454545454|81
Bearish Engulfing With Tall Candles|Entity|XLB.US|11|0.5454545454545454|87
Bearish Engulfing With Tall Candles|Industry|Packaging & Containers|11|0.5454545454545454|100
Bearish Engulfing With Tall Candles|Entity|XLY.US|11|0.5454545454545454|114
Bearish Engulfing With Tall Candles|Entity|RFV.US|11|0.5454545454545454|155
Bearish Engulfing With Tall Candles|Industry|Apparel Retail|23|0.5217391304347826|28
Bearish Engulfing With Tall Candles|Industry|Communication Equipment|14|0.5|16
Bearish Engulfing With Tall Candles|Industry|Biotechnology|64|0.5|16
Bearish Engulfing With Tall Candles|Industry|Entertainment|14|0.5|19
Bearish Engulfing With Tall Candles|Sector|Energy|84|0.5|43
Bearish Engulfing With Tall Candles|Industry|Packaged Foods|14|0.5|44
Bearish Engulfing With Tall Candles|Entity|ALE.US|10|0.5|59
Bearish Engulfing With Tall Candles|Entity|SUSA.US|10|0.5|128
Bearish Engulfing With Tall Candles|Industry|Information Technology Services|35|0.4857142857142857|34
Bearish Engulfing With Tall Candles|Industry|Aerospace & Defense|33|0.48484848484848486|34
Bearish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|33|0.48484848484848486|105
Bearish Engulfing With Tall Candles|Sector|Healthcare|226|0.4823008849557522|40
Bearish Engulfing With Tall Candles|Industry|Insurance - Property & Casualty|27|0.48148148148148145|76
Bearish Engulfing With Tall Candles|Industry|Credit Services|21|0.47619047619047616|39
Bearish Engulfing With Tall Candles|Industry|Specialty Retail|21|0.47619047619047616|51
Bearish Engulfing With Tall Candles|Sector|Consumer Defensive|104|0.47115384615384615|67
Bearish Engulfing With Tall Candles|Industry|Specialty Chemicals|32|0.46875|59
Bearish Engulfing With Tall Candles|Entity|IGM.US|15|0.4666666666666667|107
Bearish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|43|0.46511627906976744|44
