Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|SERVICES-PREPACKAGED SOFTWARE|12|0.5833333333333334|61
Bearish Engulfing With Tall Candles|Industry|PHARMACEUTICAL PREPARATIONS|20|0.55|11
Bearish Engulfing With Tall Candles|Industry|REAL ESTATE INVESTMENT TRUSTS|51|0.5294117647058824|100
Bearish Engulfing With Tall Candles|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|14|0.5|39
Bearish Engulfing With Tall Candles|Overall|All|1179|0.46988973706530957|84
Bearish Engulfing With Tall Candles|Industry|INVESTMENT ADVICE|11|0.36363636363636365|32
Bearish Engulfing With Tall Candles|Industry|NATIONAL COMMERCIAL BANKS|25|0.36|47
Bearish Engulfing With Tall Candles|Industry|STATE COMMERCIAL BANKS|41|0.3170731707317073|61
Bearish Engulfing With Tall Candles|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|20|0.25|56
Bearish Engulfing With Tall Candles|Industry|RETAIL-EATING PLACES|13|0.23076923076923078|49
Bearish Engulfing With Tall Candles|Industry|FIRE, MARINE & CASUALTY INSURANCE|17|0.17647058823529413|216
