Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|Asset Management|21|0.6666666666666666|400
Bearish Engulfing With Tall Candles|Industry|Oil & Gas E&P|19|0.5789473684210527|139
Bearish Engulfing With Tall Candles|Industry|REIT - Retail|11|0.5454545454545454|224
Bearish Engulfing With Tall Candles|Industry|Biotechnology|28|0.5357142857142857|43
Bearish Engulfing With Tall Candles|Industry|Electronic Components|10|0.5|63
Bearish Engulfing With Tall Candles|Industry|Software - Infrastructure|10|0.5|84
Bearish Engulfing With Tall Candles|Industry|Scientific & Technical Instruments|11|0.45454545454545453|105
Bearish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|27|0.4444444444444444|149
Bearish Engulfing With Tall Candles|Industry|Specialty Retail|16|0.4375|197
Bearish Engulfing With Tall Candles|Sector|Technology|99|0.42424242424242425|94
Bearish Engulfing With Tall Candles|Sector|Basic Materials|46|0.41304347826086957|168
Bearish Engulfing With Tall Candles|Industry|Diagnostics & Research|15|0.4|67
Bearish Engulfing With Tall Candles|Industry|Apparel Retail|15|0.4|254
Bearish Engulfing With Tall Candles|Sector|Real Estate|67|0.3880597014925373|205
Bearish Engulfing With Tall Candles|Sector|Healthcare|113|0.3805309734513274|62
Bearish Engulfing With Tall Candles|Industry|Software - Application|29|0.3793103448275862|102
Bearish Engulfing With Tall Candles|Sector|Financial Services|196|0.3673469387755102|265
Bearish Engulfing With Tall Candles|Industry|Farm & Heavy Construction Machinery|11|0.36363636363636365|114
Bearish Engulfing With Tall Candles|Sector|Consumer Cyclical|119|0.36134453781512604|128
Bearish Engulfing With Tall Candles|Industry|Medical Devices|14|0.35714285714285715|117
Bearish Engulfing With Tall Candles|Industry|Banks - Regional|118|0.3559322033898305|277
Bearish Engulfing With Tall Candles|Sector|Energy|57|0.3508771929824561|117
Bearish Engulfing With Tall Candles|Overall|All|3120|0.34455128205128205|207
Bearish Engulfing With Tall Candles|Sector|Industrials|156|0.33974358974358976|150
Bearish Engulfing With Tall Candles|Sector|Consumer Defensive|56|0.3392857142857143|151
Bearish Engulfing With Tall Candles|Industry|Restaurants|12|0.3333333333333333|55
Bearish Engulfing With Tall Candles|Industry|Specialty Chemicals|24|0.3333333333333333|237
Bearish Engulfing With Tall Candles|Industry|Medical Instruments & Supplies|16|0.3125|57
Bearish Engulfing With Tall Candles|Industry|Information Technology Services|16|0.3125|111
Bearish Engulfing With Tall Candles|Industry|Drug Manufacturers - Specialty & Generic|13|0.3076923076923077|36
Bearish Engulfing With Tall Candles|Industry|Auto Parts|13|0.3076923076923077|85
Bearish Engulfing With Tall Candles|Industry|Specialty Business Services|13|0.3076923076923077|172
Bearish Engulfing With Tall Candles|Industry|REIT - Residential|13|0.3076923076923077|262
Bearish Engulfing With Tall Candles|Industry|Insurance - Specialty|10|0.3|172
Bearish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|20|0.3|262
Bearish Engulfing With Tall Candles|Industry|Engineering & Construction|11|0.2727272727272727|47
Bearish Engulfing With Tall Candles|Industry|Aerospace & Defense|15|0.26666666666666666|53
Bearish Engulfing With Tall Candles|Sector|Communication Services|32|0.25|54
Bearish Engulfing With Tall Candles|Industry|Oil & Gas Midstream|12|0.25|92
Bearish Engulfing With Tall Candles|Sector|Utilities|40|0.25|228
Bearish Engulfing With Tall Candles|Industry|Telecom Services|12|0.16666666666666666|60
Bearish Engulfing With Tall Candles|Industry|Credit Services|12|0.08333333333333333|113
