Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|Other|10|0.8|476
Bearish Engulfing With Tall Candles|Sector|Other|10|0.8|476
Bearish Engulfing With Tall Candles|Sector|Financials|15|0.7333333333333333|234
Bearish Engulfing With Tall Candles|Entity|CCBG.US|11|0.7272727272727273|66
Bearish Engulfing With Tall Candles|Entity|DGT.US|11|0.7272727272727273|142
Bearish Engulfing With Tall Candles|Industry|Electronic Gaming & Multimedia|10|0.7|10
Bearish Engulfing With Tall Candles|Industry|Electronic Components|30|0.7|32
Bearish Engulfing With Tall Candles|Entity|LEE.US|10|0.7|50
Bearish Engulfing With Tall Candles|Industry|Education & Training Services|13|0.6923076923076923|19
Bearish Engulfing With Tall Candles|Industry|Capital Markets|14|0.6428571428571429|10
Bearish Engulfing With Tall Candles|Industry|Oil & Gas E&P|47|0.6382978723404256|42
Bearish Engulfing With Tall Candles|Entity|EQWL.US|11|0.6363636363636364|60
Bearish Engulfing With Tall Candles|Industry|Healthcare Plans|18|0.6111111111111112|73
Bearish Engulfing With Tall Candles|Industry|Electrical Equipment & Parts|23|0.6086956521739131|29
Bearish Engulfing With Tall Candles|Industry|Electronics & Computer Distribution|10|0.6|31
Bearish Engulfing With Tall Candles|Industry|Integrated Freight & Logistics|20|0.6|40
Bearish Engulfing With Tall Candles|Entity|BFS.US|10|0.6|65
Bearish Engulfing With Tall Candles|Entity|PFM.US|10|0.6|148
Bearish Engulfing With Tall Candles|Industry|Software - Infrastructure|44|0.5909090909090909|38
Bearish Engulfing With Tall Candles|Industry|Semiconductors|17|0.5882352941176471|21
Bearish Engulfing With Tall Candles|Entity|XSD.US|12|0.5833333333333334|43
Bearish Engulfing With Tall Candles|Industry|Drug Manufacturers - General|12|0.5833333333333334|91
Bearish Engulfing With Tall Candles|Entity|IJK.US|12|0.5833333333333334|93
Bearish Engulfing With Tall Candles|Industry|Oil & Gas Equipment & Services|26|0.5769230769230769|27
Bearish Engulfing With Tall Candles|Entity|XLY.US|14|0.5714285714285714|97
Bearish Engulfing With Tall Candles|Industry|REIT - Mortgage|18|0.5555555555555556|112
Bearish Engulfing With Tall Candles|Entity|PKB.US|20|0.55|102
Bearish Engulfing With Tall Candles|Industry|Communication Equipment|22|0.5454545454545454|22
Bearish Engulfing With Tall Candles|Industry|Airlines|11|0.5454545454545454|41
Bearish Engulfing With Tall Candles|Industry|Chemicals|11|0.5454545454545454|42
Bearish Engulfing With Tall Candles|Entity|EWK.US|11|0.5454545454545454|119
Bearish Engulfing With Tall Candles|Entity|FNX.US|11|0.5454545454545454|134
Bearish Engulfing With Tall Candles|Industry|Resorts & Casinos|13|0.5384615384615384|27
Bearish Engulfing With Tall Candles|Entity|XLB.US|13|0.5384615384615384|88
Bearish Engulfing With Tall Candles|Industry|Packaged Foods|28|0.5357142857142857|39
Bearish Engulfing With Tall Candles|Entity|RFV.US|15|0.5333333333333333|165
Bearish Engulfing With Tall Candles|Industry|Biotechnology|137|0.5328467153284672|12
Bearish Engulfing With Tall Candles|Industry|Specialty Retail|32|0.53125|39
Bearish Engulfing With Tall Candles|Industry|Packaging & Containers|19|0.5263157894736842|75
Bearish Engulfing With Tall Candles|Sector|Energy|135|0.5185185185185185|37
Bearish Engulfing With Tall Candles|Industry|Asset Management|108|0.5185185185185185|121
Bearish Engulfing With Tall Candles|Industry|Internet Retail|12|0.5|8
Bearish Engulfing With Tall Candles|Industry|Gold|12|0.5|9
Bearish Engulfing With Tall Candles|Industry|Metal Fabrication|14|0.5|19
Bearish Engulfing With Tall Candles|Industry|Marine Shipping|10|0.5|27
Bearish Engulfing With Tall Candles|Industry|Entertainment|26|0.5|28
Bearish Engulfing With Tall Candles|Industry|Auto & Truck Dealerships|20|0.5|35
Bearish Engulfing With Tall Candles|Industry|Discount Stores|10|0.5|41
Bearish Engulfing With Tall Candles|Industry|Beverages - Non-Alcoholic|30|0.5|57
Bearish Engulfing With Tall Candles|Entity|IXC.US|10|0.5|66
Bearish Engulfing With Tall Candles|Entity|JKG.US|18|0.5|68
Bearish Engulfing With Tall Candles|Entity|IMCB.US|18|0.5|68
Bearish Engulfing With Tall Candles|Entity|FNY.US|10|0.5|91
Bearish Engulfing With Tall Candles|Industry|Utilities - Diversified|14|0.5|93
Bearish Engulfing With Tall Candles|Entity|RXI.US|12|0.5|93
Bearish Engulfing With Tall Candles|Entity|ALE.US|12|0.5|95
Bearish Engulfing With Tall Candles|Entity|IXN.US|10|0.5|104
Bearish Engulfing With Tall Candles|Entity|XPH.US|12|0.5|106
Bearish Engulfing With Tall Candles|Entity|RGI.US|14|0.5|111
Bearish Engulfing With Tall Candles|Entity|PEJ.US|10|0.5|121
Bearish Engulfing With Tall Candles|Industry|Utilities - Regulated Water|10|0.5|125
Bearish Engulfing With Tall Candles|Entity|XLV.US|10|0.5|142
Bearish Engulfing With Tall Candles|Entity|RSPM.US|12|0.5|167
