Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|Asset Management|14|0.7857142857142857|118
Bearish Engulfing With Tall Candles|Industry|Medical Devices|12|0.75|24
Bearish Engulfing With Tall Candles|Industry|Apparel Retail|11|0.6363636363636364|25
Bearish Engulfing With Tall Candles|Sector|Industrials|83|0.5180722891566265|32
Bearish Engulfing With Tall Candles|Sector|Technology|51|0.5098039215686274|28
Bearish Engulfing With Tall Candles|Industry|Information Technology Services|10|0.5|28
Bearish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|12|0.5|40
Bearish Engulfing With Tall Candles|Industry|REIT - Residential|12|0.5|76
Bearish Engulfing With Tall Candles|Sector|Healthcare|87|0.4827586206896552|37
Bearish Engulfing With Tall Candles|Sector|Real Estate|52|0.4807692307692308|70
Bearish Engulfing With Tall Candles|Sector|Consumer Defensive|38|0.47368421052631576|61
Bearish Engulfing With Tall Candles|Sector|Communication Services|13|0.46153846153846156|24
Bearish Engulfing With Tall Candles|Industry|REIT - Retail|13|0.46153846153846156|40
Bearish Engulfing With Tall Candles|Industry|Oil & Gas E&P|13|0.46153846153846156|50
Bearish Engulfing With Tall Candles|Sector|Energy|35|0.45714285714285713|28
Bearish Engulfing With Tall Candles|Sector|Consumer Cyclical|69|0.4492753623188406|34
Bearish Engulfing With Tall Candles|Overall|All|1744|0.4426605504587156|97
Bearish Engulfing With Tall Candles|Industry|Biotechnology|20|0.4|6
Bearish Engulfing With Tall Candles|Industry|Software - Application|10|0.4|18
Bearish Engulfing With Tall Candles|Sector|Financial Services|128|0.390625|66
Bearish Engulfing With Tall Candles|Industry|Drug Manufacturers - General|11|0.36363636363636365|64
Bearish Engulfing With Tall Candles|Industry|Banks - Regional|78|0.34615384615384615|51
Bearish Engulfing With Tall Candles|Sector|Basic Materials|26|0.34615384615384615|66
Bearish Engulfing With Tall Candles|Sector|Utilities|38|0.3157894736842105|95
Bearish Engulfing With Tall Candles|Industry|Drug Manufacturers - Specialty & Generic|10|0.3|31
Bearish Engulfing With Tall Candles|Industry|Insurance - Diversified|15|0.26666666666666666|60
Bearish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|18|0.2222222222222222|66
