Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Entity|BIG.US|14|0.8571428571428571|125
Bearish Engulfing With Tall Candles|Entity|NSIT.US|11|0.8181818181818182|179
Bearish Engulfing With Tall Candles|Entity|HUBG.US|10|0.8|116
Bearish Engulfing With Tall Candles|Entity|URI.US|11|0.7272727272727273|139
Bearish Engulfing With Tall Candles|Entity|ASA.US|14|0.7142857142857143|188
Bearish Engulfing With Tall Candles|Entity|JCI.US|10|0.7|182
Bearish Engulfing With Tall Candles|Entity|CLH.US|10|0.7|184
Bearish Engulfing With Tall Candles|Entity|RGA.US|10|0.7|216
Bearish Engulfing With Tall Candles|Entity|CMA.US|10|0.7|286
Bearish Engulfing With Tall Candles|Entity|PCH.US|10|0.7|325
Bearish Engulfing With Tall Candles|Entity|LKFN.US|10|0.7|427
Bearish Engulfing With Tall Candles|Entity|LGND.US|12|0.6666666666666666|28
Bearish Engulfing With Tall Candles|Entity|ARCB.US|12|0.6666666666666666|102
Bearish Engulfing With Tall Candles|Industry|Trucking|17|0.6470588235294118|143
Bearish Engulfing With Tall Candles|Industry|REIT - Mortgage|17|0.6470588235294118|398
Bearish Engulfing With Tall Candles|Entity|MDC.US|14|0.6428571428571429|138
Bearish Engulfing With Tall Candles|Entity|CRK.US|11|0.6363636363636364|51
Bearish Engulfing With Tall Candles|Entity|UFI.US|11|0.6363636363636364|57
Bearish Engulfing With Tall Candles|Entity|BEN.US|11|0.6363636363636364|73
Bearish Engulfing With Tall Candles|Entity|TECL.US|11|0.6363636363636364|78
Bearish Engulfing With Tall Candles|Entity|USNA.US|11|0.6363636363636364|118
Bearish Engulfing With Tall Candles|Entity|DRI.US|11|0.6363636363636364|169
Bearish Engulfing With Tall Candles|Entity|SMP.US|11|0.6363636363636364|216
Bearish Engulfing With Tall Candles|Entity|STT.US|11|0.6363636363636364|335
Bearish Engulfing With Tall Candles|Entity|EFX.US|16|0.625|170
Bearish Engulfing With Tall Candles|Entity|WMS.US|16|0.625|178
Bearish Engulfing With Tall Candles|Entity|PTC.US|13|0.6153846153846154|80
Bearish Engulfing With Tall Candles|Entity|TARO.US|13|0.6153846153846154|163
Bearish Engulfing With Tall Candles|Entity|LEG.US|13|0.6153846153846154|293
Bearish Engulfing With Tall Candles|Entity|CINF.US|13|0.6153846153846154|319
Bearish Engulfing With Tall Candles|Entity|JWN.US|10|0.6|41
Bearish Engulfing With Tall Candles|Entity|IONS.US|10|0.6|67
Bearish Engulfing With Tall Candles|Entity|AEM.US|15|0.6|71
Bearish Engulfing With Tall Candles|Entity|AMWD.US|10|0.6|110
Bearish Engulfing With Tall Candles|Entity|OMC.US|10|0.6|114
Bearish Engulfing With Tall Candles|Entity|FHN.US|10|0.6|132
Bearish Engulfing With Tall Candles|Entity|PTH.US|10|0.6|158
Bearish Engulfing With Tall Candles|Entity|WHR.US|10|0.6|228
Bearish Engulfing With Tall Candles|Entity|PNM.US|10|0.6|429
Bearish Engulfing With Tall Candles|Entity|AKR.US|10|0.6|582
Bearish Engulfing With Tall Candles|Entity|VZ.US|10|0.6|1024
Bearish Engulfing With Tall Candles|Entity|SAIA.US|12|0.5833333333333334|79
Bearish Engulfing With Tall Candles|Entity|KMT.US|12|0.5833333333333334|88
Bearish Engulfing With Tall Candles|Entity|VTR.US|12|0.5833333333333334|135
Bearish Engulfing With Tall Candles|Entity|TEVA.US|12|0.5833333333333334|198
Bearish Engulfing With Tall Candles|Entity|EXPD.US|12|0.5833333333333334|200
Bearish Engulfing With Tall Candles|Entity|NHI.US|12|0.5833333333333334|291
Bearish Engulfing With Tall Candles|Entity|CBRL.US|12|0.5833333333333334|313
Bearish Engulfing With Tall Candles|Entity|CAT.US|19|0.5789473684210527|145
Bearish Engulfing With Tall Candles|Industry|Entertainment|38|0.5789473684210527|180
Bearish Engulfing With Tall Candles|Entity|RNR.US|14|0.5714285714285714|256
Bearish Engulfing With Tall Candles|Entity|YORW.US|14|0.5714285714285714|310
Bearish Engulfing With Tall Candles|Entity|PHM.US|16|0.5625|174
Bearish Engulfing With Tall Candles|Industry|Farm & Heavy Construction Machinery|70|0.5571428571428572|131
Bearish Engulfing With Tall Candles|Industry|Travel Services|18|0.5555555555555556|180
Bearish Engulfing With Tall Candles|Industry|Asset Management|141|0.5460992907801419|311
Bearish Engulfing With Tall Candles|Entity|CCJ.US|11|0.5454545454545454|45
Bearish Engulfing With Tall Candles|Industry|Uranium|11|0.5454545454545454|45
Bearish Engulfing With Tall Candles|Entity|MU.US|11|0.5454545454545454|51
Bearish Engulfing With Tall Candles|Industry|Footwear & Accessories|22|0.5454545454545454|79
Bearish Engulfing With Tall Candles|Entity|MLKN.US|11|0.5454545454545454|87
Bearish Engulfing With Tall Candles|Entity|DOC.US|11|0.5454545454545454|105
Bearish Engulfing With Tall Candles|Entity|MAT.US|11|0.5454545454545454|121
Bearish Engulfing With Tall Candles|Entity|DIOD.US|11|0.5454545454545454|138
Bearish Engulfing With Tall Candles|Entity|STE.US|11|0.5454545454545454|160
Bearish Engulfing With Tall Candles|Entity|XRAY.US|11|0.5454545454545454|216
Bearish Engulfing With Tall Candles|Entity|RRX.US|11|0.5454545454545454|512
Bearish Engulfing With Tall Candles|Industry|Electronic Gaming & Multimedia|24|0.5416666666666666|74
Bearish Engulfing With Tall Candles|Industry|Integrated Freight & Logistics|48|0.5416666666666666|203
Bearish Engulfing With Tall Candles|Entity|RGLD.US|13|0.5384615384615384|89
Bearish Engulfing With Tall Candles|Entity|GPS.US|13|0.5384615384615384|96
Bearish Engulfing With Tall Candles|Entity|WGO.US|13|0.5384615384615384|100
Bearish Engulfing With Tall Candles|Entity|QLD.US|13|0.5384615384615384|101
Bearish Engulfing With Tall Candles|Entity|CBU.US|13|0.5384615384615384|305
Bearish Engulfing With Tall Candles|Entity|FUL.US|13|0.5384615384615384|306
Bearish Engulfing With Tall Candles|Entity|EA.US|15|0.5333333333333333|110
Bearish Engulfing With Tall Candles|Entity|SXT.US|15|0.5333333333333333|341
Bearish Engulfing With Tall Candles|Industry|Metal Fabrication|17|0.5294117647058824|77
Bearish Engulfing With Tall Candles|Industry|Medical Distribution|36|0.5277777777777778|274
Bearish Engulfing With Tall Candles|Entity|VLO.US|19|0.5263157894736842|132
Bearish Engulfing With Tall Candles|Industry|REIT - Retail|57|0.5263157894736842|335
Bearish Engulfing With Tall Candles|Industry|Farm Products|21|0.5238095238095238|208
Bearish Engulfing With Tall Candles|Entity|SSYS.US|10|0.5|54
Bearish Engulfing With Tall Candles|Industry|Other Industrial Metals & Mining|12|0.5|71
Bearish Engulfing With Tall Candles|Entity|ANSS.US|16|0.5|81
Bearish Engulfing With Tall Candles|Entity|DECK.US|12|0.5|88
Bearish Engulfing With Tall Candles|Entity|UDOW.US|10|0.5|89
Bearish Engulfing With Tall Candles|Entity|BBSI.US|12|0.5|89
