Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Industry|RAILROADS, LINE-HAUL OPERATING|11|0.7272727272727273|249
Bearish Engulfing|Industry|PETROLEUM REFINING|26|0.6153846153846154|102
Bearish Engulfing|Industry|PIPE LINES (NO NATURAL GAS)|10|0.6|150
Bearish Engulfing|Industry|TRUCKING (NO LOCAL)|25|0.6|167
Bearish Engulfing|Industry|CRUDE PETROLEUM & NATURAL GAS|40|0.55|91
Bearish Engulfing|Industry|SERVICES-ENGINEERING SERVICES|11|0.5454545454545454|125
Bearish Engulfing|Industry|PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS|11|0.5454545454545454|136
Bearish Engulfing|Industry|RETAIL-VARIETY STORES|24|0.5416666666666666|154
Bearish Engulfing|Industry|INVESTMENT ADVICE|45|0.5333333333333333|220
Bearish Engulfing|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|26|0.5|176
Bearish Engulfing|Industry|WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES|10|0.5|337
Bearish Engulfing|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|31|0.4838709677419355|104
Bearish Engulfing|Industry|AIR TRANSPORTATION, SCHEDULED|23|0.4782608695652174|100
Bearish Engulfing|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|17|0.47058823529411764|169
Bearish Engulfing|Industry|NATURAL GAS TRANSMISSION|15|0.4666666666666667|132
Bearish Engulfing|Industry|CONSTRUCTION MACHINERY & EQUIP|13|0.46153846153846156|92
Bearish Engulfing|Industry|LIFE INSURANCE|13|0.46153846153846156|379
Bearish Engulfing|Industry|SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.|20|0.45|93
Bearish Engulfing|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|16|0.4375|238
Bearish Engulfing|Industry|CABLE & OTHER PAY TELEVISION SERVICES|23|0.43478260869565216|143
Bearish Engulfing|Industry|PHARMACEUTICAL PREPARATIONS|130|0.4230769230769231|65
Bearish Engulfing|Industry|COMPUTER COMMUNICATIONS EQUIPMENT|10|0.4|223
Bearish Engulfing|Industry|PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS|18|0.3888888888888889|115
Bearish Engulfing|Industry|REAL ESTATE|13|0.38461538461538464|260
Bearish Engulfing|Industry|RETAIL-RETAIL STORES, NEC|14|0.35714285714285715|110
Bearish Engulfing|Industry|SEMICONDUCTORS & RELATED DEVICES|48|0.3541666666666667|82
Bearish Engulfing|Industry|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)|27|0.3333333333333333|43
Bearish Engulfing|Industry|SERVICES-MANAGEMENT CONSULTING SERVICES|21|0.3333333333333333|105
Bearish Engulfing|Industry|SERVICES-BUSINESS SERVICES, NEC|45|0.3333333333333333|123
Bearish Engulfing|Industry|SERVICES-AUTO RENTAL & LEASING (NO DRIVERS)|15|0.3333333333333333|201
Bearish Engulfing|Industry|RETAIL-EATING PLACES|62|0.3225806451612903|150
Bearish Engulfing|Overall|All|5287|0.3171931151881975|162
Bearish Engulfing|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|19|0.3157894736842105|136
Bearish Engulfing|Industry|MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS|16|0.3125|149
Bearish Engulfing|Industry|PRINTED CIRCUIT BOARDS|13|0.3076923076923077|146
Bearish Engulfing|Industry|APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL|10|0.3|140
Bearish Engulfing|Industry|OPERATIVE BUILDERS|20|0.3|189
Bearish Engulfing|Industry|SERVICES-PREPACKAGED SOFTWARE|77|0.2987012987012987|107
Bearish Engulfing|Industry|WATER TRANSPORTATION|17|0.29411764705882354|85
Bearish Engulfing|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|22|0.2727272727272727|186
Bearish Engulfing|Industry|ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO|11|0.2727272727272727|342
Bearish Engulfing|Industry|HOTELS & MOTELS|19|0.2631578947368421|110
Bearish Engulfing|Industry|RETAIL-GROCERY STORES|12|0.25|85
Bearish Engulfing|Industry|BITUMINOUS COAL & LIGNITE SURFACE MINING|12|0.25|138
Bearish Engulfing|Industry|MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)|12|0.25|191
Bearish Engulfing|Industry|INDUSTRIAL ORGANIC CHEMICALS|12|0.25|233
Bearish Engulfing|Industry|RETAIL-FAMILY CLOTHING STORES|17|0.23529411764705882|110
Bearish Engulfing|Industry|SERVICES-COMPUTER PROCESSING & DATA PREPARATION|17|0.23529411764705882|135
Bearish Engulfing|Industry|REAL ESTATE INVESTMENT TRUSTS|245|0.23265306122448978|240
