Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Industry|Electrical Equipment & Parts|13|0.7692307692307693|32
Bearish Engulfing|Industry|Oil & Gas E&P|30|0.7333333333333333|51
Bearish Engulfing|Industry|Integrated Freight & Logistics|11|0.7272727272727273|45
Bearish Engulfing|Industry|Healthcare Plans|13|0.6923076923076923|60
Bearish Engulfing|Industry|Software - Infrastructure|26|0.6538461538461539|41
Bearish Engulfing|Industry|Electronic Components|23|0.6521739130434783|32
Bearish Engulfing|Industry|Beverages - Non-Alcoholic|20|0.6|60
Bearish Engulfing|Industry|Medical Devices|29|0.5862068965517241|51
Bearish Engulfing|Entity|PKB.US|12|0.5833333333333334|115
Bearish Engulfing|Industry|Oil & Gas Equipment & Services|14|0.5714285714285714|34
Bearish Engulfing|Industry|Auto & Truck Dealerships|14|0.5714285714285714|38
Bearish Engulfing|Industry|Asset Management|67|0.5671641791044776|146
Bearish Engulfing|Entity|XSD.US|11|0.5454545454545454|46
Bearish Engulfing|Industry|REIT - Industrial|11|0.5454545454545454|81
Bearish Engulfing|Entity|XLB.US|11|0.5454545454545454|87
Bearish Engulfing|Industry|Packaging & Containers|11|0.5454545454545454|100
Bearish Engulfing|Entity|XLY.US|11|0.5454545454545454|114
Bearish Engulfing|Entity|RFV.US|11|0.5454545454545454|155
Bearish Engulfing|Industry|Communication Equipment|15|0.5333333333333333|16
Bearish Engulfing|Industry|Apparel Retail|23|0.5217391304347826|28
Bearish Engulfing|Industry|Entertainment|14|0.5|19
Bearish Engulfing|Industry|Information Technology Services|36|0.5|32
Bearish Engulfing|Sector|Energy|84|0.5|43
Bearish Engulfing|Industry|Packaged Foods|14|0.5|44
Bearish Engulfing|Entity|ALE.US|10|0.5|59
Bearish Engulfing|Entity|SUSA.US|10|0.5|128
Bearish Engulfing|Industry|Aerospace & Defense|33|0.48484848484848486|34
Bearish Engulfing|Industry|Utilities - Regulated Electric|33|0.48484848484848486|105
Bearish Engulfing|Industry|Insurance - Property & Casualty|27|0.48148148148148145|76
Bearish Engulfing|Sector|Healthcare|233|0.48068669527896996|39
