Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Sector|Financials|11|0.8181818181818182|248
Bearish Engulfing|Industry|Resorts & Casinos|10|0.7|27
Bearish Engulfing|Entity|IJK.US|10|0.7|93
Bearish Engulfing|Industry|Electrical Equipment & Parts|18|0.6666666666666666|31
Bearish Engulfing|Industry|Healthcare Plans|15|0.6666666666666666|79
Bearish Engulfing|Industry|Electronic Components|26|0.6538461538461539|34
Bearish Engulfing|Industry|Oil & Gas E&P|36|0.6388888888888888|51
Bearish Engulfing|Industry|Semiconductors|11|0.6363636363636364|19
Bearish Engulfing|Industry|Software - Infrastructure|33|0.6363636363636364|44
Bearish Engulfing|Industry|Oil & Gas Equipment & Services|19|0.631578947368421|28
Bearish Engulfing|Industry|Communication Equipment|18|0.6111111111111112|28
Bearish Engulfing|Industry|Electronic Gaming & Multimedia|10|0.6|11
Bearish Engulfing|Industry|Drug Manufacturers - General|10|0.6|103
Bearish Engulfing|Entity|FNX.US|10|0.6|134
Bearish Engulfing|Entity|XSD.US|12|0.5833333333333334|43
Bearish Engulfing|Entity|RGI.US|12|0.5833333333333334|111
Bearish Engulfing|Industry|Asset Management|81|0.5679012345679012|134
Bearish Engulfing|Entity|ALE.US|11|0.5454545454545454|95
Bearish Engulfing|Entity|USRT.US|11|0.5454545454545454|132
Bearish Engulfing|Entity|XLY.US|13|0.5384615384615384|103
Bearish Engulfing|Entity|PKB.US|15|0.5333333333333333|125
Bearish Engulfing|Industry|Integrated Freight & Logistics|17|0.5294117647058824|46
Bearish Engulfing|Sector|Energy|105|0.5142857142857142|41
Bearish Engulfing|Industry|Biotechnology|88|0.5113636363636364|13
Bearish Engulfing|Industry|Farm & Heavy Construction Machinery|24|0.5|20
Bearish Engulfing|Industry|Auto & Truck Dealerships|16|0.5|38
Bearish Engulfing|Industry|Beverages - Non-Alcoholic|24|0.5|60
Bearish Engulfing|Industry|REIT - Mortgage|14|0.5|83
Bearish Engulfing|Entity|XLB.US|12|0.5|87
Bearish Engulfing|Industry|Packaging & Containers|16|0.5|88
Bearish Engulfing|Industry|Utilities - Diversified|12|0.5|95
Bearish Engulfing|Entity|IXN.US|10|0.5|104
Bearish Engulfing|Entity|PEJ.US|10|0.5|121
Bearish Engulfing|Entity|SPY.US|10|0.5|125
Bearish Engulfing|Entity|SUSA.US|12|0.5|126
Bearish Engulfing|Entity|EVX.US|10|0.5|129
Bearish Engulfing|Entity|RFV.US|14|0.5|175
Bearish Engulfing|Industry|Aerospace & Defense|41|0.4878048780487805|30
Bearish Engulfing|Industry|Medical Devices|37|0.4864864864864865|49
Bearish Engulfing|Industry|Engineering & Construction|29|0.4827586206896552|28
Bearish Engulfing|Industry|Apparel Retail|25|0.48|28
Bearish Engulfing|Industry|Specialty Retail|23|0.4782608695652174|47
Bearish Engulfing|Industry|Information Technology Services|44|0.4772727272727273|34
Bearish Engulfing|Industry|Entertainment|19|0.47368421052631576|23
Bearish Engulfing|Industry|REIT - Industrial|15|0.4666666666666667|92
Bearish Engulfing|Sector|Healthcare|296|0.46621621621621623|36
Bearish Engulfing|Industry|Specialty Industrial Machinery|56|0.4642857142857143|54
Bearish Engulfing|Entity|RSPN.US|13|0.46153846153846156|118
Bearish Engulfing|Sector|Technology|245|0.46122448979591835|33
Bearish Engulfing|Industry|Credit Services|24|0.4583333333333333|40
Bearish Engulfing|Entity|UPW.US|11|0.45454545454545453|31
Bearish Engulfing|Entity|HEI-A.US|11|0.45454545454545453|38
Bearish Engulfing|Industry|Packaged Foods|22|0.45454545454545453|47
Bearish Engulfing|Entity|AKO-B.US|11|0.45454545454545453|57
