Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|10|0.6|37
Bearish Engulfing|Industry|PHARMACEUTICAL PREPARATIONS|18|0.5555555555555556|12
Bearish Engulfing|Industry|SERVICES-PREPACKAGED SOFTWARE|11|0.5454545454545454|68
Bearish Engulfing|Industry|REAL ESTATE INVESTMENT TRUSTS|46|0.4782608695652174|99
Bearish Engulfing|Overall|All|1038|0.45857418111753373|85
Bearish Engulfing|Industry|INVESTMENT ADVICE|11|0.36363636363636365|32
Bearish Engulfing|Industry|NATIONAL COMMERCIAL BANKS|21|0.3333333333333333|47
Bearish Engulfing|Industry|STATE COMMERCIAL BANKS|37|0.32432432432432434|62
Bearish Engulfing|Industry|RETAIL-EATING PLACES|10|0.3|49
Bearish Engulfing|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|20|0.25|56
Bearish Engulfing|Industry|FIRE, MARINE & CASUALTY INSURANCE|13|0.23076923076923078|216
