Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Entity|MDIV.US|10|1|362
Bearish Engulfing|Entity|HYG.US|13|0.9230769230769231|546
Bearish Engulfing|Entity|BBDC.US|12|0.9166666666666666|51
Bearish Engulfing|Entity|AVNS.US|11|0.9090909090909091|37
Bearish Engulfing|Entity|PHB.US|11|0.9090909090909091|1518
Bearish Engulfing|Entity|CSTE.US|10|0.9|33
Bearish Engulfing|Entity|FXC.US|10|0.9|751
Bearish Engulfing|Entity|FCEL.US|13|0.8461538461538461|11
Bearish Engulfing|Entity|PSK.US|13|0.8461538461538461|311
Bearish Engulfing|Entity|KBWD.US|12|0.8333333333333334|190
Bearish Engulfing|Entity|SRET.US|12|0.8333333333333334|290
Bearish Engulfing|Entity|SIMO.US|17|0.8235294117647058|28
Bearish Engulfing|Entity|SDIV.US|11|0.8181818181818182|306
Bearish Engulfing|Entity|INCY.US|20|0.8|24
Bearish Engulfing|Entity|BOND.US|10|0.8|1253
Bearish Engulfing|Entity|AGG.US|10|0.8|1885
Bearish Engulfing|Entity|MBB.US|10|0.8|2479
Bearish Engulfing|Entity|DEI.US|14|0.7857142857142857|106
Bearish Engulfing|Sector|Other|18|0.7777777777777778|337
Bearish Engulfing|Industry|Other|18|0.7777777777777778|337
Bearish Engulfing|Entity|TWO.US|13|0.7692307692307693|139
Bearish Engulfing|Entity|AMLP.US|13|0.7692307692307693|165
Bearish Engulfing|Entity|JSM.US|13|0.7692307692307693|238
Bearish Engulfing|Entity|PFXF.US|13|0.7692307692307693|254
Bearish Engulfing|Entity|ASA.US|21|0.7619047619047619|44
Bearish Engulfing|Entity|MGNX.US|12|0.75|10
Bearish Engulfing|Entity|PCRX.US|12|0.75|11
Bearish Engulfing|Entity|GDEN.US|12|0.75|16
Bearish Engulfing|Entity|IDT.US|16|0.75|46
Bearish Engulfing|Entity|STAG.US|12|0.75|81
Bearish Engulfing|Entity|SUP.US|19|0.7368421052631579|50
Bearish Engulfing|Entity|DON.US|19|0.7368421052631579|175
Bearish Engulfing|Entity|INSM.US|15|0.7333333333333333|15
Bearish Engulfing|Entity|OVV.US|15|0.7333333333333333|15
Bearish Engulfing|Entity|FWONK.US|15|0.7333333333333333|48
Bearish Engulfing|Entity|CTLP.US|11|0.7272727272727273|20
Bearish Engulfing|Entity|CENTA.US|11|0.7272727272727273|44
Bearish Engulfing|Entity|CORR.US|11|0.7272727272727273|45
Bearish Engulfing|Entity|PSP.US|11|0.7272727272727273|56
Bearish Engulfing|Entity|UVSP.US|11|0.7272727272727273|63
Bearish Engulfing|Entity|CTRE.US|11|0.7272727272727273|74
Bearish Engulfing|Entity|WPP.US|11|0.7272727272727273|77
Bearish Engulfing|Entity|DXJ.US|11|0.7272727272727273|81
Bearish Engulfing|Entity|DEO.US|11|0.7272727272727273|139
Bearish Engulfing|Entity|REET.US|11|0.7272727272727273|159
Bearish Engulfing|Entity|SJW.US|18|0.7222222222222222|87
Bearish Engulfing|Entity|ENS.US|14|0.7142857142857143|38
Bearish Engulfing|Entity|STRT.US|14|0.7142857142857143|40
Bearish Engulfing|Entity|GEF-B.US|14|0.7142857142857143|80
Bearish Engulfing|Sector|Financials|21|0.7142857142857143|205
Bearish Engulfing|Entity|VIS.US|24|0.7083333333333334|82
Bearish Engulfing|Entity|SPH.US|24|0.7083333333333334|105
Bearish Engulfing|Entity|RCL.US|17|0.7058823529411765|38
Bearish Engulfing|Entity|HTLF.US|17|0.7058823529411765|61
Bearish Engulfing|Entity|NRT.US|17|0.7058823529411765|84
Bearish Engulfing|Entity|WABC.US|27|0.7037037037037037|123
Bearish Engulfing|Entity|FTK.US|10|0.7|10
Bearish Engulfing|Entity|CYTK.US|10|0.7|11
Bearish Engulfing|Entity|HROW.US|10|0.7|21
Bearish Engulfing|Entity|GDOT.US|10|0.7|26
Bearish Engulfing|Entity|HAYN.US|20|0.7|27
Bearish Engulfing|Entity|MOV.US|10|0.7|32
Bearish Engulfing|Entity|CLOU.US|10|0.7|34
Bearish Engulfing|Entity|TS.US|10|0.7|35
Bearish Engulfing|Entity|VVX.US|10|0.7|36
Bearish Engulfing|Entity|TSAT.US|10|0.7|42
Bearish Engulfing|Entity|VTRS.US|10|0.7|46
Bearish Engulfing|Entity|ACR.US|10|0.7|70
Bearish Engulfing|Entity|IAI.US|20|0.7|106
Bearish Engulfing|Entity|GSBD.US|10|0.7|162
Bearish Engulfing|Entity|ENG.US|13|0.6923076923076923|7
Bearish Engulfing|Entity|AMRN.US|13|0.6923076923076923|10
Bearish Engulfing|Entity|TBRG.US|13|0.6923076923076923|31
Bearish Engulfing|Entity|SPMD.US|13|0.6923076923076923|117
Bearish Engulfing|Entity|FREL.US|13|0.6923076923076923|132
Bearish Engulfing|Industry|Investment Banking & Investment Services|13|0.6923076923076923|248
Bearish Engulfing|Entity|PFF.US|13|0.6923076923076923|604
Bearish Engulfing|Entity|VCEL.US|16|0.6875|15
Bearish Engulfing|Entity|GLW.US|16|0.6875|37
Bearish Engulfing|Entity|TARO.US|16|0.6875|44
Bearish Engulfing|Entity|ADBE.US|32|0.6875|51
Bearish Engulfing|Entity|CNX.US|19|0.6842105263157895|25
Bearish Engulfing|Entity|IVZ.US|19|0.6842105263157895|42
Bearish Engulfing|Entity|CADE.US|19|0.6842105263157895|47
Bearish Engulfing|Entity|AUB.US|19|0.6842105263157895|61
Bearish Engulfing|Entity|OMEX.US|12|0.6666666666666666|5
Bearish Engulfing|Entity|LABU.US|12|0.6666666666666666|6
Bearish Engulfing|Entity|ASPS.US|21|0.6666666666666666|12
Bearish Engulfing|Entity|CYH.US|12|0.6666666666666666|13
Bearish Engulfing|Entity|TALO.US|18|0.6666666666666666|13
Bearish Engulfing|Entity|VECO.US|12|0.6666666666666666|20
Bearish Engulfing|Entity|VSAT.US|15|0.6666666666666666|22
Bearish Engulfing|Entity|SAVE.US|12|0.6666666666666666|23
Bearish Engulfing|Entity|FARM.US|12|0.6666666666666666|24
Bearish Engulfing|Entity|MLM.US|21|0.6666666666666666|47
Bearish Engulfing|Entity|LHC-UN.US|12|0.6666666666666666|48
Bearish Engulfing|Entity|OZK.US|15|0.6666666666666666|58
Bearish Engulfing|Entity|LBTYA.US|15|0.6666666666666666|58
Bearish Engulfing|Entity|IEP.US|21|0.6666666666666666|60
Bearish Engulfing|Entity|IT.US|18|0.6666666666666666|67
Bearish Engulfing|Entity|CWT.US|27|0.6666666666666666|67
Bearish Engulfing|Entity|PBA.US|12|0.6666666666666666|67
Bearish Engulfing|Entity|EPOL.US|12|0.6666666666666666|73
Bearish Engulfing|Entity|CCBG.US|18|0.6666666666666666|83
Bearish Engulfing|Entity|FFIC.US|12|0.6666666666666666|86
Bearish Engulfing|Entity|BGR.US|24|0.6666666666666666|89
Bearish Engulfing|Entity|USVM.US|12|0.6666666666666666|109
Bearish Engulfing|Entity|JHI.US|15|0.6666666666666666|135
Bearish Engulfing|Entity|ACWX.US|12|0.6666666666666666|161
Bearish Engulfing|Entity|BLW.US|15|0.6666666666666666|205
Bearish Engulfing|Entity|TVC.US|15|0.6666666666666666|464
Bearish Engulfing|Entity|TNA.US|23|0.6521739130434783|16
Bearish Engulfing|Entity|LAZ.US|20|0.65|43
Bearish Engulfing|Entity|IART.US|20|0.65|68
Bearish Engulfing|Entity|BMRN.US|17|0.6470588235294118|16
Bearish Engulfing|Entity|HQY.US|17|0.6470588235294118|25
Bearish Engulfing|Entity|BBY.US|17|0.6470588235294118|42
Bearish Engulfing|Entity|LEE.US|17|0.6470588235294118|46
Bearish Engulfing|Entity|IBOC.US|17|0.6470588235294118|52
Bearish Engulfing|Entity|CRI.US|17|0.6470588235294118|69
