Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bearish Engulfing,Industry,REIT - Mortgage,13,0.6923076923076923,284
Bearish Engulfing,Entity,XLY.US,12,0.6666666666666666,494
Bearish Engulfing,Entity,RTM.US,10,0.6,448
Bearish Engulfing,Industry,Oil & Gas E&P,39,0.5897435897435898,126
Bearish Engulfing,Entity,IYG.US,12,0.5833333333333334,425
Bearish Engulfing,Industry,Electronic Components,25,0.56,85
Bearish Engulfing,Industry,Biotechnology,103,0.5533980582524272,43
Bearish Engulfing,Entity,GAM.US,11,0.5454545454545454,315
Bearish Engulfing,Industry,Entertainment,17,0.5294117647058824,108
Bearish Engulfing,Industry,REIT - Office,21,0.5238095238095238,287
Bearish Engulfing,Industry,Internet Content & Information,12,0.5,62
Bearish Engulfing,Industry,Electronics & Computer Distribution,10,0.5,88
Bearish Engulfing,Industry,Communication Equipment,16,0.5,97
Bearish Engulfing,Industry,Resorts & Casinos,12,0.5,116
Bearish Engulfing,Entity,PKB.US,16,0.5,195
Bearish Engulfing,Industry,REIT - Retail,27,0.48148148148148145,366
Bearish Engulfing,Industry,Apparel Retail,25,0.48,183
Bearish Engulfing,Industry,Building Products & Equipment,17,0.47058823529411764,111
Bearish Engulfing,Industry,Asset Management,83,0.46987951807228917,328
Bearish Engulfing,Industry,Beverages - Non-Alcoholic,24,0.4583333333333333,118
Bearish Engulfing,Industry,Food Distribution,11,0.45454545454545453,144
Bearish Engulfing,Entity,PYZ.US,11,0.45454545454545453,194
Bearish Engulfing,Entity,RFV.US,11,0.45454545454545453,368
Bearish Engulfing,Entity,IYC.US,11,0.45454545454545453,415
Bearish Engulfing,Sector,Basic Materials,74,0.43243243243243246,133
Bearish Engulfing,Industry,Specialty Chemicals,36,0.4166666666666667,164
Bearish Engulfing,Sector,Energy,106,0.41509433962264153,130
Bearish Engulfing,Industry,Auto & Truck Dealerships,17,0.4117647058823529,80
Bearish Engulfing,Industry,Scientific & Technical Instruments,17,0.4117647058823529,94
Bearish Engulfing,Industry,Insurance - Specialty,17,0.4117647058823529,161
Bearish Engulfing,Sector,Real Estate,188,0.4095744680851064,270
Bearish Engulfing,Sector,Healthcare,306,0.4019607843137255,70
Bearish Engulfing,Industry,Farm Products,10,0.4,136
Bearish Engulfing,Industry,Engineering & Construction,30,0.4,140
Bearish Engulfing,Entity,RXI.US,10,0.4,237
Bearish Engulfing,Entity,RSPN.US,10,0.4,298
Bearish Engulfing,Entity,XPH.US,10,0.4,336
Bearish Engulfing,Industry,Medical Devices,38,0.39473684210526316,81
Bearish Engulfing,Industry,Aerospace & Defense,38,0.39473684210526316,102
Bearish Engulfing,Sector,Communication Services,66,0.3939393939393939,84
Bearish Engulfing,Industry,Specialty Retail,28,0.39285714285714285,245
Bearish Engulfing,Industry,REIT - Specialty,18,0.3888888888888889,87
Bearish Engulfing,Industry,Packaged Foods,18,0.3888888888888889,331
Bearish Engulfing,Industry,Software - Infrastructure,31,0.3870967741935484,112
Bearish Engulfing,Entity,JKG.US,13,0.38461538461538464,322
Bearish Engulfing,Entity,IMCB.US,13,0.38461538461538464,322
Bearish Engulfing,Sector,Technology,245,0.37551020408163266,90
Bearish Engulfing,Industry,Specialty Industrial Machinery,48,0.375,136
Bearish Engulfing,Industry,REIT - Residential,35,0.37142857142857144,330
Bearish Engulfing,Sector,Consumer Defensive,125,0.368,192
Bearish Engulfing,Sector,Consumer Cyclical,256,0.3671875,138
Bearish Engulfing,Overall,All,9902,0.36366390628155926,279
Bearish Engulfing,Entity,XSD.US,11,0.36363636363636365,94
Bearish Engulfing,Entity,FDN.US,11,0.36363636363636365,164
Bearish Engulfing,Entity,QQEW.US,11,0.36363636363636365,220
Bearish Engulfing,Entity,IJR.US,11,0.36363636363636365,442
Bearish Engulfing,Sector,Industrials,356,0.3595505617977528,140
Bearish Engulfing,Sector,Financial Services,509,0.3575638506876228,247
Bearish Engulfing,Industry,Rental & Leasing Services,14,0.35714285714285715,235
Bearish Engulfing,Industry,Leisure,14,0.35714285714285715,295
Bearish Engulfing,Industry,Software - Application,73,0.3561643835616438,87
Bearish Engulfing,Industry,Electrical Equipment & Parts,17,0.35294117647058826,65
Bearish Engulfing,Industry,Consulting Services,23,0.34782608695652173,162
Bearish Engulfing,Industry,Insurance - Property & Casualty,29,0.3448275862068966,164
Bearish Engulfing,Industry,Banks - Regional,276,0.3442028985507246,243
Bearish Engulfing,Sector,Utilities,82,0.34146341463414637,357
Bearish Engulfing,Industry,Residential Construction,12,0.3333333333333333,71
Bearish Engulfing,Industry,Semiconductors,12,0.3333333333333333,74
Bearish Engulfing,Industry,Medical Instruments & Supplies,42,0.3333333333333333,76
Bearish Engulfing,Industry,Auto Parts,21,0.3333333333333333,77
Bearish Engulfing,Industry,Oil & Gas Refining & Marketing,12,0.3333333333333333,130
Bearish Engulfing,Industry,Insurance Brokers,18,0.3333333333333333,293
Bearish Engulfing,Entity,RZG.US,12,0.3333333333333333,326
Bearish Engulfing,Entity,JKI.US,12,0.3333333333333333,336
Bearish Engulfing,Industry,REIT - Industrial,18,0.3333333333333333,466
Bearish Engulfing,Entity,USRT.US,12,0.3333333333333333,768
Bearish Engulfing,Industry,Drug Manufacturers - Specialty & Generic,31,0.3225806451612903,50
Bearish Engulfing,Industry,Restaurants,28,0.32142857142857145,119
Bearish Engulfing,Industry,Utilities - Regulated Electric,44,0.3181818181818182,339
Bearish Engulfing,Entity,SPTM.US,19,0.3157894736842105,600
Bearish Engulfing,Entity,IGM.US,16,0.3125,223
Bearish Engulfing,Industry,Staffing & Employment Services,13,0.3076923076923077,98
Bearish Engulfing,Industry,Household & Personal Products,13,0.3076923076923077,192
Bearish Engulfing,Industry,Utilities - Diversified,13,0.3076923076923077,232
Bearish Engulfing,Industry,Beverages - Wineries & Distilleries,13,0.3076923076923077,300
Bearish Engulfing,Entity,IMCV.US,13,0.3076923076923077,336
Bearish Engulfing,Entity,MDY.US,13,0.3076923076923077,392
Bearish Engulfing,Entity,IWS.US,13,0.3076923076923077,432
Bearish Engulfing,Industry,Semiconductor Equipment & Materials,10,0.3,17
Bearish Engulfing,Industry,Railroads,10,0.3,73
Bearish Engulfing,Entity,IUSG.US,10,0.3,104
Bearish Engulfing,Industry,REIT - Healthcare Facilities,10,0.3,113
Bearish Engulfing,Entity,PTF.US,10,0.3,200
Bearish Engulfing,Entity,IWV.US,10,0.3,340
Bearish Engulfing,Entity,VXF.US,10,0.3,402
Bearish Engulfing,Entity,GGME.US,10,0.3,414
Bearish Engulfing,Industry,Banks - Diversified,17,0.29411764705882354,453
Bearish Engulfing,Industry,Credit Services,24,0.2916666666666667,108
Bearish Engulfing,Industry,Diagnostics & Research,28,0.2857142857142857,82
Bearish Engulfing,Entity,IYM.US,14,0.2857142857142857,270
Bearish Engulfing,Industry,Real Estate Services,25,0.28,137
Bearish Engulfing,Industry,Farm & Heavy Construction Machinery,25,0.28,188
Bearish Engulfing,Industry,Oil & Gas Equipment & Services,18,0.2777777777777778,117
Bearish Engulfing,Industry,Education & Training Services,11,0.2727272727272727,68
Bearish Engulfing,Industry,Information Technology Services,44,0.2727272727272727,94
Bearish Engulfing,Industry,Waste Management,11,0.2727272727272727,147
Bearish Engulfing,Industry,Integrated Freight & Logistics,11,0.2727272727272727,159
Bearish Engulfing,Industry,Drug Manufacturers - General,11,0.2727272727272727,164
Bearish Engulfing,Entity,GSBC.US,11,0.2727272727272727,243
Bearish Engulfing,Entity,ALE.US,11,0.2727272727272727,269
Bearish Engulfing,Entity,SUSA.US,11,0.2727272727272727,297
Bearish Engulfing,Entity,IMCG.US,11,0.2727272727272727,299
Bearish Engulfing,Entity,IDU.US,11,0.2727272727272727,303
Bearish Engulfing,Industry,Utilities - Regulated Gas,11,0.2727272727272727,390
Bearish Engulfing,Industry,Furnishings, Fixtures & Appliances,15,0.26666666666666666,70
Bearish Engulfing,Industry,Industrial Distribution,20,0.25,128
Bearish Engulfing,Industry,Specialty Business Services,20,0.25,143
Bearish Engulfing,Industry,Packaging & Containers,12,0.25,166
Bearish Engulfing,Sector,Financials,12,0.25,213
Bearish Engulfing,Industry,Oil & Gas Midstream,20,0.25,233
Bearish Engulfing,Entity,QQQE.US,12,0.25,236
Bearish Engulfing,Industry,Medical Care Facilities,25,0.24,82
Bearish Engulfing,Industry,Telecom Services,17,0.23529411764705882,103
Bearish Engulfing,Industry,Apparel Manufacturing,13,0.23076923076923078,61
Bearish Engulfing,Industry,Healthcare Plans,13,0.23076923076923078,67
Bearish Engulfing,Entity,ONEQ.US,13,0.23076923076923078,325
Bearish Engulfing,Entity,RWR.US,14,0.21428571428571427,372
Bearish Engulfing,Entity,IYW.US,19,0.21052631578947367,263
Bearish Engulfing,Entity,SSO.US,10,0.2,168
Bearish Engulfing,Industry,Conglomerates,10,0.2,278
Bearish Engulfing,Entity,IWY.US,11,0.18181818181818182,113
Bearish Engulfing,Entity,XLB.US,11,0.18181818181818182,128
Bearish Engulfing,Entity,WINA.US,11,0.18181818181818182,194
Bearish Engulfing,Industry,Insurance - Diversified,17,0.17647058823529413,111
Bearish Engulfing,Entity,PSR.US,12,0.16666666666666666,220
Bearish Engulfing,Entity,IHI.US,14,0.14285714285714285,228
Bearish Engulfing,Entity,ILCG.US,18,0.1111111111111111,504
Bearish Engulfing,Entity,JKE.US,18,0.1111111111111111,504
Bearish Engulfing,Entity,KBWP.US,10,0.1,294
Bearish Engulfing,Entity,VOOG.US,11,0.09090909090909091,180
Bearish Engulfing,Entity,VOX.US,12,0.08333333333333333,50
Bearish Engulfing,Entity,PSCC.US,12,0.08333333333333333,77
Bearish Engulfing,Entity,OEF.US,12,0.08333333333333333,222
