Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Industry|Asset Management|10|0.8|125
Bearish Engulfing|Industry|Biotechnology|15|0.6|7
Bearish Engulfing|Sector|Technology|35|0.5428571428571428|23
Bearish Engulfing|Sector|Healthcare|53|0.5094339622641509|28
Bearish Engulfing|Sector|Communication Services|10|0.5|13
Bearish Engulfing|Sector|Consumer Cyclical|38|0.47368421052631576|31
Bearish Engulfing|Sector|Industrials|66|0.4696969696969697|37
Bearish Engulfing|Sector|Consumer Defensive|22|0.45454545454545453|34
Bearish Engulfing|Overall|All|1266|0.43285939968404424|92
Bearish Engulfing|Sector|Real Estate|29|0.41379310344827586|65
Bearish Engulfing|Sector|Financial Services|100|0.34|68
Bearish Engulfing|Sector|Basic Materials|15|0.3333333333333333|28
Bearish Engulfing|Sector|Energy|19|0.3157894736842105|49
Bearish Engulfing|Industry|Utilities - Regulated Electric|10|0.3|49
Bearish Engulfing|Sector|Utilities|21|0.2857142857142857|48
Bearish Engulfing|Industry|Banks - Regional|63|0.25396825396825395|56
